PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-03-11,12:15:33.86,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Fastball,Live,,88.17979,-3.424688348,-2.72145406,2111.573053,203.2657896,12:45,6.33682,1.44247,5.55621,-19.50851,17.31725,7.44493,1.50433,-0.48142,79.81939,-7.066981113,-1.321832547,0.4367643813,-4.83209,10.33102,-1.21235,50,6.02808,5.82564,-127.82491,-8.31425,-7.89818,29.31926,-15.28771,7002ffec-cd7b-4f32-a3ed-1046f27f8f22,cd9f459f-cb88-43e2-a910-b9e72136dd0a,86.29925,Pitching,23360082,,,,,,,,,,,,,,,,,,,187.4188036,30.57800868,1817.932096,0.8609373443,12:15,9eb68eee-8dbc-4cf4-b7aa-beb4f18c788e,e2943f8f-3473-48bf-a5f1-91581481d151
2,2026-03-11,12:16:09.01,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Fastball,Live,,89.32636,-2.790641824,-2.14103637,2058.125465,214.7559574,1:15,6.33668,1.57386,5.56647,-19.64077,16.183,11.2301,2.08954,0.50899,80.75912,-6.46652623,-0.02685391446,0.4307815012,-6.68162,9.53639,-1.3967,50,6.08343,4.46364,-129.61544,-6.99072,-11.22045,30.34514,-16.15958,1bab565c-8978-435e-9365-631d13b15fbd,cd9f459f-cb88-43e2-a910-b9e72136dd0a,87.49781,Pitching,23360082,,,,,,,,,,,,,,,,,,,201.1559714,26.40634032,1843.385905,0.8956625517,12:45,eb96c853-4ce8-4edc-b1fb-1e8c3de5c415,e2943f8f-3473-48bf-a5f1-91581481d151
3,2026-03-11,12:16:26.68,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Fastball,Live,,89.18602,,,2317.35713,,,6.4051,1.37897,5.33644,,,,3.21248,0.38279,80.09393,,,0.4340401779,-3.7087,9.19306,-1.23955,50,6.24516,3.39037,-129.4456,-4.36491,-6.17614,31.68784,-16.86472,3f056b0b-03fe-417b-bd6c-baecc1521d68,cd9f459f-cb88-43e2-a910-b9e72136dd0a,86.8409,Pitching,23360082,,,,,,,,,,,,,,,,,,,187.7791676,36.34873682,1866.456008,0.8054244137,12:15,1aead563-ff77-41f6-9e9b-5b5dc301b7a6,e2943f8f-3473-48bf-a5f1-91581481d151
4,2026-03-11,12:17:14.14,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Curveball,Live,,77.70554,2.504650796,0.6148822466,2447.812774,36.63360959,7:15,6.46979,1.39481,4.49013,-63.29343,-13.97713,-10.34957,3.58345,1.11823,70.56855,-9.118057856,-1.29877096,0.5054365438,5.52721,-7.99852,-1.44979,50,6.67451,-0.85044,-112.62569,2.73576,7.00021,23.12107,-42.30418,1b2b1df0-764a-49e0-b7af-7790c4e52dea,0455dfd6-d901-458a-bcf3-bcd1f3bb41bc,74.57403,Pitching,23360082,,,,,,,,,,,,,,,,,,,23.16098262,37.38256809,1945.030499,0.7945993743,6:45,7e05a3bd-b2b0-4c10-82b3-f189cc54c77e,e2943f8f-3473-48bf-a5f1-91581481d151
5,2026-03-11,12:17:37.42,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Curveball,Live,,78.65395,0.7029063333,-0.4770079065,2464.745129,28.02903812,7:00,6.49432,1.37923,4.83107,-64.03749,-16.39144,-8.70511,1.82347,0.20214,71.64988,-11.09297359,-2.099745679,0.4968037335,4.38471,-8.79077,-1.32488,50,6.5111,1.24052,-114.124,-0.73588,5.67232,24.74334,-43.54631,b98c7531-0ebb-4436-86f1-7827c6c79b09,0455dfd6-d901-458a-bcf3-bcd1f3bb41bc,75.86988,Pitching,23360082,,,,,,,,,,,,,,,,,,,27.2903704,32.83382429,2070.993868,0.8402466622,7:00,d15d4bc4-e284-48ab-a8c2-2a579b7076bb,e2943f8f-3473-48bf-a5f1-91581481d151
6,2026-03-11,12:18:06.58,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Fastball,Live,,90.29788,-2.253013696,-1.195056814,2109.511615,190.0070247,12:15,6.36322,1.2808,5.50739,-17.56823,17.24757,3.04638,2.79097,0.41706,82.20679,-5.529052491,-0.6243732407,0.4246778162,-1.97083,9.84315,-1.1787,50,6.15516,2.63044,-131.20797,-5.77824,-3.41961,28.97216,-15.0951,519d1e8e-7e23-46bd-b1cc-9fca22937646,0455dfd6-d901-458a-bcf3-bcd1f3bb41bc,88.75538,Pitching,23360082,,,,,,,,,,,,,,,,,,,210.108089,38.67508145,1646.900481,0.7807022583,1:00,c8295ddc-96b7-4261-b707-77201534e51d,e2943f8f-3473-48bf-a5f1-91581481d151
7,2026-03-11,12:18:26.29,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Curveball,Live,,77.7203,2.096086653,1.16783323,2358.901376,37.3514467,7:15,6.4389,1.30664,4.78047,-62.41735,-13.65773,-10.38206,3.22531,1.54843,70.64298,-9.419954855,-0.7620959291,0.502575772,5.77698,-7.77924,-1.41448,50,6.59578,-1.95202,-112.71613,2.04766,7.32462,23.25285,-42.03734,d77b413c-6ead-46b3-a013-e3d370ca69e2,0455dfd6-d901-458a-bcf3-bcd1f3bb41bc,74.99852,Pitching,23360082,,,,,,,,,,,,,,,,,,,20.31161912,31.1750721,2018.251389,0.8555895593,6:45,36a88d44-46ae-41dd-bf91-6d672d0d941c,e2943f8f-3473-48bf-a5f1-91581481d151
8,2026-03-11,12:18:46.53,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Curveball,Live,,77.44247,1.982472648,1.006183939,2486.555606,38.88861414,7:15,6.45904,1.30182,3.7973,-67.48562,-16.26252,-13.07019,2.74919,1.1836,70.11184,-10.2699159,-1.38878756,0.5151151654,6.92153,-8.85743,-1.40502,50,6.61622,-1.48054,-112.07285,1.36131,8.63044,23.96218,-43.21836,384e1eed-46ba-437b-b1b8-44655514754d,0455dfd6-d901-458a-bcf3-bcd1f3bb41bc,73.17284,Pitching,23360082,,,,,,,,,,,,,,,,,,,19.55716596,29.82141981,2157.28492,0.8675796009,6:45,1ffe4551-934b-440d-8c0c-4b658a02df9e,e2943f8f-3473-48bf-a5f1-91581481d151
9,2026-03-11,12:19:14.13,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Curveball,Live,,79.0318,0.2327063043,0.6661945524,2482.395361,27.90408086,7:00,6.37905,1.25985,4.11975,-64.88749,-16.52612,-8.73058,1.195,1.1714,72.18557,-11.54305798,-0.9396874743,0.5005191452,4.65921,-8.48513,-1.32513,50,6.33881,-1.0105,-114.55636,-1.92443,6.09145,24.34988,-43.26752,23e2564f-8663-436f-b507-2327319cb7dd,0455dfd6-d901-458a-bcf3-bcd1f3bb41bc,75.30669,Pitching,23360082,,,,,,,,,,,,,,,,,,,28.97762598,32.0838507,2103.263255,0.8472716669,7:00,2a57ae12-3b13-4b26-80c5-bea66e7198df,e2943f8f-3473-48bf-a5f1-91581481d151
10,2026-03-11,12:19:33.55,"Jennings, Parker",1000463233,Right,OKL_COW,,,,,Fastball,Live,,88.85142,-3.747026337,-3.703734707,2099.234666,221.2381466,1:15,6.21722,1.26988,5.5287,-23.68362,12.34925,10.8112,0.72896,-1.29583,81.40764,-8.132408017,-1.685834357,0.4320369322,-6.79489,7.62823,-0.9553,50,5.87541,7.96187,-128.73088,-9.26158,-11.39433,26.89402,-19.38229,76295065-7946-4d98-a09d-62c90ef52f49,0455dfd6-d901-458a-bcf3-bcd1f3bb41bc,87.24356,Pitching,23360082,,,,,,,,,,,,,,,,,,,178.8373738,34.49242149,1730.191521,0.8242010999,12:00,4143697c-5666-44da-b323-5954807dffbb,e2943f8f-3473-48bf-a5f1-91581481d151
