player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-10-07,12:18:52,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,84.7162,-1.72785132,-4.968596961,2095.582473,244.5159069,02:15:00,5.32474,2.42194,6.08525,-30.87974,7.83765,16.4756,1.1467,-0.81244,77.72002,-7.51700741,-1.870110996,0.4478415906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.31269,4.73169,-2.04702,50,5.17466,10.19141,-122.86561,-4.63887,-15.78338,24.06583,-24.93228,NA,NA,NA,NA,NA,NA,50a6e3ff-419b-4f5e-8912-a743b8d268bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761abd78-f6ab-4f4f-811c-80a6472696d3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.6625671,38.0839398,1649.449621,0.7871079482,01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,84.16467,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-10-07,12:19:11,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,85.95079,-0.6879549574,-4.905064536,2161.618375,242.2547252,02:00:00,5.19066,2.7834,6.08023,-28.92251,8.83101,16.87586,2.14169,-0.35886,78.28704,-6.137196163,-1.723121726,0.4422319737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.59314,4.99937,-2.41318,50,5.12205,10.19158,-124.67367,-2.37288,-16.60946,25.95724,-24.33531,NA,NA,NA,NA,NA,NA,35026ebb-ca1a-4c9f-b35c-35c4383fadb8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f9faa687-49f6-4470-aced-35eeced1f313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.51254287,1643.400144,0.7602637738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,85.23228,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-10-07,12:19:26,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,86.0582,-2.818870094,-4.889537377,2117.22773,244.8785021,02:15:00,5.13043,2.60316,6.2524,-29.50994,7.77546,16.54113,0.06053,-0.5378,79.15729,-8.352658706,-1.770386191,0.4394817201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.36336,5.01461,-2.24811,50,4.90594,10.18979,-124.77376,-7.02981,-16.37505,24.5656,-24.25052,NA,NA,NA,NA,NA,NA,3f557cbf-fd6c-4740-9246-212d1e31be9c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a6f29beb-7866-4474-b29f-f885c07bf0fd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.15318356,1752.089741,0.827539577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,85.76566,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-10-07,12:19:48,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,86.84936,-0.5953531872,-2.084480707,2147.010394,229.1370201,01:45:00,5.35544,2.61694,5.97759,-23.85873,12.96364,15.02325,2.81503,1.93603,79.33856,-5.083117379,0.7488274367,0.4367443138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.71869,7.18397,-2.46072,50,5.29518,4.1311,-126.35782,-2.05706,-14.07617,26.08438,-20.57566,NA,NA,NA,NA,NA,NA,727da42a-820a-44be-8488-174462b7ed2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555541d3-4292-496b-af4a-f2ace7ee6948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.25716925,1815.643055,0.8456610455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,86.30322,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-10-07,12:20:18,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,86.30336,-0.8496235989,-3.258383499,2077.001212,236.2323301,01:45:00,5.37139,2.52888,6.04264,-26.87179,10.47302,15.71398,2.34424,0.81879,78.70654,-5.911057061,-0.2905734653,0.4398317184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.46994,5.9299,-2.28367,50,5.2907,6.66172,-125.43097,-2.68256,-15.03177,26.23438,-22.76144,NA,NA,NA,NA,NA,NA,18308a8c-3943-4a8c-ab23-b66f59208754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26b7a830-2ca5-488a-b58d-98f9835189b6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8428534,31.09828471,1778.49989,0.856282548,12:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,85.69741,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-10-07,12:20:42,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slider,NA,NA,NA,NA,NA,NA,NA,NA,82.62731,-1.227722929,-3.732194994,NA,NA,NA,5.1929,2.77608,5.43359,-37.70851,3.9065,-1.03462,0.89834,-0.8097,76.08504,-8.192986983,-3.924441145,0.4642975805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48347,2.4123,-2.44497,50,5.05833,7.85695,-119.93161,-3.80203,-0.70459,23.0638,-28.65846,NA,NA,NA,NA,NA,NA,78c5ed7a-7ee8-4c96-be9b-c9ac59db2686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f6d5af79-5f1f-41eb-a3a8-5820d2521f64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,81.18164,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-10-07,12:21:03,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slider,NA,NA,NA,NA,NA,NA,NA,NA,82.13658,-0.03198768897,-3.75775828,NA,NA,NA,5.22355,2.7854,5.48944,-39.0665,3.47656,-4.93977,1.93802,-1.14618,74.56896,-7.317662006,-4.682114218,0.4694461373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44167,1.8647,-2.45312,50,5.19486,7.98074,-119.12947,-1.30338,2.0439,25.75995,-29.53041,NA,NA,NA,NA,NA,NA,da935819-84b4-45ab-84a4-baabf4f894ce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7dfc7c1c-ba78-4c75-ac2d-cf1e0b16e4f2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,80.2913,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-10-07,12:21:26,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fastball,NA,NA,NA,NA,NA,NA,NA,NA,90.24603,0.4710928575,-2.285431855,2215.553264,213.7654717,01:15:00,5.80344,2.1102,6.00325,-18.80897,15.4895,10.38512,4.67281,0.85728,81.66493,-3.088341326,-0.3194555463,0.4215108814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.32851,8.2626,-1.93646,50,5.83016,4.90476,-131.22665,0.47776,-10.93975,30.01502,-17.89094,NA,NA,NA,NA,NA,NA,910b5155-97b4-4d48-9e55-90e78a7bcd81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330de839-ad45-4506-a876-c0d3f1f5565b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.96405731,1919.419961,0.8663388925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,89.42222,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-10-07,12:21:41,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fastball,NA,NA,NA,NA,NA,NA,NA,NA,88.56692,-0.3586184687,-2.602026696,2207.964164,200.6563461,12:45:00,5.87813,1.94427,5.99779,-19.48105,15.97458,6.039,3.9221,0.0351,80.66012,-4.030584121,-1.462857118,0.428562324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.01855,8.75814,-1.74305,50,5.83921,5.66272,-128.8036,-1.42248,-6.73041,27.51341,-17.5056,NA,NA,NA,NA,NA,NA,a6f53141-2612-4ac4-bc37-f90eea734160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38c3984c-7c46-43b7-bd08-c6b4b8974a79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.708178,33.56278191,1839.853562,0.833280536,12:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,87.95089,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-10-07,12:22:21,NA,NA,"Rhodes, Stormy",829671,Right,OKL_CPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fastball,NA,NA,NA,NA,NA,NA,NA,NA,88.377,0.2441710797,-4.424317279,2163.424598,223.9672343,01:30:00,5.43415,2.44754,6.19766,-24.94024,10.36294,10.05739,3.58184,-0.80616,80.84545,-4.457427321,-2.52983445,0.4276399972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.68644,5.58179,-2.11987,50,5.43986,9.62568,-128.36262,-0.21036,-11.18018,26.03285,-22.84091,NA,NA,NA,NA,NA,NA,eb55464a-3981-4ce0-9c7a-b21169b48f4a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f3ff3fe9-ca4f-4e75-afb5-afd7e23d16b8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.6386077,36.48817741,1739.349202,0.8039795811,01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,f9e5e293-cc9c-4ed4-9ceb-d48972f62c8e,88.14058,Pitching,23360082,NA,43bffed2-a547-45b2-8182-5635032058b2,NA,NA,NA
