PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2025-11-08,14:01:24,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,85.29936,-0.5360317468,-2.419356466,2175.595959,233.1791071,01:45:00,5.95213,2.37287,4.31849,-28.12205,12.65976,16.96065,3.09582,1.47246,77.64121,-5.673991751,0.689100434,0.4596260649,-9.35454,6.61773,-2.12828,50,5.86686,4.56252,-123.72552,-2.26118,-14.45456,25.41428,-21.94838,fc145cf4-380f-42a4-b1b7-afb8c425f0aa,43e5122f-1c0f-476c-85ba-cf5121378e95,82.00675,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.0377489,26.88449032,1940.45748,0.8919199687,01:45:00,9a876089-b22f-4f91-b904-af7ea6a1db11,87bae57e-7411-4472-a710-c06a5b95821a
2,2025-11-08,14:01:42,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,86.22576,-1.298574632,-3.249229564,2337.295824,225.9157884,01:30:00,5.95456,2.26751,4.34378,-24.55379,15.19976,15.7282,2.66559,0.47067,78.82317,-5.77339159,-0.3751541401,0.4537946266,-8.91032,8.11006,-1.93337,50,5.79096,6.47368,-125.01818,-3.81215,-14.13185,24.7034,-19.31143,5c395b39-c1c7-4c43-8b99-e5b70e946412,43e5122f-1c0f-476c-85ba-cf5121378e95,83.06057,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.26795114,2147.197686,0.9186674892,NA,12cc0ba1-3e65-43b7-baa5-d1fe6c7612e9,87bae57e-7411-4472-a710-c06a5b95821a
3,2025-11-08,14:01:59,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,84.07164,-3.10761368,-3.962130549,2248.33433,230.3185623,01:45:00,5.9405,2.31354,4.16461,-29.7282,12.50153,15.05634,0.47447,-0.23549,77.22674,-8.472946274,-1.223686733,0.4677142229,-8.69995,7.17615,-1.89023,50,5.56538,7.82996,-121.62986,-7.79298,-13.07425,23.14524,-21.38977,3068b1e8-e850-4210-898e-d490fbbe40fa,43e5122f-1c0f-476c-85ba-cf5121378e95,80.58861,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.03012498,1770.983593,0.7876869421,NA,94a911e8-1a9a-498c-be39-44bf13427eb7,87bae57e-7411-4472-a710-c06a5b95821a
4,2025-11-08,14:02:19,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,ChangeUp,Live,NA,81.04689,-0.1739686993,-3.713071626,2090.218652,250.8515426,02:15:00,5.93565,2.45554,4.84098,-37.19785,6.8835,19.9605,2.67079,0.59888,74.46301,-6.996836298,-0.03852348563,0.4778579802,-11.34583,3.61863,-2.10509,50,5.88728,6.93351,-117.59403,-1.65838,-15.95664,21.3863,-27.08486,bb0518a1-59ed-429a-a4a4-021882f4888f,43e5122f-1c0f-476c-85ba-cf5121378e95,78.87791,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.62223112,1929.3994,0.9230610387,NA,0d7d7959-e057-49a4-b684-8105e70d7a7e,87bae57e-7411-4472-a710-c06a5b95821a
5,2025-11-08,14:02:37,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,ChangeUp,Live,NA,82.25649,NA,NA,2185.73102,NA,NA,5.89178,2.39159,4.49725,NA,NA,NA,1.79299,0.02163,74.97186,-7.591461525,-0.5775155836,0.4761483271,-11.38878,5.11356,-1.96802,50,5.72566,8.03921,-119.09737,-3.93642,-16.29223,23.72755,-24.85884,4ebdb482-4a73-417a-9877-f608b4e5f6af,43e5122f-1c0f-476c-85ba-cf5121378e95,79.16113,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.38133976,2006.24736,0.9178839212,NA,b8114866-8680-4ae2-b1d4-01add1825eae,87bae57e-7411-4472-a710-c06a5b95821a
6,2025-11-08,14:02:53,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,84.15893,-1.435339613,-2.037603916,2248.119791,241.6072924,02:00:00,5.97852,2.22497,4.17414,-32.0915,10.05602,18.64412,1.92755,1.82513,76.8014,-7.266491014,1.372279631,0.4672587368,-10.06137,5.52407,-2.01887,50,5.78739,3.608,-122.03505,-4.3227,-15.1164,24.84918,-23.87458,ecf875a6-5467-4a20-a201-5579a96735c2,43e5122f-1c0f-476c-85ba-cf5121378e95,80.66717,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.0650099,29.03180171,1965.644622,0.8743504815,01:00:00,9c37edd6-3eb9-483e-b403-53abf81658be,87bae57e-7411-4472-a710-c06a5b95821a
7,2025-11-08,14:03:12,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Slider,Live,NA,75.22603,-2.766120627,-5.763628186,1946.844314,NA,NA,5.9155,2.32229,4.40081,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.25843,0.91977,-1.71138,50,5.56922,10.78615,-108.48642,-7.06267,-5.02477,20.7343,-31.08876,e5465ccb-91a1-4fd8-933b-c9e2dbe3969d,43e5122f-1c0f-476c-85ba-cf5121378e95,NA,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64a0e571-8873-460f-8510-4fae645348ba,87bae57e-7411-4472-a710-c06a5b95821a
8,2025-11-08,14:03:34,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Slider,Live,NA,75.36975,-2.499802464,-5.483141519,1942.96769,210.9037827,01:00:00,5.928,2.24672,4.34525,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.26562,3.16687,-1.65863,50,5.61142,10.33736,-108.65147,-6.42419,-3.82233,22.73662,-28.4673,eeace43c-78a8-4efb-b80f-3740ecd1cbdc,43e5122f-1c0f-476c-85ba-cf5121378e95,NA,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.30487785,590.5688286,0.3039519554,NA,3e6f5c7a-c3ff-4e36-952e-1000fa728ccc,87bae57e-7411-4472-a710-c06a5b95821a
9,2025-11-08,14:05:21,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Slider,Live,NA,72.84292,5.032900415,0.7767555019,2110.998519,71.1761102,08:15:00,5.72349,2.60139,3.39646,-59.58692,-2.21977,-6.32522,5.66244,2.82926,67.0619,-5.599104155,-0.3551304553,0.5451337448,3.29987,-2.30212,-2.6897,50,6.27385,-1.19058,-105.36512,7.0386,3.75957,15.64437,-34.79688,4469e11a-3e01-41cc-80da-226814d4ce25,43e5122f-1c0f-476c-85ba-cf5121378e95,69.14347,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d7fd92ef-34ac-4129-a7e6-e72e02bc8a81,87bae57e-7411-4472-a710-c06a5b95821a
10,2025-11-08,14:05:54,"Johnson, Camp",1000301802,Right,NA,NA,NA,NA,NA,Slider,Live,NA,74.648,2.720533392,-1.180040374,2113.295952,93.07018472,09:00:00,5.9611,2.31188,4.1992,-53.07796,0.27648,-5.87174,4.14641,0.69207,68.36106,-6.931613434,-2.251463625,0.5257226295,2.65634,-0.61224,-2.17619,50,6.20684,2.43478,-108.24834,3.29149,3.15354,18.80059,-32.90088,e3d8d2d7-6090-4d57-a896-11203ff82a7f,43e5122f-1c0f-476c-85ba-cf5121378e95,71.69644,Pitching,23360082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.15906813,887.7966603,0.4201004878,NA,41d909f2-f814-4026-a4e9-5cdac5c7d6cb,87bae57e-7411-4472-a710-c06a5b95821a
