player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-11-07,14:57:00,1,1,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,88.73775,-0.791556,2.302228,2159.239554,154.580579,11:15:00,6.46059,-1.87509,5.18085,-19.87395,16.78399,-7.39233,4.05902,-0.32383,80.60495,-4.512239,0.994268,0.435768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3237,8.94032,1.66675,50,6.37236,-4.82299,-128.57529,-2.45332,7.2073,27.71082,-17.27121,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,4ea5a4b0-bc1c-11f0-90ad-530ac0d17e2f,86.49656,NA,NA,8.13279,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:57:00,2025-11-07T20:57:00Z,2025-11-07T20:57:00Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,eb349a31-4499-4de2-b4a7-4d9437d78397,55.31399,-129.71552,13.85541,6.45869,-1.74265,-8.6356,1.87131,-5.11955,3.60365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-11-07,14:57:13,1,2,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,NA,89.70364,-2.21039,3.779441,2133.018254,115.33625,09:45:00,6.20755,-1.87833,5.37491,-27.10805,8.54237,-15.54875,1.87077,0.37429,81.91213,-7.194872,1.019785,0.429738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88859,5.2735900000000004,1.55079,50,5.99006,-7.87484,-129.85162,-6.02454,15.13742,27.84121,-23.19302,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,56657040-bc1c-11f0-90ad-530ac0d17e2f,87.71033,NA,NA,7.79151,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:57:13,2025-11-07T20:57:13Z,2025-11-07T20:57:13Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,c456a4d3-3d1d-4e86-9015-e6eda9d3d34b,55.12322,-130.94548,13.9206,6.20886,-5.11331,-11.59651,1.87187,-8.46957,7.56871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-11-07,14:57:25,1,3,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,NA,84.07574,-1.874495,1.835485,1528.319766,155.089967,11:15:00,6.07478,-2.24547,5.82027,-20.18096,20.2384,-8.68335,2.64876,-1.26201,75.50543,-5.73715,0.279642,0.457579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.99055,11.35422,2.10024,50,5.90959,-3.53615,-121.73469,-4.53199,7.34718,28.11477,-15.45818,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,5d5ae6f0-bc1c-11f0-90ad-530ac0d17e2f,82.37364,NA,NA,8.57031,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:57:25,2025-11-07T20:57:25Z,2025-11-07T20:57:25Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,51e470b6-88f5-4856-8f96-66d87d6b9aa5,54.67204,-122.80896,14.05739,6.07147,-3.94134,-7.72909,2.24073,-3.81689,3.67359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-11-07,14:57:39,1,4,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,85.15353,-1.453152,2.587831,2332.852406,207.141226,01:00:00,6.21348,-2.25423,5.25194,-32.85813,7.09768,2.92772,2.10818,0.42302,77.4038,-7.471454,3.106733,0.454947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.66307,4.4067,2.01451,50,6.05603,-5.7005,-123.2969,-4.31922,-1.00966,26.98883,-25.46387,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,65c91af0-bc1c-11f0-90ad-530ac0d17e2f,82.85009,NA,NA,7.74973,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:57:39,2025-11-07T20:57:39Z,2025-11-07T20:57:39Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,560e665b-a346-44f9-bf20-492df615bfba,55.2441,-124.4395,13.49442,6.21607,-3.24117,-12.73194,2.25495,-5.65776,-0.50483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-11-07,14:57:53,1,5,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,84.93717,-2.078903,3.120348,2147.551241,92.621142,09:00:00,6.17534,-2.22751,5.06266,-39.05667,1.56051,-2.56693,0.95656,0.5038,77.21369,-9.153235,2.666633,0.458697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27583,1.8302,1.93293,50,5.94658,-6.58354,-122.83936,-5.94627,3.42895,27.49859,-29.41657,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,6de92ef0-bc1c-11f0-90ad-530ac0d17e2f,82.17278,NA,NA,7.72347,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:57:53,2025-11-07T20:57:53Z,2025-11-07T20:57:53Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,736eb078-ec9d-4555-91ec-ac4828be0b32,55.43452,-124.04995,13.7493,6.17985,-4.65123,-14.70828,2.22609,-6.7345,1.71448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-11-07,14:58:07,1,6,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,78.86937,0.282228,2.725928,2233.001506,13.112407,06:30:00,6.29145,-2.08707,5.0928,-49.08959,-2.63382,-0.9585,2.46693,0.40395,72.39858,-8.594031,2.556439,0.490559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25681,-0.94626,1.83013,50,6.27951,-5.40449,-114.33547,-1.19504,1.65903,21.62972,-33.42318,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,763d7250-bc1c-11f0-90ad-530ac0d17e2f,76.83567,NA,NA,6.47079,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:58:07,2025-11-07T20:58:07Z,2025-11-07T20:58:07Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,dcd3d91d-8123-4cbb-ab0d-8739aca8b1ff,55.40598,-115.35363,10.81486,6.29873,0.37827,-16.71159,2.08637,-5.48259,0.82951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-11-07,14:58:25,1,7,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,88.29214,-2.161739,4.517886,2294.434892,150.230061,11:00:00,6.2753,-2.37561,5.12373,-20.03851,17.18938,-9.11886,2.56201,1.12861,80.436,-5.892173,2.912094,0.439143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.79142,9.52012,1.95766,50,6.05648,-9.65881,-127.59424,-5.51735,9.53152,26.66123,-16.50583,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,80cb2af0-bc1c-11f0-90ad-530ac0d17e2f,85.83189,NA,NA,7.85614,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:58:25,2025-11-07T20:58:25Z,2025-11-07T20:58:25Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,8d84aaf0-6b69-425f-91f3-fe5341b1e5ac,55.3721,-128.71187,13.33061,6.27326,-4.82544,-8.25291,2.37092,-10.05836,4.76576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-11-07,14:58:56,1,8,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,91.74346,-3.934376,3.334203,2266.310587,150.866386,11:00:00,6.35555,-1.79174,5.20784,-14.96772,19.50025,-10.20237,1.39622,0.49712,83.42311,-6.760132,1.530233,0.422551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06658,11.23312,1.49113,50,5.97992,-7.24124,-132.55635,-9.61583,10.7422,29.60636,-12.28339,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,9397ca30-bc1c-11f0-90ad-530ac0d17e2f,89.20208,NA,NA,8.32035,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:58:56,2025-11-07T20:58:56Z,2025-11-07T20:58:56Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,8dbeb33f-9620-4dde-bad4-a914ebd02105,55.28904,-133.73244,14.80318,6.35221,-9.12788,-6.1417,1.78726,-7.66797,5.3711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-11-07,14:59:18,1,9,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,90.84494,-3.243006,3.199819,2170.783318,151.168808,11:00:00,6.20362,-1.61061,5.37344,-16.01276,18.7882,-9.69587,1.82085,0.58441,82.77222,-6.263774,1.47976,0.424587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74429,10.68245,1.33063,50,5.90136,-6.89438,-131.41708,-7.96472,10.02289,28.44078,-13.53491,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,a0c72fc0-bc1c-11f0-90ad-530ac0d17e2f,88.77429,NA,NA,8.07271,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:59:18,2025-11-07T20:59:18Z,2025-11-07T20:59:18Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,312dd80d-c721-48a6-b7c0-f670d23ee7ec,55.12233,-132.521,14.22039,6.20032,-7.43937,-6.76745,1.60579,-7.28342,5.01145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-11-07,14:59:39,1,10,"Kennedy, Jacob",10303050,Right,OKL_CPR,"Indomenico, Remo",1000190310,Left,OKL_COW,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,NA,86.30899,-5.981982,1.607038,1432.205123,145.558884,10:45:00,5.99537,-2.04735,5.86572,-22.279419999999998,15.67603,-9.88524,-1.44053,-1.3779,79.36281,-10.097615,-0.168771,0.443413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55473,10.11264,1.92311,50,5.49607,-3.10546,-124.68609,-13.75765,8.73207,25.40378,-16.27687,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20251107-OKState-Private-1,ad4bd660-bc1c-11f0-90ad-530ac0d17e2f,85.00523,NA,NA,6.94618,NA,NA,NA,NA,NA,NA,00e3e632-1a6d-4a36-a3f9-da1332deb898,2025-11-07,20:59:39,2025-11-07T20:59:39Z,2025-11-07T20:59:39Z,NA,v3,NA,4245,NA,"Indomenico, Remo",1000190310,Left,OKL_CPR,18aeb066-5625-4b97-834d-5242409685c4,54.63304,-125.62649,12.70189,5.9942,-13.15512,-8.13844,2.04405,-3.42871,4.36603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
