player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-01,15:18:25,1,1,"Wech, Noah",815566,Right,OKL_CPR,"Thompson, Brock",815558,Left,OKL_COW,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.78438,-3.848101,-2.613701,2329.609758,234.612835,01:45:00,6.19006,1.35344,6.50202,-19.01245,13.25013,17.00568,1.06475,0.36995,83.96015,-7.467588,0.473765,0.408809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.75894,8.5215,-1.17753,50,5.91203,5.44478,-134.38153,-9.59174,-17.58358,33.10388,-16.82005,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,8bb6d790-ffb3-11f0-b5c4-89972c7c31a2,92.20051,NA,NA,8.82423,NA,NA,NA,NA,NA,NA,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:18:25,2026-02-01T21:18:25Z,2026-02-01T21:18:25Z,NA,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,c3f52906-9d79-4b60-841b-5b594d5b4b0f,53.9966,-135.36248,16.55194,6.18888,-9.09332,-8.41003,-1.34659,5.96583,-8.79179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-01,15:18:41,1,2,"Wech, Noah",815566,Right,OKL_CPR,"Thompson, Brock",815558,Left,OKL_COW,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,93.15762,-3.277393,-2.245942,2337.822632,233.042103,01:45:00,6.08416,1.36591,6.12726,-19.35143,13.08414,15.82375,1.43635,0.60739,84.20311,-6.939964,0.607251,0.409904,55.99832,-62.745273,-19.420508,NA,NA,NA,NA,1.5315,1.5315,-33.510473,0.018291,-8.90449,8.1554,-1.20224,50,5.82319,4.61216,-134.93793,-8.33575,-16.17423,33.42797,-17.36049,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,9550ba50-ffb3-11f0-b5c4-89972c7c31a2,91.95428,1.33967,NA,8.95451,NA,NA,NA,0.62609,1.33967,-0.61606,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:18:41,2026-02-01T21:18:41Z,2026-02-01T21:18:41Z,GroundBall,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,d87259cf-6402-45f9-96c3-9fac6f61371f,54.37091,-136.01642,16.71399,6.08309,-7.77564,-8.68025,-1.35946,5.13399,-8.08711,NA,0.62577,35.58222,NA,NA,NA,NA,NA,NA,NA,1.34034,-73.24025,NA,NA,NA,NA,NA,NA,NA,-0.61595,-12.5448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-01,15:19:24,2,1,"Wech, Noah",815566,Right,OKL_CPR,"Ortiz, Avery",806499,Right,OKL_COW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.79502,-2.11382,-3.02547,2337.589022,224.606015,01:30:00,6.22,1.34563,6.34668,-16.78749,15.13103,13.71761,2.87157,-0.29892,84.02639,-5.354305,-0.545602,0.406624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.06634,8.91083,-1.13127,50,6.05819,6.57132,-135.81395,-5.48222,-14.75231,35.52417,-15.87732,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,aee22350-ffb3-11f0-b5c4-89972c7c31a2,92.69613,NA,NA,9.76863,NA,NA,NA,NA,NA,NA,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:19:24,2026-02-01T21:19:24Z,2026-02-01T21:19:24Z,NA,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,6f472ad3-fef8-45f4-88bb-10cf36b78769,54.14767,-136.89454,17.76208,6.21761,-4.99926,-7.93866,-1.33799,7.02006,-7.37616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-01,15:19:40,2,2,"Wech, Noah",815566,Right,OKL_CPR,"Ortiz, Avery",806499,Right,OKL_COW,Undefined,1,Top,1,0,1,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.74246,-0.401976,-1.596395,2483.697125,206.361768,01:00:00,6.01277,1.45355,6.6974,-18.39147,14.01997,6.40607,4.11242,0.52722,83.1753,-3.942423,-0.429425,0.409752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.81394,7.82331,-1.34929,50,5.97841,3.45245,-133.27971,-1.41918,-6.80362,30.85258,-18.21812,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,b8988ec0-ffb3-11f0-b5c4-89972c7c31a2,91.98852,NA,NA,8.56716,NA,NA,NA,NA,NA,NA,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:19:40,2026-02-01T21:19:40Z,2026-02-01T21:19:40Z,NA,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,df812370-44f9-4a42-9be6-3533a8928412,53.79792,-134.156,15.42629,6.01137,-0.90174,-9.10906,-1.45009,3.64569,-3.40181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-01,15:19:57,2,3,"Wech, Noah",815566,Right,OKL_CPR,"Ortiz, Avery",806499,Right,OKL_COW,Undefined,1,Top,1,1,1,Sinker,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,91.31575,-1.860537,-1.442893,2116.475134,218.497786,01:15:00,6.11342,1.27189,6.08139,-12.56241,21.30273,15.93371,3.34407,1.26448,81.95596,-4.336983,1.426429,0.41884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.55481,11.87568,-1.16796,50,5.96259,2.61972,-132.3482,-4.57253,-14.89784,33.03231,-11.49305,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,c2ceb180-ffb3-11f0-b5c4-89972c7c31a2,89.9925,NA,NA,9.3598,NA,NA,NA,NA,NA,NA,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:19:57,2026-02-01T21:19:57Z,2026-02-01T21:19:57Z,NA,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,427a4883-4382-49a8-b514-5ffb80d4f867,54.4128,-133.44503,16.51616,6.10808,-4.1909,-5.74653,-1.26316,3.11441,-7.44892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-01,15:20:17,2,4,"Wech, Noah",815566,Right,OKL_CPR,"Ortiz, Avery",806499,Right,OKL_COW,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.98949,-0.665515,-1.682969,2564.390203,27.741596,07:00:00,6.16384,1.43614,5.98083,-53.4833,-10.57489,-6.31953,1.08971,-0.65094,74.15468,-10.443918,-2.822818,0.471458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72209,-4.82524,-1.29966,50,6.08181,3.69327,-117.60188,-3.13226,3.75915,25.19705,-38.83757,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,cee442a0-ffb3-11f0-b5c4-89972c7c31a2,79.94874,NA,NA,6.83481,NA,NA,NA,NA,NA,NA,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:20:17,2026-02-01T21:20:17Z,2026-02-01T21:20:17Z,NA,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,57e215c8-6a25-4bf4-9526-bc108858c507,54.5205,-118.56648,12.59852,6.17326,-1.64548,-19.41879,-1.43829,3.54937,1.87958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-01,15:20:42,2,5,"Wech, Noah",815566,Right,OKL_CPR,"Ortiz, Avery",806499,Right,OKL_COW,Undefined,1,Top,1,2,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,80.88233,1.515137,-0.616296,2544.072144,40.405561,07:15:00,6.09474,1.31037,5.96812,-51.76711,-8.45843,-8.52953,3.186,0.02815,73.08344,-8.03117,-2.151524,0.473651,69.64103,50.156504,49.619761,5135.024341,55.56132,83.22125,94.9365,190.83399,87.9124,63.10921,4.68678,4.16984,-4.40118,-1.25682,50,6.1863,1.59039,-117.35848,1.39518,5.69835,26.38202,-38.18858,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,ddcfb010-ffb3-11f0-b5c4-89972c7c31a2,79.57844,83.45587,NA,7.79889,NA,NA,NA,0.07867,2.97323,-0.02939,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:20:42,2026-02-01T21:20:42Z,2026-02-01T21:20:42Z,Popup,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,a87a5e1d-72fb-4559-b3cb-972430dbf809,54.53152,-118.37278,13.19101,6.10443,2.8634,-19.09429,-1.31375,1.37131,2.84918,208.981521,0.08815,42.16203,-13.05564,2.08652,1.0505,-0.83845,0.247,-0.03403,0.00181,2.96698,78.54752,-22.49713,2.43689,-0.6304,0.11015,0.00564,-0.00463,4.2e-4,-0.0293,49.84,-5.34887,0.6441,0.16292,-0.14673,0.04649,-0.00697,4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9684,4.44151,-0.1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-01,15:21:10,2,6,"Wech, Noah",815566,Right,OKL_CPR,"Ortiz, Avery",806499,Right,OKL_COW,Undefined,1,Top,1,2,2,Cutter,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,91.95326,-1.182064,-2.748603,2432.961631,189.155699,12:15:00,6.09668,1.49185,6.99929,-12.95166,18.97899,2.88508,3.9413,-0.76856,83.39042,-3.740687,-2.220883,0.406701,98.86149,4.799347,27.38951,3203.909702,NA,NA,NA,126.87222,112.61557,32.905116,1.009693,-2.36555,10.78965,-1.32418,50,6.01907,6.30247,-133.55795,-3.00865,-4.23561,31.10297,-12.85488,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,ee53bee0-ffb3-11f0-b5c4-89972c7c31a2,92.67849,5.95046,NA,8.56284,NA,NA,NA,-0.71267,3.71881,0.83516,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:21:10,2026-02-01T21:21:10Z,2026-02-01T21:21:10Z,GroundBall,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,1e286a20-e18b-4994-8996-188f197f5057,53.49778,-134.37004,15.55148,6.09324,-2.67302,-6.42744,-1.49018,6.41306,-2.1178,NA,-0.53998,125.9408,-19.87088,NA,NA,NA,NA,NA,NA,3.77382,11.38761,-15.02929,NA,NA,NA,NA,NA,NA,0.77333,67.33294,0.21253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.97726,5.35322,11.44407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-01,15:21:58,3,1,"Wech, Noah",815566,Right,OKL_CPR,"Ritchie, Kollin",806507,Left,OKL_COW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.82786,-4.462695,-2.488918,2322.963717,195.418552,12:30:00,6.1415,1.50089,6.2826,-7.44347,25.756710000000002,6.76922,1.39586,-0.23041,82.98217,-6.000427,-1.267315,0.414707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.28473,15.10832,-1.32038,50,5.80758,5.49117,-132.84543,-10.4514,-7.56713,31.57508,-5.4917299999999996,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,0af79800-ffb4-11f0-b5c4-89972c7c31a2,90.88925,NA,NA,8.84569,NA,NA,NA,NA,NA,NA,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:21:58,2026-02-01T21:21:58Z,2026-02-01T21:21:58Z,NA,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,8fa1aac3-ca14-48c7-a049-42389459ef08,54.21478,-133.84347,15.78754,6.13518,-10.27782,-2.74586,-1.49772,5.73035,-3.78356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-01,15:22:19,3,2,"Wech, Noah",815566,Right,OKL_CPR,"Ritchie, Kollin",806507,Left,OKL_COW,Undefined,1,Top,1,1,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.26622,0.176767,-1.207464,1107.289748,215.615697,01:15:00,6.21042,1.61166,5.82878,-20.82887,17.08304,11.31426,4.63904,1.43191,78.12801,-3.778643,0.820363,0.443159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.05945,9.01772,-1.51935,50,6.21259,2.15062,-125.15726,-0.22457,-9.53608,27.10718,-17.98239,OKL_CPR,OKL_COW,OKState,TeamExclusive,Team,20260201-OKState-Private-1,171f5190-ffb4-11f0-b5c4-89972c7c31a2,85.05404,NA,NA,8.1382,NA,NA,NA,NA,NA,NA,1b554ef3-acee-4a86-a01b-c36807cb7eb6,2026-02-01,21:22:19,2026-02-01T21:22:19Z,2026-02-01T21:22:19Z,NA,v3,NA,4245,NA,"Smithwick, Campbell",805802,Right,OKL_CPR,d1864d6e-c06d-4e68-81d8-47abf7e8be94,54.66603,-126.16381,13.55359,6.20853,0.44316,-8.99119,-1.60578,2.50471,-4.76804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
