player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-06,18:32:15,1,1,"Morris, Billy",1000334150,Right,FC_OB,"Garner, Bradley",1000433144,Right,BOO_BIG,Undefined,1,Top,0,1,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,74.05108,1.622759,-4.072176,3016.834375,99.25652,09:15:00,4.51103,2.81824,4.54465,-50.07503,3.76044,-13.08296,1.88726,-2.15515,68.17506,-7.353846,-6.348664,0.528087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25544,1.87673,-2.38081,50,4.63335,8.15503,-107.09042,1.27509,6.10888,18.3292,-29.99254,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,1930eb60-4326-11f0-8420-b9a0b99026a3,71.37543,NA,NA,5.87603,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:32:15,2025-06-06T22:32:15Z,2025-06-06T22:32:15Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,161262d0-100d-483c-a796-ae9d319252fb,55.95308,-108.10452,9.1646,4.5169,2.93449,-14.99627,-2.82266,7.81704,3.05444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-06,18:32:27,1,2,"Morris, Billy",1000334150,Right,FC_OB,"Garner, Bradley",1000433144,Right,BOO_BIG,Undefined,1,Top,0,2,1,Undefined,Changeup,InPlay,Undefined,FlyBall,Double,0,0,NA,82.48042,-0.13289,-4.529373,2556.739174,242.248994,02:00:00,4.50261,2.65756,5.16874,-32.25643,9.63414,16.03851,1.68912,-0.27731,76.24664,-6.018478,-1.700228,0.465832,99.48056,17.570735,-11.751569,1470.175914,107.06476,30.7234,-25.24158,329.80776,329.80776,-16.816811,3.556277,-9.17441,5.17992,-2.24792,50,4.46547,8.8096,-119.54503,-1.41381,-13.44701,20.2717,-24.58183,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,208e72b0-4326-11f0-8420-b9a0b99026a3,80.91419,39.32344,NA,6.23377,NA,NA,NA,2.6587,1.8032300000000001,0.24704,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:32:27,2025-06-06T22:32:27Z,2025-06-06T22:32:27Z,LineDrive,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,937c2df4-e433-4278-b555-e0849ab3334d,55.33166,-120.44575,10.13585,4.50402,-0.32159,-12.29092,-2.65262,9.40708,-6.72351,150.795637,2.65888,136.17242,-25.34779,5.71302,-0.97776,0.08018,0.01117,-0.00396,3.6e-4,1.80297,44.05974,-12.85492,-0.10069,-0.10131,0.15244,-0.06127,0.01193,-0.00093000000000000005,0.24709,-28.3343,-1.13243,1.02423,-0.24709,0.01481,0.0063,-0.00154,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-06,18:33:20,2,1,"Morris, Billy",1000334150,Right,FC_OB,"Basler, Peyton",801930,Left,BOO_BIG,Undefined,1,Top,0,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.54934,2.250798,-1.194995,3041.716873,93.879598,09:15:00,5.5296,1.96147,4.52439,-47.40408,1.48925,-5.63469,3.72432,0.35372,71.95337,-6.208111,-2.180348,0.503264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52378,0.62213,-1.83104,50,5.71912,2.55366,-111.27921,2.61519,3.25716,14.48659,-31.37112,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,3ffdeef0-4326-11f0-8420-b9a0b99026a3,74.8959,NA,NA,4.59597,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:33:20,2025-06-06T22:33:20Z,2025-06-06T22:33:20Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,c0c7a0bf-f727-4ac8-aeea-d8c94399ec53,55.97676,-112.05457,7.24329,5.53422,4.29427,-15.68556,-1.96305,2.37933,1.62858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-06,18:33:36,2,2,"Morris, Billy",1000334150,Right,FC_OB,"Basler, Peyton",801930,Left,BOO_BIG,Undefined,1,Top,0,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.9034,1.481932,-1.825845,1523.917319,245.030969,02:15:00,5.23678,2.0878,4.92876,-43.594,4.23544,6.65457,3.00579,0.91585,72.11253,-6.370701,-0.653071,0.497759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.68721,2.12725,-1.9159,50,5.34436,3.30216,-111.82183,1.36496,-4.79093,15.20742,-29.41004,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,49aedc20-4326-11f0-8420-b9a0b99026a3,75.72428,NA,NA,4.79087,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:33:36,2025-06-06T22:33:36Z,2025-06-06T22:33:36Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,33c7a66f-c44a-4af1-b4a8-264e034ee391,55.57207,-112.57707,7.60371,5.2403,2.82552,-14.70502,-2.0858,3.54009,-2.39547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-06,18:33:55,2,3,"Morris, Billy",1000334150,Right,FC_OB,"Basler, Peyton",801930,Left,BOO_BIG,Undefined,1,Top,0,1,1,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,75.8246,1.327645,-0.40039400000000003,3028.404333,79.031047,08:45:00,5.39679,2.0638,4.68607,-50.35593,-0.41504,-8.7467,2.46133,0.95473,70.84685,-7.68838,-1.936851,0.508627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24087,-0.18035,-2.0147,50,5.48558,1.11849,-110.21929,0.74507,5.31215,16.23592,-32.39995,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,553c2a70-4326-11f0-8420-b9a0b99026a3,74.10623,NA,NA,4.97775,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:33:55,2025-06-06T22:33:55Z,2025-06-06T22:33:55Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,6493dabc-b1dc-4b7b-8e8d-eaeb22b19701,55.81542,-111.07263,8.11796,5.40166,2.44798,-16.19997,-2.06615,0.83929,2.65608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-06,18:34:17,2,4,"Morris, Billy",1000334150,Right,FC_OB,"Basler, Peyton",801930,Left,BOO_BIG,Undefined,1,Top,0,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,73.47466,1.893203,-4.882953,1654.05675,294.972269,03:45:00,4.14699,2.8567,5.44977,-55.41909,-3.04795,9.69855,1.30821,-0.91749,68.16762,-8.15393,-3.164946,0.520856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.12563,-1.63036,-2.43186,50,4.27581,8.74799,-106.44218,1.78397,-7.10844,16.30636,-34.06597,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,61e3e970-4326-11f0-8420-b9a0b99026a3,72.36637,NA,NA,5.30704,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:34:17,2025-06-06T22:34:17Z,2025-06-06T22:34:17Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,fa590522-3cd9-43ce-884e-90393441f8b1,55.05181,-107.21329,8.15318,4.15336,3.39492,-17.03299,-2.8535,9.08414,-3.55422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-06,18:34:35,2,5,"Morris, Billy",1000334150,Right,FC_OB,"Basler, Peyton",801930,Left,BOO_BIG,Undefined,1,Top,0,2,2,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.31722,0.064077,-2.500732,2495.44931,236.504977,02:00:00,4.73125,2.9481,5.3391,-31.53053,9.89536,13.29237,2.16388,1.70835,76.52878,-5.704172,-0.141009,0.463241,66.16669,20.496691,-162.650766,1834.285149,-102.0379,16.36225,-41.08793,176.33322,49.0652,-156.277419,2.040853,-7.31256,5.28217,-2.73262,50,4.71422,4.6923,-119.6449,-0.94896,-10.78557,19.29232,-24.38318,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,6ce79560-4326-11f0-8420-b9a0b99026a3,81.36676,17.78443,NA,5.78844,NA,NA,NA,1.34981,1.99955,-1.86832,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:34:35,2025-06-06T22:34:35Z,2025-06-06T22:34:35Z,LineDrive,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,46c94a61-d7ae-480b-9c15-8bca303de074,55.16144,-120.47429,9.64616,4.73249,0.09929,-12.19159,-2.94431,5.15598,-5.39279,NA,1.34981,-86.76416,4.89801,-1.12391,0.00413,0.46899,-0.33195,0.09259,-0.00964,1.99952,33.98293,-19.74608,1.92807,-0.60254,0.30941,-0.14206,0.03692,-0.00392,-1.86834,-27.10598,-2.89452,-0.3456,0.39233,-0.42029,0.23675,-0.07212,0.00944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-06,18:34:56,2,6,"Morris, Billy",1000334150,Right,FC_OB,"Basler, Peyton",801930,Left,BOO_BIG,Undefined,1,Top,0,2,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,1,0,NA,72.33198,3.243732,1.06942,3091.988102,48.531676,07:30:00,5.55321,1.76,4.68227,-67.15933,-11.43359,-14.80292,3.04059,1.54203,66.74556,-8.776782,-1.530386,0.537278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56386,-6.03902,-1.85438,50,5.8216,-1.38203,-104.90066,3.59405,8.46197,17.08163,-38.93014,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,79147f10-4326-11f0-8420-b9a0b99026a3,70.15441,NA,NA,5.58642,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:34:56,2025-06-06T22:34:56Z,2025-06-06T22:34:56Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,3f14b571-5b5b-4512-9e3a-a0f192c46d1c,55.82096,-105.84428,8.54082,5.56366,5.74462,-19.46507,-1.76512,-1.84948,4.23098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.34746,1.518317,0.752179,0.766138,0.66811,2.92379,-1.52179,0.49918,5.15269,-4.32952,66.81043,4.92667,-57.979,0.50173,90.31175,-4.9135,5.17445,11.1254,-14.96315,-4.38699,-80.55292,13.88904,High,High,High,NA,NA,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-06,18:35:20,2,7,"Morris, Billy",1000334150,Right,FC_OB,"Basler, Peyton",801930,Left,BOO_BIG,Undefined,1,Top,1,3,2,Undefined,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,NA,77.83589,0.641209,0.366265,3081.107071,84.326983,08:45:00,5.36567,1.92423,4.69239,-46.99164,0.44232,-8.08359,2.0585,1.59833,72.62578,-7.778097,-1.054648,0.495697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0976,0.36992,-1.95358,50,5.38782,-0.39455,-113.14556,-0.45938,5.40017,17.42712,-31.68654,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,87825810-4326-11f0-8420-b9a0b99026a3,76.0393,NA,NA,5.21011,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:35:20,2025-06-06T22:35:20Z,2025-06-06T22:35:20Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,423b009f-5dfc-423a-99b4-eff24e747a7e,55.80895,-114.03677,8.71356,5.36988,1.16105,-15.84327,-1.92635,-0.67071,2.70009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-06,18:35:49,3,1,"Morris, Billy",1000334150,Right,FC_OB,"Watkins, Grant",830787,Left,BOO_BIG,Undefined,1,Top,1,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.4715,-0.366293,-1.849459,1757.417452,254.774219,02:30:00,5.35676,1.99715,4.82044,-42.92762,3.74756,8.99075,1.43234,0.99404,72.95943,-8.088973,-0.265764,0.491716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.93095,2.27059,-1.8219,50,5.28301,3.31584,-113.9722,-2.27828,-6.56651,18.5063,-29.1503,FC_OB,BOO_BIG,McNairField,CPL,CPL,20250606-McNairField-2,991761b0-4326-11f0-8420-b9a0b99026a3,76.6549,NA,NA,5.51207,NA,NA,NA,NA,NA,NA,6f85b808-264b-4461-b366-48541a254683,2025-06-06,22:35:49,2025-06-06T22:35:49Z,2025-06-06T22:35:49Z,NA,v3,NA,NA,NA,"Wall, Micajah",1000131896,Right,FC_OB,0a35719f-d888-4690-bd97-1fce2712ef15,55.68003,-114.89079,9.25315,5.36019,-0.83135,-14.57515,-1.99457,3.64178,-3.28326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
