player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-06,18:53:39,1,1,"Finn, Jack",1000250788,Left,VIC_HAR,"Giesegh, Jeremy",10268327,Right,PTA_LEF,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.79303,-1.441669,1.367662,2361.635832,154.890164,11:15:00,5.80437,-1.29253,6.57902,-13.65965,21.42092,-9.31886,3.34416,-0.81545,78.9508,-4.193578,-0.326306,0.42629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36583,12.16524,1.2019,50,5.69923,-2.71369,-130.00098,-3.51719,8.80934,37.55739,-12.2017,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,3c041b50-4342-11f0-8f4f-09c672f5d6a5,88.41981,NA,NA,10.84224,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:53:39,2025-06-07T01:53:39Z,2025-06-07T01:53:39Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,1e844185-caca-4d75-8d1f-f8b8312600ca,53.91023,-131.12579,18.7787,5.79909,-3.15176,-6.10085,1.28712,-2.97752,4.40467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-06,18:53:52,1,2,"Finn, Jack",1000250788,Left,VIC_HAR,"Giesegh, Jeremy",10268327,Right,PTA_LEF,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.61805,-0.658518,0.926292,2287.035038,155.843001,11:15:00,5.71921,-1.19057,6.55061,-13.6582,21.52481,-8.97457,3.97709,-1.08901,78.86072,-3.410482,-0.704395,0.426912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.99347,11.87717,1.12964,50,5.66733,-1.72067,-129.80027,-1.73561,8.18599,37.05126,-12.70339,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,43a3dbc0-4342-11f0-8f4f-09c672f5d6a5,88.29098,NA,NA,10.75733,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:53:52,2025-06-07T01:53:52Z,2025-06-07T01:53:52Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,7798d733-1207-4d12-a820-b00922402e6f,53.93833,-130.91963,18.52563,5.71396,-1.35183,-6.35169,1.18535,-1.96798,4.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-06,18:54:07,1,3,"Finn, Jack",1000250788,Left,VIC_HAR,"Giesegh, Jeremy",10268327,Right,PTA_LEF,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.56525,-2.035178,1.732118,2253.61369,167.63648800000001,11:30:00,5.71308,-1.00904,6.71272,-12.61493,23.34997,-4.76729,2.79978,0.17757,77.78024,-4.610683,0.86374,0.431629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17965,13.49359,0.89575,50,5.57247,-3.68253,-128.17174,-4.73559,5.06513,36.93228,-10.67885,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,4cb10ee0-4342-11f0-8f4f-09c672f5d6a5,87.32596,NA,NA,10.78502,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:54:07,2025-06-07T01:54:07Z,2025-06-07T01:54:07Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,48d31268-da0f-460e-b869-6b7c01fe4f32,53.77614,-129.25524,18.46614,5.7068,-4.4223,-5.33943,1.00596,-3.83113,2.53257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-06,18:54:22,1,4,"Finn, Jack",1000250788,Left,VIC_HAR,"Giesegh, Jeremy",10268327,Right,PTA_LEF,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,88.14397,-0.665323,1.288377,2339.596506,179.621148,12:00:00,5.68762,-1.1783,6.75099,-15.33272,20.49044,-0.12587,3.80196,-0.0117,78.1961,-3.718882,1.26543,0.430778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54457,11.4239,1.09389,50,5.63744,-2.8692,-127.7973,-1.77827,0.87208,34.10368,-13.87956,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,5585cce0-4342-11f0-8f4f-09c672f5d6a5,87.49854,NA,NA,9.94786,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:54:22,2025-06-07T01:54:22Z,2025-06-07T01:54:22Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,e42b8334-935b-46a5-831c-e48f2614466d,53.73951,-128.79135,17.05184,5.68338,-1.37371,-6.93978,1.1779,-2.89461,0.43604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-06,18:54:41,1,5,"Finn, Jack",1000250788,Left,VIC_HAR,"Giesegh, Jeremy",10268327,Right,PTA_LEF,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,90.07677,-1.77631,2.206106,2344.8944,164.915928,11:30:00,5.69916,-1.13473,6.54534,-13.4715,21.2667,-5.33756,2.94583,0.4446,79.67297,-4.475051,1.237327,0.424204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60272,12.16823,0.98405,50,5.57,-4.80097,-130.4014,-4.29877,5.98945,36.2262,-11.94453,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,60cd3890-4342-11f0-8f4f-09c672f5d6a5,88.85445,NA,NA,10.4038,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:54:41,2025-06-07T01:54:41Z,2025-06-07T01:54:41Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,6cb0919c-56e6-408c-bbf4-e8817e2c7ca3,53.94508,-131.4928,18.1131,5.69408,-3.93892,-5.97227,1.1314,-4.98142,2.99472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.77849,2.767132,1.861786,0.905347,-0.61054,2.78472,-0.48772,0.3259,5.58839,-6.11043,65.56151,8.80556,-59.21265,0.35354,75.73838,-4.08588,5.63566,16.75869,-14.61579,-6.19123,-65.28204,7.37535,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-06,18:55:09,2,1,"Finn, Jack",1000250788,Left,VIC_HAR,"Nelson, Jett",1000133455,Right,PTA_LEF,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,89.39687,-4.367163,3.390081,2214.901888,167.716337,11:30:00,5.70529,-1.25277,6.84643,-13.9028,21.24281,-4.29307,0.55001,1.48417,79.14958,-7.141523,2.607684,0.426684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58189,13.36387,1.03725,50,5.41972,-7.47906,-129.0636,-10.12079,5.81802,36.11453,-10.46726,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,72061870-4342-11f0-8f4f-09c672f5d6a5,88.33796,NA,NA,10.24729,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:55:09,2025-06-07T01:55:09Z,2025-06-07T01:55:09Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,9b5a0e61-0a39-426a-baeb-fb276be4c3e1,53.64553,-130.07969,18.05726,5.70032,-9.82629,-5.23363,1.24998,-7.64275,2.90901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-06,18:55:22,2,2,"Finn, Jack",1000250788,Left,VIC_HAR,"Nelson, Jett",1000133455,Right,PTA_LEF,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.99721,-3.109978,2.91873,2195.479226,159.923472,11:15:00,5.59802,-1.08317,6.8054500000000004,-15.51623,18.76162,-6.35548,1.46062,1.0529,80.36262,-6.161768,1.760131,0.421384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40075,11.42914,0.89647,50,5.39053,-6.39656,-130.28672,-7.41878,7.35776,34.33434,-13.06522,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,79916680-4342-11f0-8f4f-09c672f5d6a5,89.44911,NA,NA,9.6346,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:55:22,2025-06-07T01:55:22Z,2025-06-07T01:55:22Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,8c847880-8a52-4b15-a112-cb4a4a27ed1b,53.68819,-131.25506,17.16717,5.59456,-7.0503,-6.53261,1.0798,-6.60408,3.67888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-06,18:55:39,2,3,"Finn, Jack",1000250788,Left,VIC_HAR,"Nelson, Jett",1000133455,Right,PTA_LEF,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.8163,-1.700027,2.192297,2226.61944,157.902835,11:15:00,5.65546,-2.32634,6.73067,-14.97072,20.05682,-7.50217,2.85278,-0.94717,78.71044,-4.703038,0.82553,0.425967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79508,11.64237,2.18394,50,5.53692,-4.66372,-129.94369,-4.14031,7.83413,38.48492,-13.15294,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,837aefe0-4342-11f0-8f4f-09c672f5d6a5,88.48671,NA,NA,11.10585,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:55:39,2025-06-07T01:55:39Z,2025-06-07T01:55:39Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,5f0262c4-b776-4b63-9736-f12049f2b7bc,53.75747,-131.05181,19.24246,5.65068,-3.76159,-6.57647,2.32148,-4.88929,3.91707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-06,18:55:51,2,4,"Finn, Jack",1000250788,Left,VIC_HAR,"Nelson, Jett",1000133455,Right,PTA_LEF,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,88.98681,-1.856516,2.678662,2282.0322,179.559352,12:00:00,5.70727,-1.9376,6.68058,-17.16469,18.44265,-0.12996,2.57628,0.50352,78.47329,-5.240787,2.655028,0.429478,80.30595,19.72493,4.6297180000000004,2729.086745,109.17226,29.68988,13.46804,239.74561,239.74561,10.356358,3.030659,1.13532,10.86733,1.75869,50,5.57611,-6.01943,-128.77005,-4.55909,1.82949,36.75625,-14.66198,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,8acd0580-4342-11f0-8f4f-09c672f5d6a5,87.76336,30.81073,NA,10.51352,NA,NA,NA,1.2985,2.62823,-0.5031,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:55:51,2025-06-07T01:55:51Z,2025-06-07T01:55:51Z,LineDrive,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,18cb3677-8ce3-4f70-b77b-6366fcc6a54b,53.81061,-129.85319,18.37813,5.70409,-4.12703,-7.33099,1.93687,-6.07334,0.91475,213.197798,1.29866,110.50254,-18.40983,3.90115,-0.66625,0.06958,0.00229,-0.00213,2.5e-4,2.62797,39.76248,-14.63292,0.53292,-0.14209,0.07244,-0.02375,0.00485,-4.3e-4,-0.50322,8.95402,3.81587,-1.18522,0.27533,-0.06016,0.01497,-0.00288,2.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-06,18:56:26,3,1,"Finn, Jack",1000250788,Left,VIC_HAR,"Doughty, Chanz",1000261170,Right,PTA_LEF,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.63129,-0.780053,3.253125,2332.151141,167.098506,11:30:00,5.64202,-2.24509,6.65789,-15.28013,21.29576,-4.52768,3.65366,0.35772,77.48102,-3.82866,2.431003,0.43528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5754,11.84859,2.02776,50,5.58267,-7.02402,-126.80693,-2.01446,5.62372,34.13955,-13.53752,VIC_HAR,PTA_LEF,RoyalPark,WCL,WCL,20250606-RoyalPark-1,9f662760-4342-11f0-8f4f-09c672f5d6a5,86.59353,NA,NA,10.15028,NA,NA,NA,NA,NA,NA,7e04ba12-e66e-4da7-85bf-a36df1988158,2025-06-07,01:56:26,2025-06-07T01:56:26Z,2025-06-07T01:56:26Z,NA,v3,NA,NA,NA,"Berezowski, Jai",1000335502,Right,VIC_HAR,aca83987-63f5-4e23-a7ea-c934fc2a1ff3,53.83127,-127.83424,17.06977,5.63716,-1.6071,-6.76876,2.24166,-7.19325,2.81186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
