player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-06,18:04:41,1,1,"Viale, Chase",1000334405,Left,SAN_LUI,"Landry, Isaiah",822879,Right,MEN_PAR,Undefined,1,Top,0,0,0,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.22903,-2.623004,2.804584,2213.065745,NA,NA,6.58824,-1.93156,5.1017,NA,NA,NA,3.30621,-0.0143,76.92171,-4.594072,1.26398,0.453599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2739,16.21792,1.67393,50,6.33417,-5.69715,-124.51812,-5.8697,8.09635,30.17639,-7.27678,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,6521f0e0-433b-11f0-9ad1-f759d24b2d49,83.09631,NA,NA,9.30732,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:04:41,2025-06-07T01:04:41Z,2025-06-07T01:04:41Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,0ce76a5a-aa6c-4563-aa17-6ff30aed249b,55.39163,-125.81797,15.0882,6.58026,-5.55625,-3.63839,1.92685,-6.0459,4.04817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-06,18:04:57,1,2,"Viale, Chase",1000334405,Left,SAN_LUI,"Landry, Isaiah",822879,Right,MEN_PAR,Undefined,1,Top,0,0,1,TwoSeamFastBall,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.2076,-0.912599,0.71137,1869.99274,NA,NA,6.41469,-1.98055,5.17499,NA,NA,NA,4.12628,-1.94801,73.72559,-4.249904,-0.641822,0.470479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00701,13.47068,1.92025,50,6.31779,-1.14597,-120.24965,-2.3535,5.69195,29.8029,-13.03893,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,6ec28a60-433b-11f0-9ad1-f759d24b2d49,80.11498,NA,NA,9.48202,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:04:57,2025-06-07T01:04:57Z,2025-06-07T01:04:57Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,39c76db2-c869-43a1-bb0d-629ae230ac47,55.31412,-121.55958,14.90145,6.40864,-1.7804,-6.51947,1.97611,-1.39615,2.84598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-06,18:05:11,1,3,"Viale, Chase",1000334405,Left,SAN_LUI,"Landry, Isaiah",822879,Right,MEN_PAR,Undefined,1,Top,0,1,1,Fastball,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.72811,-3.524058,2.493054,2285.512272,NA,NA,6.62851,-1.56226,5.04636,NA,NA,NA,2.62642,0.88655,77.47003,-5.218781,2.695635,0.449168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37799,17.13371,1.32356,50,6.28748,-5.55884,-126.44155,-7.88762,0.59081,34.0678,-5.39422,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,772cc6c0-433b-11f0-9ad1-f759d24b2d49,83.91618,NA,NA,10.25808,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:05:11,2025-06-07T01:05:11Z,2025-06-07T01:05:11Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,81507e29-04dc-4adc-aa32-60d19da25628,55.44664,-127.90065,17.0339,6.62036,-7.65659,-2.69711,1.56219,-5.58414,0.29541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-06,18:05:26,1,4,"Viale, Chase",1000334405,Left,SAN_LUI,"Landry, Isaiah",822879,Right,MEN_PAR,Undefined,1,Top,0,1,2,TwoSeamFastBall,NA,InPlay,Undefined,FlyBall,Out,1,0,NA,83.77172,-1.897415,3.694896,1906.080882,NA,NA,5.94544,-2.11783,5.40587,NA,NA,NA,2.0264,0.17679,76.00845,-6.672525,1.198457,0.461168,71.80853,51.561904,-32.567759,3891.531477,91.29967,92.37009,-61.35414,208.47242,207.56413,-35.665259,4.887819,8.26445,8.75221,1.79894,50,5.75863,-7.24632,-121.22579,-4.85775,12.1836,25.76094,-19.27142,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,806ca2a0-433b-11f0-9ad1-f759d24b2d49,81.73253,92.4451,NA,7.76327,NA,NA,NA,2.84235,2.20596,-0.15203,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:05:26,2025-06-07T01:05:26Z,2025-06-07T01:05:26Z,Popup,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,4c3f12ae-0d6b-4147-a119-aebf260c936d,55.09237,-122.30315,12.88047,5.94493,-4.05179,-9.63571,2.11265,-7.75585,6.0918,NA,2.84678,55.06804,-12.62606,3.07435,0.0412,-0.32865,0.1141,-0.01705,9.6e-4,2.19397,82.73945,-23.01331,3.35848,-1.37597,0.4625,-0.08614,0.00701,-1.4e-4,-0.15327,-35.2099,6.88381,-2.00252,0.20178,0.08966,-0.04205,0.00697,-4.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-06,18:06:01,2,1,"Viale, Chase",1000334405,Left,SAN_LUI,"Rabago, Austin",1000115137,Left,MEN_PAR,Undefined,1,Top,1,0,0,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.10644,-1.326417,3.814479,2178.552657,NA,NA,6.41118,-2.05463,5.25198,NA,NA,NA,3.72715,0.52272,78.03597,-4.621463,1.667355,0.446906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24859,11.45823,1.71344,50,6.27722,-7.82552,-125.8341,-3.42339,11.41913,29.69636,-14.12321,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,954c6a70-433b-11f0-9ad1-f759d24b2d49,84.34078,NA,NA,9.07047,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:06:01,2025-06-07T01:06:01Z,2025-06-07T01:06:01Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,1c8bec1c-951c-4548-a237-90121d503f87,55.24078,-127.06488,14.84818,6.40698,-2.83804,-7.0616,2.04758,-8.2988,5.70957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-06,18:06:16,2,2,"Viale, Chase",1000334405,Left,SAN_LUI,"Rabago, Austin",1000115137,Left,MEN_PAR,Undefined,1,Top,1,1,0,FourSeamFastBall,NA,InPlay,Undefined,GroundBall,Out,1,0,NA,86.05727,-2.892616,1.334679,2198.906372,NA,NA,6.58572,-1.87951,5.09523,NA,NA,NA,2.93512,-1.34497,76.19518,-5.126592,-0.199551,0.456277,57.94283,1.568487,36.491546,2004.490619,NA,NA,NA,31.03965,27.65986,37.413228,0.356419,4.79055,15.9758,1.76061,50,6.30517,-2.49428,-124.22834,-6.49127,7.25094,32.17275,-7.99328,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,9e191220-433b-11f0-9ad1-f759d24b2d49,82.6087,2.51356,NA,9.86209,NA,NA,NA,1.14313,2.46394,1.45387,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:06:16,2025-06-07T01:06:16Z,2025-06-07T01:06:16Z,GroundBall,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,32751881-318a-4b9f-81ea-edb71fa5b26e,55.39707,-125.6183,16.08638,6.57815,-6.14593,-3.99664,1.87514,-2.80755,3.62547,NA,1.14124,68.36575,-6.70888,NA,NA,NA,NA,NA,NA,2.46947,2.12015,-25.42998,NA,NA,NA,NA,NA,NA,1.45244,50.57375,-4.86532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-06,18:06:53,3,1,"Viale, Chase",1000334405,Left,SAN_LUI,"Anderson, William",1000265922,Left,MEN_PAR,Undefined,1,Top,2,0,0,FourSeamFastBall,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.73317,-2.089296,3.347693,2096.460882,NA,NA,6.45876,-1.71806,5.07304,NA,NA,NA,2.91924,0.69181,77.68405,-5.649671,1.761041,0.45075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53398,11.22757,1.40756,50,6.24631,-6.90248,-125.23398,-5.16415,8.61977,29.82346,-14.68597,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,b3c24470-433b-11f0-9ad1-f759d24b2d49,83.62165,NA,NA,9.04912,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:06:53,2025-06-07T01:06:53Z,2025-06-07T01:06:53Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,5912604e-d3fe-45f7-b6e7-4ecd5de36d78,55.41913,-126.51792,14.91173,6.45502,-4.5319,-7.34299,1.71271,-7.27357,4.30989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-06,18:07:07,3,2,"Viale, Chase",1000334405,Left,SAN_LUI,"Anderson, William",1000265922,Left,MEN_PAR,Undefined,1,Top,2,0,1,Curveball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,71.83566,0.326875,1.876834,2391.697658,NA,NA,6.49231,-1.97494,5.05764,NA,NA,NA,2.3172,1.14031,64.93707,-9.463099,4.728443,0.544318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.30036,2.245,1.78317,50,6.48152,-4.02705,-103.92429,-1.1372,-7.79276,21.30342,-29.77761,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,bc8241f0-433b-11f0-9ad1-f759d24b2d49,69.24703,NA,NA,6.89858,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:07:07,2025-06-07T01:07:07Z,2025-06-07T01:07:07Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,3e13870a-2629-47fe-8bb7-4b4a12307f43,55.43714,-105.03293,10.65171,6.50038,0.41244,-14.8888,1.98219,-3.62151,-3.89638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-06,18:07:23,3,3,"Viale, Chase",1000334405,Left,SAN_LUI,"Anderson, William",1000265922,Left,MEN_PAR,Undefined,1,Top,2,1,1,FourSeamFastBall,NA,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.56182,-5.166236,1.764117,2266.316488,NA,NA,7.01852,-1.75904,5.1488,NA,NA,NA,3.19089,0.7203,77.53849,-3.222036,3.495248,0.448177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.10425,27.26301,1.58676,50,6.54343,-4.37202,-126.13629,-10.41938,-6.43932,31.91104,10.60004,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,c5d50990-433b-11f0-9ad1-f759d24b2d49,84.10168,NA,NA,10.02333,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:07:23,2025-06-07T01:07:23Z,2025-06-07T01:07:23Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,03ade235-ffde-401b-987d-41258cac114f,55.34325,-127.4809,15.95552,6.99187,-10.86603,5.30002,1.76526,-4.10069,-3.21966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-06,18:07:45,3,4,"Viale, Chase",1000334405,Left,SAN_LUI,"Anderson, William",1000265922,Left,MEN_PAR,Undefined,1,Top,2,1,2,Curveball,NA,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,74.37768,0.189142,1.7212,2457.870485,NA,NA,6.33562,-2.02017,4.91971,NA,NA,NA,2.79536,1.01288,66.4855,-7.994148,4.691297,0.529096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.61996,5.21973,1.83766,50,6.31808,-3.91665,-107.45628,-1.11205,-8.63239,24.01439,-26.26078,SAN_LUI,MEN_PAR,SinsheimerPark,Cali Collegiate,CCL,20250606-SinsheimerPark-1,d31e38b0-433b-11f0-9ad1-f759d24b2d49,71.23934,NA,NA,7.89217,NA,NA,NA,NA,NA,NA,91f71ce4-c727-4f8d-909f-dda46afae8e5,2025-06-07,01:07:45,2025-06-07T01:07:45Z,2025-06-07T01:07:45Z,NA,v3,NA,NA,NA,"Andrews, Camden",1000391624,Right,SAN_LUI,73eff0d6-f99f-4138-8dbd-87a740b11bf2,55.57238,-108.69447,12.0072,6.34052,0.24196,-13.13039,2.02813,-3.47157,-4.31619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.16691,NA,NA,1.483398,NA,NA,NA,-0.23633,4.55774,6.40575,79.9558,1.79683,-44.8293,-0.19321,58.38076,-2.97874,4.61297,19.97142,-14.81605,6.35969,-38.63996,2.83521,Low,Low,Low,NA,NA,Low,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
