player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-08,13:10:00,1,1,"Wellen, Braden",NA,Right,MLB_ACA,"Mandino, Maddox",1000334335,Left,SAN_BAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.48253,-3.302409,0.482594,2428.967492,181.632592,12:00:00,6.09085,0.35425,6.96866,-13.9191,21.65088,0.58012,1.92322,0.84162,79.03909,-6.055111,0.588864,0.429253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15169,12.95938,-0.38421,50,5.88097,-1.09042,-126.936,-7.57116,-0.24369,29.68334,-11.35249,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,8f2f1c40-44a4-11f0-9d60-a7af218e8b38,87.80937,NA,NA,8.44344,NA,NA,NA,NA,NA,NA,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:10:00,2025-06-08T20:10:00Z,2025-06-08T20:10:00Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,70cb9d98-2519-480e-a854-cee63bc9c27b,53.52878,-127.75852,14.84167,6.08641,-7.25658,-5.67624,-0.35409,-1.08367,-0.12185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-08,13:10:19,1,2,"Wellen, Braden",NA,Right,MLB_ACA,"Mandino, Maddox",1000334335,Left,SAN_BAR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,NA,89.21281,-2.856265,0.302681,2439.81683,194.005432,12:30:00,6.16086,0.57615,7.07232,-13.45839,20.68741,4.84323,2.4439,1.25457,80.31998,-5.531757,1.191659,0.420572,92.32546,9.058493,-38.116131,4296.033333,83.15066,5.52639,-72.01276,141.16566,141.16566,-41.876669,1.236653,-2.49248,12.40347,-0.59553,50,5.98439,-0.85869,-129.51828,-6.7011,-4.15119,31.97481,-11.51622,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,9a3beff0-44a4-11f0-9d60-a7af218e8b38,89.62189,7.95158,NA,8.89283,NA,NA,NA,1.19777,2.3164,-1.23796,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:10:19,2025-06-08T20:10:19Z,2025-06-08T20:10:19Z,LineDrive,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,39fa09b7-08e7-466a-b8a0-af1438523ae2,53.42622,-130.36139,15.98741,6.15708,-6.39744,-5.75811,-0.57433,-0.74924,-2.07559,NA,1.19778,105.20674,-19.63758,2.57887,-0.49293,-0.03884,0.11737,-0.05404,0.00854,2.3164,21.31833,-21.4392,2.52202,-0.04418,-0.68361,0.72285,-0.34015,0.06167,-1.23796,-82.53987,7.23109,-1.20851,-0.07925,0.54155,-0.54318,0.25232,-0.04539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-08,13:11:31,2,1,"Wellen, Braden",NA,Right,MLB_ACA,"Farr, Sawyer",820828,Left,SAN_BAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.99144,-3.81885,1.142276,2474.129422,183.058646,12:00:00,6.22649,0.7473,6.19301,-13.48174,22.65789,1.14193,1.5713,1.89722,79.79176,-6.443833,1.348315,0.432676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23618,13.24221,-0.83388,50,5.93125,-2.58829,-127.45251,-8.80565,-0.38464,28.61575,-10.60768,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,c5059c90-44a4-11f0-9d60-a7af218e8b38,87.11466,NA,NA,8.19968,NA,NA,NA,NA,NA,NA,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:11:31,2025-06-08T20:11:31Z,2025-06-08T20:11:31Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,df50d144-0e28-4d81-b491-cdb10bf548ad,54.30425,-128.41527,14.30788,6.22151,-8.44876,-5.30384,-0.74702,-2.57535,-0.19232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-08,13:11:55,2,2,"Wellen, Braden",NA,Right,MLB_ACA,"Farr, Sawyer",820828,Left,SAN_BAR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,1,NA,88.23746,-5.682763,0.231578,2506.719415,190.226651,12:15:00,6.13274,0.49559,6.68846,-13.91765,21.44804,3.64295,-0.24173,1.01098,80.32793,-8.380176,0.895534,0.428018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88378,13.5295,-0.51248,50,5.74697,-0.6455,-127.69214,-13.01234,-3.07773,28.86287,-10.0696,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,d33904a0-44a4-11f0-9d60-a7af218e8b38,88.06267,NA,NA,7.90952,NA,NA,NA,NA,NA,NA,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:11:55,2025-06-08T20:11:55Z,2025-06-08T20:11:55Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,c5f4a1d8-fe8c-432b-a590-b3d661ab62fd,53.81348,-128.55123,14.43144,6.12982,-12.71262,-5.0348,-0.49463,-0.55389,-1.53886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-08,13:12:26,2,3,"Wellen, Braden",NA,Right,MLB_ACA,"Farr, Sawyer",820828,Left,SAN_BAR,Undefined,1,Top,0,2,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.9537,-3.069076,0.503508,2576.592729,182.944161,12:00:00,6.10332,0.43364,6.54714,-16.81462,17.83324,0.85744,1.88471,0.96686,81.10295,-6.298795,0.659374,0.423652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.30075,10.60693,-0.46878,50,5.88341,-1.16802,-129.12206,-7.34309,-0.50492,28.28899,-14.36682,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,e5d2d410-44a4-11f0-9d60-a7af218e8b38,88.97023,NA,NA,7.85075,NA,NA,NA,NA,NA,NA,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:12:26,2025-06-08T20:12:26Z,2025-06-08T20:12:26Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,c44f923c-fcd1-46fc-8747-ac2460514f78,53.95188,-129.98498,14.1445,6.10072,-6.90485,-7.18341,-0.43339,-1.15261,-0.25246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-08,13:12:41,2,4,"Wellen, Braden",NA,Right,MLB_ACA,"Farr, Sawyer",820828,Left,SAN_BAR,Undefined,1,Top,0,2,1,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.02657,-2.19464,-0.089573,2566.133728,177.586203,12:00:00,6.18985,0.59726,6.56266,-13.69103,21.03777,-0.8352,3.03589,0.44554,80.55014,-4.884273,-0.241385,0.424147,66.96455,30.526429,-151.70225,3406.522242,NA,NA,NA,NA,42.56,NA,NA,0.41051,12.09619,-0.59077,50,6.03248,0.23442,-129.26233,-5.24582,0.68603,30.04331,-11.96026,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,ef21cb20-44a4-11f0-9d60-a7af218e8b38,88.86645,22.17999,NA,8.47644,NA,NA,NA,0.97681,2.81873,-0.31365,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:12:41,2025-06-08T20:12:41Z,2025-06-08T20:12:41Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,7b291f57-c00c-416a-8e3c-f6e59857e276,53.9362,-130.17397,15.02166,6.18616,-4.8829,-5.98013,-0.59757,0.2136,0.34302,41.391589,0.97681,-74.49113,2.76979,0.46776,0.02538,-0.76916,1.63807,-1.73234,0.75341,2.81873,49.88675,-27.09755,3.26917,-0.56322,-0.39086,1.02067,-1.09553,0.47773,-0.31365,-40.10573,9.5591,-1.86471,0.25035,0.45812,-1.03166,1.09652,-0.4773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-08,13:13:05,2,5,"Wellen, Braden",NA,Right,MLB_ACA,"Farr, Sawyer",820828,Left,SAN_BAR,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.90716,2.545673,1.955288,2546.166703,69.772371,08:15:00,6.15662,0.49479,5.79588,-50.74896,-2.84614,-12.1382,4.29844,1.30277,69.80463,-6.807067,-0.218437,0.498141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.73461,-1.67894,-0.64854,50,6.33633,-3.34462,-111.49557,3.34028,8.395,21.86708,-34.26694,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,fcfc64d0-44a4-11f0-9d60-a7af218e8b38,75.66626,NA,NA,7.10254,NA,NA,NA,NA,NA,NA,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:13:05,2025-06-08T20:13:05Z,2025-06-08T20:13:05Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,1e21bfaa-e10e-48b3-9b74-5507af8cbd17,54.70451,-112.41446,10.93354,6.16571,4.78022,-17.13347,-0.50058,-3.69739,4.1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-08,13:13:25,2,6,"Wellen, Braden",NA,Right,MLB_ACA,"Farr, Sawyer",820828,Left,SAN_BAR,Undefined,1,Top,0,3,2,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.82555,-1.326168,-1.126952,2534.863568,184.91003,12:15:00,6.07929,0.55737,6.74851,-16.3765,19.04399,1.52945,3.5026,-0.34485,79.43949,-4.522089,-0.84803,0.42835,67.09666,43.604718,-167.506485,3841.905177,NA,NA,NA,NA,38.64941,NA,NA,-1.16366,10.85213,-0.48392,50,5.98552,2.45289,-127.58688,-3.31983,-1.89359,29.38645,-14.51482,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,09519700-44a5-11f0-9d60-a7af218e8b38,87.99449,33.21911,NA,8.38606,NA,NA,NA,1.352,3.48404,0.34394,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:13:25,2025-06-08T20:13:25Z,2025-06-08T20:13:25Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,ee9fa66a-a41d-48b7-bf5c-a264c220d9df,53.7502,-128.44774,14.69323,6.07654,-2.89463,-7.25741,-0.55658,2.50836,-0.94679,3.129572,1.352,-69.57153,3.06087,1.53841,-0.62322,0.20562,-0.06327,0.03347,-0.01306,3.48404,67.87014,-31.16274,4.87631,-1.06637,0.25166,-0.07802,0.01131,0.00835,0.34394,-15.41538,1.33912,-0.99216,0.30496,-0.08904,0.02754,-0.00971,0.00194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-08,13:13:52,2,7,"Wellen, Braden",NA,Right,MLB_ACA,"Farr, Sawyer",820828,Left,SAN_BAR,Undefined,1,Top,0,3,2,Fastball,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,88.91516,-1.204094,-0.43418,2453.186497,169.009798,11:45:00,6.10175,0.51204,6.56364,-17.14777,17.42371,-3.16248,3.56868,-0.14956,80.93557,-4.510726,-1.009049,0.423185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52642,9.83556,-0.48097,50,6.01122,1.10242,-129.22339,-3.14395,2.5668,28.31573,-15.63473,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,194ec290-44a5-11f0-9d60-a7af218e8b38,89.06846,NA,NA,7.97959,NA,NA,NA,NA,NA,NA,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:13:52,2025-06-08T20:13:52Z,2025-06-08T20:13:52Z,NA,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,6688234c-3c2f-48d1-b971-6a5dec38fcb7,53.93515,-130.08281,14.15786,6.09944,-2.66942,-7.81737,-0.51324,1.02451,1.2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.33902,2.57365,1.51552,1.05813,-0.69752,3.39893,0.18722,-1.84708,4.56537,-0.84629,76.12968,9.36247,-48.65331,-1.8025,78.69403,-4.74915,4.65544,20.40836,-15.04681,-1.00418,-53.43545,7.88347,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-08,13:14:26,3,1,"Wellen, Braden",NA,Right,MLB_ACA,"Moomau, Easton",831202,Left,SAN_BAR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,89.44255,-3.051317,-0.913435,2477.025621,173.446711,11:45:00,6.05142,0.24173,6.95583,-16.39521,17.19233,-1.85146,1.90564,-0.74381,81.91573,-6.214664,-1.252557,0.41712,64.18259,-8.945758,-17.050437,NA,NA,NA,NA,10.92671,10.92671,-12.362283,0.112865,0.73221,10.37654,-0.18453,50,5.85594,2.13836,-129.98027,-7.30729,1.2503,27.71747,-14.45511,MLB_ACA,SAN_BAR,MLBAcademy,Cali Collegiate,CCL,20250608-MLBAcademy-1,2dd10110-44a5-11f0-9d60-a7af218e8b38,90.36364,1.83824,NA,7.52682,NA,NA,NA,0.80686,1.83824,0.76966,dceb1a6e-0706-4bc6-a011-200837afac41,2025-06-08,20:14:26,2025-06-08T20:14:26Z,2025-06-08T20:14:26Z,GroundBall,v3,NA,NA,NA,"Ocampo, Isaac",1000436786,Right,MLB_ACA,6fe5cda2-76b5-4cfc-98bc-81bc496c4512,53.54501,-130.73404,13.85874,6.04931,-6.91419,-7.22755,-0.24222,2.10435,0.62515,82.538279,0.80697,88.88879,-13.04531,NA,NA,NA,NA,NA,NA,1.83832,-14.64706,-14.54259,NA,NA,NA,NA,NA,NA,0.76972,-27.2722,-2.43471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
