player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-08,17:10:49,1,1,"Albers, Landon",1000252755,Left,HOL_SPR1,"Laimo, Salvatore",1000233816,Right,ASH_COP,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.42007,-0.862398,2.433671,2034.226152,153.954566,11:15:00,6.43645,-2.01826,5.17906,-23.33308,15.76245,-7.13445,3.67974,-0.32141,78.60883,-5.175529,1.171512,0.450023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19118,8.44233,1.79744,50,6.3387,-4.95784,-123.95168,-2.672,6.5723,22.93338,-18.93543,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,0db8ef20-44ad-11f0-8fcb-2d48fbe7342c,83.75663,NA,NA,6.81124,NA,NA,NA,NA,NA,NA,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:10:49,2025-06-08T21:10:49Z,2025-06-08T21:10:49Z,NA,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,0cd66e5e-1d73-4c67-9ae4-0040d58990fd,55.32247,-124.93256,11.46669,6.43567,-1.86212,-9.46771,2.0155,-5.23894,3.28615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-08,17:11:02,1,2,"Albers, Landon",1000252755,Left,HOL_SPR1,"Laimo, Salvatore",1000233816,Right,ASH_COP,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.54618,-1.12108,2.533236,2020.821498,159.876935,11:15:00,6.47051,-1.91065,5.09118,-20.03426,19.45426,-6.65307,3.7432,-0.07594,77.96186,-4.869523,1.358522,0.452279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0165,10.36225,1.67642,50,6.34931,-5.18614,-123.95288,-3.0851,6.23977,25.11264,-16.07599,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,157a4150-44ad-11f0-8fcb-2d48fbe7342c,83.33885,NA,NA,7.58432,NA,NA,NA,NA,NA,NA,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:11:02,2025-06-08T21:11:02Z,2025-06-08T21:11:02Z,NA,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,a4df81de-b19b-4326-926e-0aa46cfb4beb,55.40829,-125.04379,12.55632,6.46816,-2.38675,-8.038,1.9076,-5.4572,3.11988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-08,17:11:19,1,3,"Albers, Landon",1000252755,Left,HOL_SPR1,"Laimo, Salvatore",1000233816,Right,ASH_COP,Undefined,1,Top,0,2,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.68475,-3.512459,3.133497,2117.981609,158.866737,11:15:00,6.51846,-1.7919,5.20668,-19.99596,19.03863,-6.8913,1.53962,0.58378,78.92684,-7.215612,1.914573,0.449672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29673,10.82249,1.50718,50,6.17792,-6.49825,-124.05364,-8.2906,6.73789,23.35242,-15.2028,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,1f83aec0-44ad-11f0-8fcb-2d48fbe7342c,83.822,NA,NA,6.75791,NA,NA,NA,NA,NA,NA,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:11:19,2025-06-08T21:11:19Z,2025-06-08T21:11:19Z,NA,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,97cd8114-1974-4d68-bea4-2db21e2c4879,55.29605,-125.04661,11.67621,6.51671,-7.64415,-7.6014,1.78959,-6.78476,3.36895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-08,17:11:35,1,4,"Albers, Landon",1000252755,Left,HOL_SPR1,"Laimo, Salvatore",1000233816,Right,ASH_COP,Undefined,1,Top,0,2,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.62166,-2.300919,1.085456,1992.45574,158.426211,11:15:00,6.53804,-1.7011,4.98738,-21.27761,19.15962,-7.05465,2.59056,-1.26385,77.40297,-6.249292,-0.15987,0.45768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79799,10.52182,1.60253,50,6.2995,-2.01027,-122.64388,-5.64515,5.78532,24.23263,-16.14657,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,2949aa90-44ad-11f0-8fcb-2d48fbe7342c,82.3554,NA,NA,7.21869,NA,NA,NA,NA,NA,NA,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:11:35,2025-06-08T21:11:35Z,2025-06-08T21:11:35Z,NA,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,fbb5b1b3-cf32-4808-8fd5-a04aae0f2369,55.51263,-123.7283,12.11632,6.53595,-4.92259,-8.07328,1.69829,-2.26917,2.89266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-08,17:11:54,1,5,"Albers, Landon",1000252755,Left,HOL_SPR1,"Laimo, Salvatore",1000233816,Right,ASH_COP,Undefined,1,Top,0,3,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.92707,-1.770114,3.136864,2050.115377,156.387535,11:15:00,6.44172,-1.80034,5.38593,-23.61379,15.6054,-6.32083,2.81166,0.61622,78.44628,-6.13297,2.015266,0.450734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97496,8.64823,1.52425,50,6.26666,-6.48709,-123.19272,-4.60165,6.17158,22.11228,-18.74666,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,34706ee0-44ad-11f0-8fcb-2d48fbe7342c,83.6245,NA,NA,6.48079,NA,NA,NA,NA,NA,NA,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:11:54,2025-06-08T21:11:54Z,2025-06-08T21:11:54Z,NA,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,91023608-0e5a-4fa4-af67-d16dd2ceac9f,55.11626,-124.10766,11.05614,6.44101,-3.82597,-9.37333,1.79795,-6.74245,3.08579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-08,17:12:13,1,6,"Albers, Landon",1000252755,Left,HOL_SPR1,"Laimo, Salvatore",1000233816,Right,ASH_COP,Undefined,1,Top,0,3,2,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,85.68867,-2.315779,2.978792,2039.180463,155.007526,11:15:00,6.42588,-1.90501,5.25823,-20.08966,19.26922,-8.3465,2.57174,0.20081,77.84704,-6.084165,1.500955,0.451537,77.865,16.552456,-26.710977,1209.909983,98.53646,18.14301,-48.89326,194.83004,194.83004,-26.535513,2.116097,5.09492,10.74477,1.63834,50,6.19906,-6.09414,-124.03459,-5.66792,7.88157,26.43022,-15.55249,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,3fbc4760-44ad-11f0-8fcb-2d48fbe7342c,83.47593,18.30918,NA,7.84164,NA,NA,NA,2.1863,2.6293,-0.18503,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:12:13,2025-06-08T21:12:13Z,2025-06-08T21:12:13Z,LineDrive,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,1d23d1d1-0c84-474f-a92e-0a0c6a231e6e,55.24255,-125.14673,13.21511,6.42379,-5.0135,-7.77624,1.90175,-6.42578,3.94078,166.028008,2.1863,97.78724,-11.0582,2.26584,-0.46931,0.08741,-0.01642,0.00261,-2e-4,2.6293,32.53529,-17.90787,1.23228,-0.21343,0.03778,-0.00432,6.9e-4,-8e-5,-0.18503,-49.20533,5.10152,-0.79131,0.12177,-0.01601,0.00253,-4.3e-4,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-08,17:12:45,2,1,"Albers, Landon",1000252755,Left,HOL_SPR1,"Harper, Boaz",831172,Right,ASH_COP,Undefined,1,Top,0,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.65841,-2.45398,2.544856,2213.256718,204.485695,12:45:00,6.45762,-2.06015,5.14549,-39.51849,6.90638,2.49894,0.85016,0.54579,72.83262,-9.591133,2.987405,0.490396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57961,4.4661,1.81969,50,6.19686,-5.16461,-114.02322,-6.2364,-0.76513,20.42991,-26.2783,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,5354e930-44ad-11f0-8fcb-2d48fbe7342c,76.86126,NA,NA,5.8258,NA,NA,NA,NA,NA,NA,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:12:45,2025-06-08T21:12:45Z,2025-06-08T21:12:45Z,NA,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,fd60fd48-53b4-489b-bbe4-5ef279516511,55.35807,-114.97923,10.21495,6.45991,-5.00671,-13.13915,2.06053,-5.1288,-0.38257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-08,17:12:58,2,2,"Albers, Landon",1000252755,Left,HOL_SPR1,"Harper, Boaz",831172,Right,ASH_COP,Undefined,1,Top,0,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.44455,-2.824237,2.992725,2074.195247,151.900196,11:00:00,6.42669,-1.97056,5.07633,-19.14442,20.60414,-10.2828,2.16294,-0.00347,77.88926,-6.405314,1.177969,0.453766,66.02328,22.052917,137.332958,6814.465554,-85.97,12.81839,68.62316,142.71609,43.05568,142.846513,1.880363,5.98512,11.45154,1.69515,50,6.14397,-6.00953,-123.63756,-6.7287,9.23807,25.30217,-14.49849,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,5af59400-44ad-11f0-8fcb-2d48fbe7342c,83.06578,17.59086,NA,7.55529,NA,NA,NA,1.55704,2.1103,0.10579,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:12:58,2025-06-08T21:12:58Z,2025-06-08T21:12:58Z,LineDrive,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,784fbe5a-eb82-4afd-a6dc-0e8e6428630d,55.42429,-124.74269,12.65108,6.42403,-6.09545,-7.24925,1.96645,-6.41303,4.61904,NA,1.55704,-65.9931,1.86343,0.51912,-0.18568,0.06927,-0.02177,0.00656,-9.2e-4,2.1103,36.3575,-23.00431,2.26622,-0.46247,0.08593,-0.01406,0.0027,-3e-4,0.10579,60.82612,-10.2261,1.70433,-0.32623,0.01551,0.01399,-0.00629,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-08,17:13:16,2,3,"Albers, Landon",1000252755,Left,HOL_SPR1,"Harper, Boaz",831172,Right,ASH_COP,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.30679,-1.501932,2.439948,1920.88852,161.233632,11:15:00,6.48209,-2.09155,5.17964,-21.48442,17.89013,-5.66111,3.27686,-0.26603,78.22988,-5.494416,1.438473,0.451626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4976,9.71103,1.86903,50,6.32637,-5.02714,-123.70852,-3.96652,5.43881,23.88081,-17.07324,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,6564c820-44ad-11f0-8fcb-2d48fbe7342c,83.45939,NA,NA,7.07691,NA,NA,NA,NA,NA,NA,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:13:16,2025-06-08T21:13:16Z,2025-06-08T21:13:16Z,NA,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,23d903cb-54bf-425f-a7a9-720278e4d575,55.32193,-124.73164,11.9404,6.48064,-3.23506,-8.53662,2.08939,-5.26015,2.7194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-08,17:13:35,2,4,"Albers, Landon",1000252755,Left,HOL_SPR1,"Harper, Boaz",831172,Right,ASH_COP,Undefined,1,Top,0,1,2,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,81.74312,-1.283477,1.978634,1628.048618,133.073091,10:30:00,6.34788,-2.11636,5.66504,-30.39387,11.75379,-11.14938,2.61732,-1.19969,75.0315,-6.908526,-0.014503,0.46726,82.2215,14.426165,-3.634468,765.208223,109.8405,15.51259,-5.91539,186.3628,186.3628,-3.426602,1.931276,6.25886,6.71512,1.95641,50,6.22007,-3.66682,-118.66807,-3.62744,8.92977,22.59205,-22.59331,HOL_SPR1,ASH_COP,TingStadium,CPL,CPL,20250608-TingStadium-1,7128b6d0-44ad-11f0-8fcb-2d48fbe7342c,80.66701,15.82291,NA,6.71162,NA,NA,NA,2.57549,2.75628,1.22285,2c6aee08-c1c8-4329-ad10-50ac93de43f3,2025-06-08,21:13:35,2025-06-08T21:13:35Z,2025-06-08T21:13:35Z,LineDrive,v3,NA,NA,NA,"Runfola, Anthony",1000334130,Right,HOL_SPR1,e9906400-1c96-4b67-ae07-4d060fb2fe83,54.83729,-119.58545,11.29603,6.34874,-2.71001,-11.29665,2.11267,-4.02942,4.46488,165.082714,2.57553,116.55119,-15.61477,3.10505,-0.56481,0.17751,-0.10483,0.03781,-0.00531,2.75622,30.04774,-18.50269,1.74537,-0.4118,-0.06193,0.14091,-0.0592,0.00861,1.22289,-7.40632,0.57929,-0.12797,0.05009,0.08411,-0.09841,0.03939,-0.00566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
