player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-11,18:38:20,1,1,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Solano, Benji",1000390765,Left,BEN_ELK,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,93.08729,-1.693118,-2.6382,2185.993825,228.588399,01:30:00,5.51739,1.08622,6.55691,-18.08529,14.07481,14.55028,2.45582,-0.12184,83.28194,-5.187722,0.004277,0.40816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.47725,8.3093,-0.90946,50,5.39274,5.60287,-134.91604,-4.48199,-15.26055,35.73628,-17.21589,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,ec42da30-472d-11f0-b270-012e78f7e975,92.34728,NA,NA,9.80536,NA,NA,NA,NA,NA,NA,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:38:20,2025-06-12T01:38:20Z,2025-06-12T01:38:20Z,NA,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,5c27c33b-87fb-4367-b829-1c928132c569,53.9374,-135.95497,17.86814,5.51576,-3.98149,-8.60795,-1.0788,6.04653,-7.63027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-11,18:38:35,1,2,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Solano, Benji",1000390765,Left,BEN_ELK,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.53074,-1.700876,-1.788993,2250.26507,231.103923,01:45:00,5.41849,1.00254,6.51301,-17.88946,13.85576,15.71194,2.36571,0.6697,84.059,-5.145301,1.064467,0.405518,70.07957,21.41441,-160.607002,2017.127715,NA,NA,NA,NA,44.03278,NA,NA,-8.78119,8.15894,-0.88381,50,5.29199,3.57763,-135.69325,-4.5279,-16.05515,35.05557,-17.2566,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,f4fb3690-472d-11f0-b270-012e78f7e975,92.94876,16.46831,NA,9.47174,NA,NA,NA,0.45504,2.33022,-0.93425,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:38:35,2025-06-12T01:38:35Z,2025-06-12T01:38:35Z,NA,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,f7bf8a42-ff61-4f9f-a82f-bd6dc96034e5,53.98262,-136.71827,17.52779,5.41701,-4.02332,-8.6283,-0.99528,4.04708,-8.02758,NA,0.45327,-90.20828,5.05628,NA,NA,NA,NA,NA,NA,2.33084,37.50993,-15.60998,NA,NA,NA,NA,NA,NA,-0.93095,-31.86649,-4.7997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-11,18:39:07,1,3,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Solano, Benji",1000390765,Left,BEN_ELK,Undefined,1,Top,0,0,2,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Out,1,0,NA,84.52789,-0.507971,-2.272541,1227.42396,279.067893,03:15:00,5.45002,1.16847,5.79302,-40.31805,0.07976,9.65993,1.61729,-0.14155,75.50563,-7.974785,-0.540199,0.457457,58.26521,-26.480527,48.739886,NA,NA,NA,NA,5.59763,2.69583,32.695575,0.047762,-5.77347,0.66701,-0.98735,50,5.38435,4.45854,-122.37183,-2.46486,-8.48547,31.06357,-31.19374,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,084d8090-472e-11f0-b270-012e78f7e975,82.39557,1.82692,NA,9.02227,NA,NA,NA,2.29216,1.82692,0.26686,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:39:07,2025-06-12T01:39:07Z,2025-06-12T01:39:07Z,GroundBall,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,59064ab1-cbf3-4586-928e-b000f433dda9,54.7026,-123.5598,15.53179,5.4558,-1.27191,-15.59687,-1.16406,4.78305,-4.24273,NA,2.29067,50.63706,NA,NA,NA,NA,NA,NA,NA,1.82804,-38.25025,NA,NA,NA,NA,NA,NA,NA,0.26517,57.71994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-11,18:39:42,2,1,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Carlson, Zachary",1000415209,Left,BEN_ELK,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.46642,-2.67547,-1.818757,2187.030918,228.916358,01:45:00,5.5108,0.94372,6.60688,-18.53836,13.37123,13.90131,1.51221,0.43563,83.60704,-6.246546,0.710924,0.406567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.91221,8.32646,-0.82484,50,5.3207700000000004,3.72294,-135.45027,-6.84095,-14.31968,36.70602,-17.10466,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,1d41e1d0-472e-11f0-b270-012e78f7e975,92.70908,NA,NA,9.85938,NA,NA,NA,NA,NA,NA,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:39:42,2025-06-12T01:39:42Z,2025-06-12T01:39:42Z,NA,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,ed73bfc6-34b1-4689-8ea9-220ed041a315,53.88783,-136.49977,18.35301,5.50938,-6.3519,-8.55233,-0.93714,4.13238,-7.15984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-11,18:39:57,2,2,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Carlson, Zachary",1000415209,Left,BEN_ELK,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,83.85969,-0.413835,-1.674673,1315.526529,287.682339,03:30:00,5.3872,1.04785,5.71914,-41.37805,0.23299,4.95264,1.55338,-0.0998,74.11456,-8.094166,-0.787395,0.464275,72.90933,-4.389521,61.145082,NA,NA,NA,NA,20.43773,20.43773,50.645631,0.178974,-3.21024,0.7415,-0.91107,50,5.32743,3.34146,-121.27967,-2.28719,-4.57726,33.13388,-31.11683,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,2605fe00-472e-11f0-b270-012e78f7e975,81.1855,1.93754,NA,9.74513,NA,NA,NA,3.58809,1.93754,-0.03977,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:39:57,2025-06-12T01:39:57Z,2025-06-12T01:39:57Z,GroundBall,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,f4cb2428-c6d3-4c63-98f5-41059f4ddafd,54.77502,-122.57727,16.56694,5.39315,-1.06858,-15.55841,-1.04544,3.52071,-2.28863,NA,3.58701,51.53463,4.70072,NA,NA,NA,NA,NA,NA,1.93806,-8.22294,-14.5797,NA,NA,NA,NA,NA,NA,-0.03818,93.26447,-26.59854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-11,18:40:21,2,3,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Carlson, Zachary",1000415209,Left,BEN_ELK,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,93.73568,-3.294994,-0.775184,2147.791765,213.624283,01:00:00,5.57603,0.5478,6.67849,-16.73324,15.13698,9.18934,1.16392,0.60444,83.3345,-6.549758,0.899923,0.406316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.12067,9.58292,-0.49915,50,5.34885,1.4577,-135.74274,-8.23955,-9.2371200000000009,38.89818,-14.88761,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,34973d80-472e-11f0-b270-012e78f7e975,92.76634,NA,NA,10.40117,NA,NA,NA,NA,NA,NA,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:40:21,2025-06-12T01:40:21Z,2025-06-12T01:40:21Z,NA,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,d668bb30-fe8f-43ae-9a06-9b6f6c99f07e,53.81523,-136.83166,19.44909,5.57368,-7.82279,-7.44381,-0.54357,1.71629,-4.6185600000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.92083,NA,NA,1.096167,NA,NA,NA,0.53111,6.0355,-2.52852,75.53756,4.29408,-49.23483,0.61194,74.90152,-5.97374,6.0844,12.8532,-13.21405,-2.63703,-49.6448,6.50808,High,High,High,NA,NA,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-11,18:40:50,3,1,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Amundson, Easton",1000255222,Left,BEN_ELK,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,93.58007,-2.038496,-1.545748,2253.427515,228.458829,01:30:00,5.50876,0.91535,6.41775,-18.41954,13.54205,13.89843,2.09835,0.65221,83.8239,-5.577636,0.974374,0.406898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.72898,8.11323,-0.81059,50,5.3548,3.06258,-135.66399,-5.35619,-14.07068,36.08551,-17.40381,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,4586df60-472e-11f0-b270-012e78f7e975,92.63362,NA,NA,9.75618,NA,NA,NA,NA,NA,NA,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:40:50,2025-06-12T01:40:50Z,2025-06-12T01:40:50Z,NA,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,3e220f8f-d6cc-4ba8-a980-03914d728080,54.07658,-136.74403,18.04275,5.50731,-4.8353,-8.70191,-0.90855,3.48371,-7.03534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-11,18:41:04,3,2,"Hernandez, Devyn",1000250693,Right,BEL_BEL,"Amundson, Easton",1000255222,Left,BEN_ELK,Undefined,1,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,93.41733,-2.082883,-0.764176,2313.48626,220.958538,01:15:00,5.51137,0.76384,6.4319,-17.3191,14.52418,11.60079,2.15284,1.02821,84.20266,-5.410751,1.340211,0.406144,77.43651,49.911048,-5.694694,NA,NA,NA,NA,NA,48.66707,NA,NA,-6.34359,8.62071,-0.71454,50,5.35535,1.33274,-135.57969,-5.41828,-11.5992,34.52385,-16.41112,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,4e3fd800-472e-11f0-b270-012e78f7e975,92.80557,53.45412,NA,9.21467,NA,NA,NA,2.71269,2.44431,-0.94424,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:41:04,2025-06-12T01:41:04Z,2025-06-12T01:41:04Z,NA,v3,NA,NA,NA,"Betanco, Noah",1000390812,Right,BEL_BEL,5b965ad9-00fa-4419-a809-5e9772272783,54.06534,-136.61096,17.26192,5.50988,-4.92806,-8.20556,-0.75953,1.67922,-5.7996,165.933975,2.71269,72.77701,-16.32532,3.93359,1.07056,-6.78852,12.66278,-11.33184,3.96517,2.44431,86.88916,-24.39287,2.90414,-1.86439,4.71477,-8.40021,7.48845,-2.62097,-0.94424,-7.2576,-1.17351,0.41534,0.7037,-2.96019,5.43986,-4.86297,1.70209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-11,18:43:36,1,1,"Knowlton, Eli",1000265920,Right,BEN_ELK,"Fernandes, Alex",801427,Left,BEL_BEL,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.65146,-0.877058,-1.884317,2114.402212,196.12096,12:30:00,5.76318,1.51159,5.75604,-21.6317,15.71288,4.20449,3.14363,0.10733,79.3373,-4.936868,-1.132034,0.43983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.65878,8.60162,-1.35792,50,5.67734,3.96434,-125.80863,-2.60272,-4.26844,25.12525,-18.36503,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,a89ec310-472e-11f0-b270-012e78f7e975,85.69768,NA,NA,7.31416,NA,NA,NA,NA,NA,NA,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:43:36,2025-06-12T01:43:36Z,2025-06-12T01:43:36Z,NA,v3,NA,NA,NA,"Vergel de Dios, David",1000364255,Right,BEN_ELK,64f20b29-5666-4879-9591-464129600f17,54.74142,-126.752,12.56263,5.76212,-1.91317,-9.18251,-1.50977,4.1246,-2.13422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-11,18:43:55,1,2,"Knowlton, Eli",1000265920,Right,BEN_ELK,"Fernandes, Alex",801427,Left,BEL_BEL,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.74173,0.898042,-0.459106,2100.69636,195.366615,12:30:00,5.86043,1.51764,5.34933,-20.78757,17.46473,4.43819,4.97054,1.45687,78.34236,-3.024845,0.329205,0.445144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.34024,8.83965,-1.4795,50,5.92687,0.80554,-125.72318,1.3070600000000001,-3.7114,27.66797,-18.15523,BEL_BEL,BEN_ELK,JoeMartinStadium,WCL,WCL,20250611-JoeMartinStadium-1,b39f88d0-472e-11f0-b270-012e78f7e975,84.67476,NA,NA,8.39937,NA,NA,NA,NA,NA,NA,aa19b40a-b2fc-4624-a931-48f6dd87943c,2025-06-12,01:43:55,2025-06-12T01:43:55Z,2025-06-12T01:43:55Z,NA,v3,NA,NA,NA,"Vergel de Dios, David",1000364255,Right,BEN_ELK,537fdae1-8645-42b9-b926-f9972a7aba11,55.14399,-126.85017,13.83398,5.85857,2.04657,-9.07762,-1.51539,0.95672,-1.8557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
