player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-22,17:04:16,1,1,"Purvis, Drake",1000096975,Left,HIG_TOB,"Prince, Owen",1000230989,Left,MAR_MUS,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.25002,1.699968,0.80126,2300.241807,259.919894,02:45:00,5.58902,-0.98659,5.27402,-43.24624,2.52866,5.79485,3.58255,0.24897,72.20165,-6.213555,1.829382,0.486951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.64504,1.25114,0.90904,50,5.71286,-1.84625,-114.91526,1.91066,-3.51891,22.30921,-30.50956,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,7590d2c0-4fac-11f0-9ff4-b787da8c8259,77.40502,NA,NA,7.04837,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:04:16,2025-06-22T21:04:16Z,2025-06-22T21:04:16Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,b950f792-99e7-437d-bf85-9b560ce7a9db,55.22427,-115.92504,11.1546,5.59512,3.29161,-15.25478,0.989,-1.68697,-1.75946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-22,17:04:34,1,2,"Purvis, Drake",1000096975,Left,HIG_TOB,"Prince, Owen",1000230989,Left,MAR_MUS,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.41457,0.538119,2.062545,2387.671076,283.377753,03:30:00,5.61522,-0.92848,5.29769,-45.05243,0.53823,4.04016,2.36642,1.3455,72.55212,-7.674749,2.779626,0.48597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41465,0.54098,0.73777,50,5.63134,-4.3101,-115.15791,-0.47898,-1.88718,22.69609,-31.45235,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,805a0dc0-4fac-11f0-9ff4-b787da8c8259,77.56127,NA,NA,6.86245,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:04:34,2025-06-22T21:04:34Z,2025-06-22T21:04:34Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,a12a1128-ceef-4bb5-8cd8-a5518ce0836a,55.2022,-116.17867,11.34804,5.62108,0.93559,-15.72618,0.92971,-4.22522,-0.94359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-22,17:04:51,1,3,"Purvis, Drake",1000096975,Left,HIG_TOB,"Prince, Owen",1000230989,Left,MAR_MUS,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.36726,-1.981563,1.599545,2232.122809,130.87234,10:15:00,5.55695,-0.89879,6.18177,-22.99907,13.77343,-14.66544,1.80906,-0.64344,79.72772,-6.291101,-1.048132,0.436448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98087,7.98024,0.78507,50,5.39539,-2.92904,-125.53181,-5.02882,12.83609,23.52158,-19.33896,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,89f32d30-4fac-11f0-9ff4-b787da8c8259,86.36173,NA,NA,6.63954,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:04:51,2025-06-22T21:04:51Z,2025-06-22T21:04:51Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,7ddc9156-e07f-466a-bda8-7ebc8642e21d,54.31875,-126.33844,11.76079,5.55647,-4.36562,-9.66948,0.89306,-3.36923,6.41804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-22,17:05:08,1,4,"Purvis, Drake",1000096975,Left,HIG_TOB,"Prince, Owen",1000230989,Left,MAR_MUS,Undefined,1,Top,0,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.76083,0.860491,1.004912,2439.89278,299.431078,04:00:00,5.98508,-0.21091,4.86602,-52.39361,-2.19047,6.4404,2.43351,1.27695,70.23361,-8.558043,2.140488,0.509961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.93378,-0.89953,0.10615,50,6.02488,-2.18566,-110.02227,-0.19812,-3.6224,18.18136,-33.2847,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,948d68f0-4fac-11f0-9ff4-b787da8c8259,73.9124,NA,NA,5.52722,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:05:08,2025-06-22T21:05:08Z,2025-06-22T21:05:08Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,2f7369ae-708e-4467-9a2f-ab13abc05bca,55.63651,-110.9498,9.09068,5.99167,1.49992,-16.64235,0.21293,-2.00086,-1.8112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-22,17:05:27,1,5,"Purvis, Drake",1000096975,Left,HIG_TOB,"Prince, Owen",1000230989,Left,MAR_MUS,Undefined,1,Top,0,3,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,78.00319,1.337317,0.859102,2461.257789,292.869978,03:45:00,5.52851,-1.05799,5.37847,-47.76825,-1.33228,6.30008,2.80188,0.27246,72.15925,-7.350172,1.9798,0.490454,85.96552,-7.205048,0.910873,NA,NA,NA,NA,22.32611,19.02485,0.45822,0.173495,-2.96528,-0.65236,0.97638,50,5.61403,-1.94203,-113.35133,1.03064,-3.88699,19.25957,-33.02921,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,9fa6bfc0-4fac-11f0-9ff4-b787da8c8259,76.85208,2.65428,NA,5.84394,NA,NA,NA,0.77101,2.65428,-0.32007,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:05:27,2025-06-22T21:05:27Z,2025-06-22T21:05:27Z,GroundBall,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,2ceafefc-4ff0-4b98-807f-49a66915dc90,55.12413,-114.21865,9.62979,5.53413,2.51806,-16.5146,1.0599,-1.76698,-1.9435,195.77856,0.77098,125.07325,-4.82017,NA,NA,NA,NA,NA,NA,2.65403,-15.79453,2.87608,NA,NA,NA,NA,NA,NA,-0.32018,1.99691,5.06256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-22,17:06:08,2,1,"Purvis, Drake",1000096975,Left,HIG_TOB,"Friese, Hayden",1000262919,Left,MAR_MUS,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.183090000000007,-2.906781,3.186582,2271.573059,125.958281,10:15:00,5.52004,-1.1073,5.83491,-22.64883,14.29272,-18.06253,0.92429,0.35246,79.92065,-7.135008,-0.049178,0.437451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.14323,8.4693,0.85805,50,5.26909,-6.29421,-126.3636,-7.14266,16.41324,25.56337,-18.46949,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,b814b760-4fac-11f0-9ff4-b787da8c8259,86.16386,NA,NA,7.26244,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:06:08,2025-06-22T21:06:08Z,2025-06-22T21:06:08Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,bf8164b8-461c-46ba-998c-85dfc9283b5c,54.66623,-127.30408,12.78169,5.51937,-6.46317,-9.23475,1.10073,-6.89806,8.20662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-22,17:06:29,2,2,"Purvis, Drake",1000096975,Left,HIG_TOB,"Friese, Hayden",1000262919,Left,MAR_MUS,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.39117,-0.884422,2.410778,2222.865835,127.99216,10:15:00,5.54598,-1.08144,5.97586,-24.22604,12.92497,-15.1065,2.70646,-0.10411,79.37637,-5.417347,-0.303528,0.438689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38615,7.2204,0.89893,50,5.46244,-4.673,-125.4959,-2.69382,13.43989,24.22536,-20.60242,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,c4a96390-4fac-11f0-9ff4-b787da8c8259,85.92063,NA,NA,7.0148,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:06:29,2025-06-22T21:06:29Z,2025-06-22T21:06:29Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,b880bd07-a4e9-411f-8e9f-a64d7f6f992b,54.5246,-126.3663,12.11268,5.54593,-1.95359,-10.30121,1.0755,-5.15588,6.71994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-22,17:06:50,2,3,"Purvis, Drake",1000096975,Left,HIG_TOB,"Friese, Hayden",1000262919,Left,MAR_MUS,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.30633,2.050824,3.19434,2432.311041,266.129044,02:45:00,5.55111,-1.16804,5.24152,-45.02597,1.87032,6.0591,3.73025,2.34221,71.67447,-6.153338,4.264844,0.492879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.11504,0.83728,0.86951,50,5.70668,-6.5759,-113.41326,2.51499,-2.75291,20.87206,-31.08426,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,d0f5e330-4fac-11f0-9ff4-b787da8c8259,76.47395,NA,NA,6.63186,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:06:50,2025-06-22T21:06:50Z,2025-06-22T21:06:50Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,9148011d-afa9-4640-b004-795e103bf624,55.25759,-114.37676,10.43603,5.55746,3.94989,-15.54213,1.17013,-6.44882,-1.37645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-22,17:07:10,2,4,"Purvis, Drake",1000096975,Left,HIG_TOB,"Friese, Hayden",1000262919,Left,MAR_MUS,Undefined,1,Top,0,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.16112,-2.059792,3.582663,2224.624192,120.704131,10:00:00,5.37942,-1.20956,5.89186,-24.81694,12.09902,-18.35493,1.39425,0.59172,79.73022,-6.690425,0.292976,0.437299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.44548,7.13244,0.93136,50,5.1988,-7.16393,-126.35832,-5.34862,16.8721,25.97183,-20.65338,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,dd541610-4fac-11f0-9ff4-b787da8c8259,86.19374,NA,NA,7.4309,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:07:10,2025-06-22T21:07:10Z,2025-06-22T21:07:10Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,328cf35d-4827-4b27-b823-09c1baa0cc80,54.60936,-127.30221,12.98592,5.37955,-4.59802,-10.32669,1.20286,-7.77711,8.43605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-22,17:07:29,2,5,"Purvis, Drake",1000096975,Left,HIG_TOB,"Friese, Hayden",1000262919,Left,MAR_MUS,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,88.02755,-2.268476,4.843803,2344.8587,137.311082,10:30:00,5.50596,-1.20973,5.86287,-19.68198,16.67237,-14.27725,1.7497,2.11119,80.37132,-5.979584,2.295318,0.43396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69914,9.52918,0.8247,50,5.30993,-10.20658,-127.37179,-5.66167,14.28353,26.28837,-16.52763,HIG_TOB,MAR_MUS,FinchField,CPL,CPL,20250622-FinchField-1,e8457280-4fac-11f0-9ff4-b787da8c8259,86.85696,NA,NA,7.65623,NA,NA,NA,NA,NA,NA,93af6017-cf8c-4593-be71-f22ded1633ff,2025-06-22,21:07:29,2025-06-22T21:07:29Z,2025-06-22T21:07:29Z,NA,v3,NA,2483,NA,"Gaffney, Blake",10281301,Right,HIG_TOB,776baf87-b1f4-4a7d-9516-c92aba9b2041,54.6379,-128.32544,13.14418,5.50445,-5.0621,-8.26382,1.20436,-10.72474,7.14177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
