player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-27,18:26:42,1,1,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Miura, Matthew",834681,Right,HYA_HAR,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,88.13986,-1.979827,3.909113,2012.058518,150.507421,11:00:00,5.62282,-3.10617,5.38739,-14.6706,22.31383,-11.90674,2.53957,-0.4288,80.03118,-4.791121,1.799513,0.437704,95.11551,32.387215,4.633346,2785.737373,108.72308,65.23227,16.71195,367.68123,362.97083,16.552612,5.25267,7.14209,12.17091,2.76523,50,5.43578,-8.19006,-127.54642,-4.84125,11.71134,27.35656,-12.21666,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,cdcd79f0-53a5-11f0-90d3-e3a4267fafd7,86.11395,92.01049,NA,8.10868,NA,NA,NA,1.73508,2.71893,0.45318,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:26:42,2025-06-27T22:26:42Z,2025-06-27T22:26:42Z,FlyBall,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,b0ca3507-b4eb-46d2-a936-17f215551023,55.11013,-128.63779,13.67828,5.6192,-4.35388,-6.10833,3.10129,-8.65728,5.85567,NA,1.73965,117.32854,-23.20833,5.10161,-0.71156,0.02481,0.00899,-0.00123,4e-5,2.71728,74.74476,-17.06155,0.63973,0.04637,-0.07228,0.02658,-0.00413,2.3e-4,0.45163,9.54695,6.47295,-1.93851,0.3473,-0.02793,-0.00151,4.3e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-27,18:27:26,2,1,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"McKay, Ryan",813145,Left,HYA_HAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,89.10045,-1.977879,3.185843,2045.517172,147.77077,11:00:00,5.58027,-3.08841,5.40535,-17.50576,19.18186,-11.1965,2.26466,-1.03336,79.75826,-5.320822,1.198376,0.435944,65.68723,-21.844167,30.145097,NA,NA,NA,NA,7.02218,4.09318,30.887515,0.060124,6.70792,10.70772,2.81268,50,5.39233,-6.66089,-128.80233,-4.9908,11.03345,31.96043,-14.56153,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,e794e710-53a5-11f0-90d3-e3a4267fafd7,86.46159,2.16286,NA,9.3422,NA,NA,NA,1.36051,2.16286,0.89531,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:27:26,2025-06-27T22:27:26Z,2025-06-27T22:27:26Z,GroundBall,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,b4f5e52a-8f31-4783-81b4-273ce099102b,55.08943,-130.05907,15.98022,5.57732,-4.41821,-7.28076,3.08313,-7.09474,5.51673,180,1.35788,77.60185,NA,NA,NA,NA,NA,NA,NA,2.16408,-35.97307,NA,NA,NA,NA,NA,NA,NA,0.89378,45.06586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-27,18:27:59,3,1,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,72.31199,2.942051,0.667613,1899.120912,315.699604,04:30:00,5.68588,-2.61755,4.6858,-68.70405,-11.11481,13.06347,2.75673,-0.89499,64.78644,-9.450462,2.962393,0.546188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.05654,-5.67815,2.53742,50,5.92373,-1.75518,-104.45827,2.93069,-6.49656,22.38003,-38.26474,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,fb276e60-53a5-11f0-90d3-e3a4267fafd7,69.01002,NA,NA,7.52555,NA,NA,NA,NA,NA,NA,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:27:59,2025-06-27T22:27:59Z,2025-06-27T22:27:59Z,NA,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,749dda7c-d814-4029-8fd7-0d5f4b34de7a,55.81079,-105.69589,11.19002,5.70315,5.04674,-19.13237,2.62455,-1.39592,-3.24828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-27,18:28:11,3,2,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,79.81884,-1.265511,3.821661,1502.444836,144.134981,10:45:00,5.75233,-2.76832,5.58226,-33.17935,11.75764,-7.36587,1.80273,0.19211,72.57256,-7.406535,2.510551,0.482473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88874,6.79941,2.44434,50,5.62195,-7.42499,-115.5145,-3.60302,6.54461,23.37189,-23.0716,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,0274f020-53a6-11f0-90d3-e3a4267fafd7,78.12334,NA,NA,7.24627,NA,NA,NA,NA,NA,NA,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:28:11,2025-06-27T22:28:11Z,2025-06-27T22:28:11Z,NA,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,60a8694c-56b7-4b07-b16f-b254da24c9cf,54.9135,-116.5044,11.68595,5.75386,-2.62584,-11.5358,2.76469,-7.70218,3.27231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-27,18:28:29,3,3,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.28586,-1.470771,3.477057,1929.72381,345.936814,05:30:00,5.7492,-2.72796,4.7266,-62.68212,-9.95713,2.97677,-0.87267,0.82322,68.7474,-12.628473,4.001174,0.522612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29213,-4.12666,2.37394,50,5.54402,-6.72765,-108.81317,-5.01433,-0.34224,23.16286,-37.00859,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,0d6a9250-53a6-11f0-90d3-e3a4267fafd7,72.12313,NA,NA,6.53847,NA,NA,NA,NA,NA,NA,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:28:29,2025-06-27T22:28:29Z,2025-06-27T22:28:29Z,NA,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,53ceedc0-9a18-4733-a76a-b4c5fbc75afc,55.7743,-110.03547,11.58143,5.7571,-3.06139,-18.5043,2.72848,-6.7096,-0.17112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-27,18:28:49,3,4,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.27736,-0.778623,4.121265,1978.366679,141.929964,10:45:00,5.74892,-2.95114,5.23201,-18.36316,19.09647,-13.8693,3.48482,-0.22629,79.27713,-4.264084,1.671672,0.440507,76.33092,42.587749,51.602236,3972.604797,58.20053,75.03699,93.34176,255.57509,128.04476,65.135111,4.54084,8.243,10.16989,2.58199,50,5.66414,-8.55633,-127.58238,-2.32195,13.38189,29.93934,-15.66399,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,190945c0-53a6-11f0-90d3-e3a4267fafd7,85.56601,79.20851,NA,9.00024,NA,NA,NA,0.98411,3.80947,0.30899,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:28:49,2025-06-27T22:28:49Z,2025-06-27T22:28:49Z,FlyBall,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,230fd933-a690-45c0-9a72-895d8407627c,55.26338,-128.8116,14.96967,5.74627,-1.67884,-7.832,2.94456,-9.10575,6.69095,NA,0.98376,51.21229,-13.9379,3.92075,-1.28961,0.49556,-0.14892,0.02465,-0.0016,3.81267,75.68328,-21.66641,1.29645,0.34226,-0.31451,0.09807,-0.0139,7.4e-4,0.31342,64.49706,-4.48452,-0.19595,0.66004,-0.32831,0.08014,-0.00944,4.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-27,18:29:09,3,5,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.71589,-1.956666,3.175217,1567.423932,131.890168,10:30:00,5.71443,-2.74232,5.38533,-32.92419,12.36583,-12.03347,1.13321,-0.7659,72.64274,-8.022721,1.037094,0.484365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00067,7.26374,2.46706,50,5.51636,-5.91759,-115.39863,-5.01496,9.36803,23.00756,-22.45402,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,25532d50-53a6-11f0-90d3-e3a4267fafd7,77.81828,NA,NA,7.07315,NA,NA,NA,NA,NA,NA,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:29:09,2025-06-27T22:29:09Z,2025-06-27T22:29:09Z,NA,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,a22ecf9f-daf4-4edf-b286-e5d82c1fba81,55.11111,-116.41319,11.50378,5.71568,-4.0248100000000004,-11.22701,2.73711,-6.3307,4.68402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-27,18:29:25,3,6,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,73.39908,1.137607,3.843732,2016.291451,8.020363,06:15:00,5.68804,-2.71599,4.81484,-66.04122,-11.87347,-1.90701,1.2648,0.77161,67.88461,-10.65535,3.508445,0.529714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02528,-5.79713,2.33539,50,5.74322,-7.07081,-106.331,-0.18,2.31699,18.35538,-38.80625,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,2ed14ab0-53a6-11f0-90d3-e3a4267fafd7,71.15615,NA,NA,5.51447,NA,NA,NA,NA,NA,NA,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:29:25,2025-06-27T22:29:25Z,2025-06-27T22:29:25Z,NA,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,55db8b7d-93d3-4a01-b285-442697a50e94,55.68797,-107.3084,9.17769,5.69779,1.88636,-19.40312,2.71518,-7.19419,1.1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-27,18:29:43,3,7,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.79455,-0.687991,3.81949,1968.40379,154.25368,11:15:00,5.70065,-3.07741,5.18984,-16.60233,20.01765,-9.06871,3.66844,-0.23473,80.69696,-3.828466,2.218795,0.435542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62225,10.53977,2.72974,50,5.62477,-8.16746,-128.54118,-2.07727,9.38117,27.31757,-14.58756,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,397f0e70-53a6-11f0-90d3-e3a4267fafd7,86.54137,NA,NA,8.09759,NA,NA,NA,NA,NA,NA,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:29:43,2025-06-27T22:29:43Z,2025-06-27T22:29:43Z,NA,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,2b2cfb81-4727-4874-9c48-ef0998a372c4,55.30715,-129.66415,13.65879,5.69783,-1.4776,-7.29378,3.07342,-8.55311,4.69059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-27,18:30:05,3,8,"Gonzalez, Sebastian",814163,Left,ORL_FIR,"Willits, Jaxon",806261,Right,HYA_HAR,Undefined,1,Top,1,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,89.54877,-3.402489,4.075711,2000.109443,150.438943,11:00:00,5.60434,-2.89612,5.31375,-14.6891,21.34017,-11.39631,1.17495,-0.01406,81.39586,-6.198353,2.059762,0.432015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.89689,12.04721,2.53478,50,5.28484,-8.70087,-129.38545,-8.15237,11.64085,28.08368,-11.84022,ORL_FIR,HYA_HAR,CCBLOrleans,Cape Cod Baseball League,CCBL,20250627-CCBLOrleans-1,46d70aa0-53a6-11f0-90d3-e3a4267fafd7,87.24792,NA,NA,8.15291,NA,NA,NA,NA,NA,NA,81f2a6cf-8582-4a84-9f40-9ab9091c218d,2025-06-27,22:30:05,2025-06-27T22:30:05Z,2025-06-27T22:30:05Z,NA,v3,6102,6101,NA,"Pisacreta, Sebastian",804635,Right,ORL_FIR,03076e3b-d984-48a7-881c-5bf05d35825d,55.18326,-130.50565,14.04184,5.60061,-7.68009,-5.92011,2.8911,-9.1652,5.82042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
