player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-28,18:36:44,1,1,"Boice, Aidan",1000165692,Right,NAN_NIG,"Phelps, Robert",1000435056,Right,EDM_RIV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.22997,-2.615523,-2.12544,2075.247522,204.651804,12:45:00,6.03611,0.8521,6.67066,-14.33477,22.50659,9.61733,2.44543,-0.2918,77.33729,-5.483924,-0.375058,0.436857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.7965,13.20107,-0.71281,50,5.85442,4.30387,-126.26871,-6.023,-9.04879,33.62662,-11.56609,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,843194e0-5489-11f0-937a-4fdd857fa1cc,86.28101,NA,NA,9.89268,NA,NA,NA,NA,NA,NA,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:36:44,2025-06-29T01:36:44Z,2025-06-29T01:36:44Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,a7d9b4d8-a3bc-4e6b-9ff9-6092609d216e,53.81867,-127.2816,16.81331,6.03059,-5.67461,-5.78304,-0.84655,4.57644,-4.52439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-28,18:37:05,1,2,"Boice, Aidan",1000165692,Right,NAN_NIG,"Phelps, Robert",1000435056,Right,EDM_RIV,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.72289,-1.884491,-3.383346,2239.1336,197.475207,12:30:00,5.99169,0.66687,6.59997,-14.20308,21.74741,6.35355,3.07811,-1.90669,78.15522,-4.734579,-2.230923,0.431543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.6063,12.50497,-0.43807,50,5.85644,7.3185,-128.24965,-4.48014,-7.37825,35.96988,-12.14397,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,90cd9410-5489-11f0-937a-4fdd857fa1cc,87.34347,NA,NA,10.56768,NA,NA,NA,NA,NA,NA,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:37:05,2025-06-29T01:37:05Z,2025-06-29T01:37:05Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,0e067d3a-26ac-4e28-9843-5be0cd983e18,53.88738,-129.33534,17.98494,5.98613,-4.11359,-6.0719900000000004,-0.66233,7.5412,-3.68913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-28,18:37:19,1,3,"Boice, Aidan",1000165692,Right,NAN_NIG,"Phelps, Robert",1000435056,Right,EDM_RIV,Undefined,1,Top,0,1,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,77.04415,0.253682,-0.399707,2098.759935,99.187071,09:15:00,5.74837,1.11368,6.11684,-44.95924,2.90925,-6.35315,2.23631,0.21471,69.06873,-8.137353,-1.546536,0.497962,96.57306,20.925717,-39.387576,2722.897444,81.1638,33.69052,-74.24538,276.57613,260.20878,-49.751423,3.10512,3.1524,1.89902,-1.07975,50,5.74468,1.00564,-111.71379,-0.81415,3.86593,25.66954,-29.8452,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,99281900-5489-11f0-937a-4fdd857fa1cc,75.6934,37.76093,NA,7.97542,NA,NA,NA,2.86575,2.51677,-0.22607,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:37:19,2025-06-29T01:37:19Z,2025-06-29T01:37:19Z,LineDrive,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,0201ff79-3abb-4f76-923e-b3c5156411c4,54.37742,-112.71515,12.83477,5.75373,0.35009,-14.9226,-1.11604,0.85483,1.93297,NA,2.86578,102.25108,-26.03421,6.55488,-1.79486,0.55315,-0.1488,0.02483,-0.00179,2.51676,50.58613,-20.2423,1.76861,-0.16136,-0.09048,0.05215,-0.01102,8.9e-4,-0.22606,-83.95035,7.40852,-0.94277,-0.0335,0.11816,-0.05152,0.0104,-8.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-28,18:37:41,1,4,"Boice, Aidan",1000165692,Right,NAN_NIG,"Phelps, Robert",1000435056,Right,EDM_RIV,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,89.33051,-2.007427,-1.913422,2124.943843,192.535433,12:30:00,5.94729,0.68985,6.68066,-11.53457,23.34478,4.88036,3.14816,-0.65426,79.56242,-4.3475,-1.02516,0.425065,89.45478,23.752962,-11.596682,1946.755065,107.77472,44.04475,-22.01281,310.59717,305.39351,-13.586241,4.078943,-3.26032,13.41477,-0.56381,50,5.8081,4.1356,-129.4913,-4.72103,-5.37937,34.15681,-10.0402,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,a5da5f50-5489-11f0-937a-4fdd857fa1cc,88.67445,54.26832,NA,9.76809,NA,NA,NA,1.60805,3.12502,0.6712,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:37:41,2025-06-29T01:37:41Z,2025-06-29T01:37:41Z,LineDrive,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,59b0ff93-89ce-46c1-af9d-cafe8cf1c578,53.81181,-130.49289,17.07841,5.94222,-4.42661,-5.0201,-0.68739,4.29334,-2.68969,176.724981,1.60755,117.65079,-22.38307,5.42953,-1.24273,0.30285,-0.06603,0.00915,-5.4e-4,3.12577,52.82128,-13.67242,-0.38604,0.46365,-0.22416,0.06308,-0.009,5e-4,0.67114,-24.13988,3.87989,-1.22029,0.30833,-0.07223,0.01447,-0.00192,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-28,18:38:12,2,1,"Boice, Aidan",1000165692,Right,NAN_NIG,"Sato, Shiryu",1000435057,Right,EDM_RIV,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.84966,-1.578564,-2.000447,2109.27777,199.047804,12:45:00,5.94526,0.77381,6.65164,-16.43454,18.95938,6.04831,3.12981,-0.55368,78.95755,-4.815815,-0.899934,0.428189,80.40844,-1.223309,173.992508,NA,NA,NA,NA,NA,39.7652,NA,NA,-3.80158,10.83843,-0.64064,50,5.83142,4.23305,-128.65431,-3.88741,-6.18997,33.78167,-14.5263,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,b8b15ed0-5489-11f0-937a-4fdd857fa1cc,88.02755,3.76904,NA,9.89211,NA,NA,NA,3.67226,3.76904,0.16667,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:38:12,2025-06-29T01:38:12Z,2025-06-29T01:38:12Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,5d9b9439-3a22-489e-9817-4671c374eb62,53.83295,-129.65685,16.89083,5.94038,-3.45632,-7.26315,-0.76899,4.41676,-3.09498,217.176886,3.65748,-116.76564,21.50577,NA,NA,NA,NA,NA,NA,3.75618,-2.08195,-0.20221,NA,NA,NA,NA,NA,NA,0.18202,11.82116,-12.98664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-28,18:38:30,2,2,"Boice, Aidan",1000165692,Right,NAN_NIG,"Sato, Shiryu",1000435057,Right,EDM_RIV,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.34846,-1.549422,-2.31383,2142.720885,207.079353,01:00:00,5.9989,0.74285,6.6118,-14.11855,21.91887,10.42544,3.40178,-0.50869,78.0663,-4.382558,-0.418925,0.432064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.27347,12.45024,-0.58888,50,5.88699,4.74036,-127.90698,-3.71313,-10.02839,34.99362,-12.27183,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,c372d1a0-5489-11f0-937a-4fdd857fa1cc,87.23807,NA,NA,10.28217,NA,NA,NA,NA,NA,NA,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:38:30,2025-06-29T01:38:30Z,2025-06-29T01:38:30Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,caf3fc43-67bf-461e-9a1d-58bc58b2a10c,53.87663,-128.96321,17.49681,5.99348,-3.34272,-6.13592,-0.73653,5.04306,-5.0142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-28,18:38:50,2,3,"Boice, Aidan",1000165692,Right,NAN_NIG,"Sato, Shiryu",1000435057,Right,EDM_RIV,Undefined,1,Top,1,1,1,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.09197,2.446517,-0.371948,2194.109876,94.744941,09:15:00,5.73516,1.17973,6.08219,-44.3192,2.02736,-3.94036,4.30663,0.50727,70.17089,-5.825304,-1.081522,0.489982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88248,0.78721,-1.1491,50,5.90143,0.88385,-113.17787,3.49194,2.39417,24.40465,-31.17285,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,cf6152c0-5489-11f0-937a-4fdd857fa1cc,76.92616,NA,NA,7.92107,NA,NA,NA,NA,NA,NA,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:38:50,2025-06-29T01:38:50Z,2025-06-29T01:38:50Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,27197275-6cca-4aa0-a875-606da55b47bd,54.41025,-114.12489,12.20233,5.74245,4.7016,-15.58642,-1.18159,0.79095,1.19709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-28,18:39:04,2,4,"Boice, Aidan",1000165692,Right,NAN_NIG,"Sato, Shiryu",1000435057,Right,EDM_RIV,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,87.17788,-2.128341,-2.286225,2102.532919,209.871183,01:00:00,5.93052,0.70805,6.59583,-17.18265,19.85033,10.50024,2.54629,-0.51258,77.18922,-5.5147,-0.377746,0.437991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.32429,11.63048,-0.55557,50,5.77766,4.61876,-126.1931,-5.06342,-9.84349,33.99315,-14.07171,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,d772c0c0-5489-11f0-937a-4fdd857fa1cc,86.05748,NA,NA,9.98866,NA,NA,NA,NA,NA,NA,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:39:04,2025-06-29T01:39:04Z,2025-06-29T01:39:04Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,efb76a40-df0a-4f40-88a8-a48b2c744bab,53.8937,-127.23764,16.99658,5.9266,-4.63103,-7.03586,-0.70214,4.92123,-4.92175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-28,18:39:22,2,5,"Boice, Aidan",1000165692,Right,NAN_NIG,"Sato, Shiryu",1000435057,Right,EDM_RIV,Undefined,1,Top,1,2,2,ChangeUp,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,78.14028,0.640964,-0.93306,2149.471494,91.314644,09:00:00,5.68983,1.10506,6.11953,-44.42664,1.79,-3.27906,2.58027,-0.03086,70.44281,-7.633595,-1.524752,0.489295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36815,1.22634,-1.03201,50,5.71633,1.96674,-113.34492,-0.06464,1.7416,24.86706,-30.613,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,e22b0bd0-5489-11f0-937a-4fdd857fa1cc,77.03419,NA,NA,7.69746,NA,NA,NA,NA,NA,NA,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:39:22,2025-06-29T01:39:22Z,2025-06-29T01:39:22Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,4f9135c0-3034-4faf-b66f-20d8dd014643,54.37412,-114.30054,12.43353,5.6962,1.11179,-15.3065,-1.1063,1.89981,0.8708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.46946,NA,NA,1.130591,NA,NA,NA,-0.51372,5.63943,3.80178,69.78841,5.67404,-54.99038,-0.46448,67.23371,-4.5022,5.72862,16.91455,-14.99316,3.68028,-59.96044,7.1232,High,High,High,NA,NA,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-28,18:39:49,3,1,"Boice, Aidan",1000165692,Right,NAN_NIG,"Stagg, Max",1000435060,Right,EDM_RIV,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,79.55327,0.73698,-1.714018,2144.556849,134.034858,10:30:00,5.62307,1.23052,6.23216,-40.23616,4.22118,-2.64949,2.95027,-0.57193,71.55852,-6.796718,-2.19256,0.479892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77476,2.46524,-1.10149,50,5.65886,3.55115,-115.34621,0.29039,1.02111,25.8015,-28.92496,NAN_NIG,EDM_RIV,SerauxmenStadium,WCL,WCL,20250628-SerauxmenStadium-1,f24646b0-5489-11f0-937a-4fdd857fa1cc,78.54362,NA,NA,7.99475,NA,NA,NA,NA,NA,NA,b7228322-7f81-458d-9165-d37b618bc59f,2025-06-29,01:39:49,2025-06-29T01:39:49Z,2025-06-29T01:39:49Z,NA,v3,NA,NA,NA,"Davis, Nate",1000251169,Right,NAN_NIG,2dfe1cf2-e87e-4b4d-b483-249d87e6b78d,54.25996,-116.29521,12.90075,5.62861,1.35427,-14.46248,-1.23141,3.51359,0.51055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
