player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-02,18:32:54,1,1,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.27849,-1.982971,3.019902,2059.049299,133.632174,10:30:00,5.91438,-2.29008,6.38446,-22.11564,11.45591,-10.93993,2.24407,-0.42125,82.9701,-6.143657,1.040226,0.41702,80.93274,-21.282545,65.831328,NA,NA,NA,NA,7.67448,7.62303,52.163079,0.061426,6.56327,6.82796,2.07766,50,5.76113,-6.49271,-131.1041,-5.21247,11.46256,26.82534,-20.24919,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,7f4833e0-5794-11f0-961b-038bef0e03f0,90.38518,2.65392,NA,7.30839,NA,NA,NA,1.91821,2.65392,-0.15488,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:32:54,2025-07-02T22:32:54Z,2025-07-02T22:32:54Z,GroundBall,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,7070d579-7d5d-4ad1-bd42-f7a66c6d57ce,54.11524,-131.94343,13.41267,5.91431,-4.57889,-10.1246,2.28643,-6.85136,5.73128,NA,1.91696,45.41155,NA,NA,NA,NA,NA,NA,NA,2.65511,-43.20528,NA,NA,NA,NA,NA,NA,NA,-0.15767,101.19324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-02,18:33:12,1,2,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.19879,-0.656758,3.918755,1914.265965,174.026404,11:45:00,6.08616,-1.95427,6.43855,-18.2604,15.55028,-1.5137,3.9595,1.52627,82.24686,-4.14463,3.645446,0.418503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90169,8.62804,1.67624,50,6.03093,-8.89888,-130.80243,-1.99843,3.28718,28.17815,-17.26018,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,89fcd570-5794-11f0-961b-038bef0e03f0,90.06496,NA,NA,7.95193,NA,NA,NA,NA,NA,NA,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:33:12,2025-07-02T22:33:12Z,2025-07-02T22:33:12Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,d9ccaa42-9c02-49eb-af2e-b0157a55a068,54.05721,-131.67356,14.08908,6.08446,-1.46483,-8.63009,1.95292,-9.00051,1.64359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-02,18:33:27,1,3,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.4449,-0.694572,4.346277,1956.710937,133.967263,10:30:00,5.86382,-2.28995,6.58872,-26.23517,8.42363,-7.68087,3.03925,1.06015,81.4956,-5.618138,2.955152,0.423719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13744,4.93673,1.99505,50,5.80522,-9.46329,-128.36224,-2.33711,8.63634,24.6902,-23.87507,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,930e9c70-5794-11f0-961b-038bef0e03f0,88.95618,NA,NA,6.9493,NA,NA,NA,NA,NA,NA,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:33:27,2025-07-02T22:33:27Z,2025-07-02T22:33:27Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,36cf6554-f4ed-437a-99e1-614b5267d8f7,53.90951,-129.11203,12.3451,5.86518,-1.61207,-11.93753,2.28641,-9.72556,4.31817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-02,18:33:46,1,4,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,2,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,78.89681,0.353285,3.329235,2260.896136,288.49874,03:30:00,5.6097,-2.29685,6.10143,-45.8066,-1.53591,8.28882,2.11976,1.47626,73.25026,-8.053508,4.819392,0.478883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.42114,-0.47957,2.03642,50,5.61296,-6.9644,-114.61158,-0.70276,-4.58283,19.77744,-32.81644,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,9e30f3f0-5794-11f0-961b-038bef0e03f0,78.70904,NA,NA,5.64655,NA,NA,NA,NA,NA,NA,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:33:46,2025-07-02T22:33:46Z,2025-07-02T22:33:46Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,599a9d72-a2e6-4a5e-b627-f2217861c36f,54.39876,-115.36814,9.88872,5.61583,0.55258,-16.40822,2.29948,-6.78909,-2.29141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-02,18:34:02,1,5,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.23,-0.893254,3.542986,1885.545504,165.553968,11:30:00,5.93079,-1.97967,6.61677,-16.6908,15.9856,-3.85666,3.7202,0.94781,83.46124,-4.097467,2.843545,0.411423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01697,8.98197,1.74036,50,5.86288,-8.05377,-132.46723,-2.50518,5.36419,28.12867,-16.20412,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,a8237e00-5794-11f0-961b-038bef0e03f0,91.61478,NA,NA,7.76876,NA,NA,NA,NA,NA,NA,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:34:02,2025-07-02T22:34:02Z,2025-07-02T22:34:02Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,a37edfa4-b7be-48b8-9080-faf1717bc837,53.88161,-133.28892,14.06433,5.92915,-2.03183,-8.10206,1.97791,-8.21047,2.68209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-02,18:34:22,1,6,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.34721,-0.750884,2.949703,2047.401335,142.492414,10:45:00,5.86318,-2.24388,6.56545,-18.83552,14.50115,-10.33308,3.60426,-0.39855,82.64488,-4.348006,1.074439,0.415559,71.4257,20.526457,-130.541754,3881.338462,NA,NA,NA,NA,42.75921,NA,NA,6.24721,8.14371,2.04488,50,5.80326,-6.36409,-131.26247,-2.23718,10.90921,27.55158,-17.95302,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,b3ad49e0-5794-11f0-961b-038bef0e03f0,90.70303,16.4191,NA,7.70233,NA,NA,NA,0.18502,3.49524,0.37468,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:34:22,2025-07-02T22:34:22Z,2025-07-02T22:34:22Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,6619c645-b702-4d0f-9d93-4f8405a07eb4,53.93292,-132.0854,13.77579,5.86208,-1.70095,-8.97651,2.23984,-6.68994,5.45461,NA,0.18344,-63.72772,5.11452,NA,NA,NA,NA,NA,NA,3.50807,36.37035,-19.71007,NA,NA,NA,NA,NA,NA,0.34966,-73.84649,16.48162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-02,18:34:38,1,7,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.33336,2.433529,2.901721,2254.438871,302.029728,04:00:00,5.66916,-2.60449,5.86107,-46.84223,-3.22591,7.36205,4.03067,0.70704,73.36622,-6.182506,4.218294,0.475331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.89603,-1.8802,2.36489,50,5.83992,-6.19004,-116.46069,3.4108,-3.96073,22.72726,-34.7455,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,bd8ff570-5794-11f0-961b-038bef0e03f0,79.29729,NA,NA,6.96715,NA,NA,NA,NA,NA,NA,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:34:38,2025-07-02T22:34:38Z,2025-07-02T22:34:38Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,5181fa3f-e64a-4ec0-80ef-614723d12148,54.6371,-117.36212,11.36363,5.67731,4.78892,-17.37275,2.60729,-6.03294,-1.98036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-02,18:34:57,1,8,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.15033,-2.282069,3.088829,2131.327564,160.81432,11:15:00,5.8271,-2.32469,6.61572,-17.93903,15.97351,-5.13961,2.23803,0.07862,81.57529,-5.735439,2.155517,0.419133,73.24608,68.199564,-46.2702,5224.083944,NA,NA,NA,126.64204,54.08504,-68.618775,5.328164,3.68465,9.48312,2.1167,50,5.66426,-6.85457,-130.71131,-5.67805,6.29175,30.8994,-15.98114,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,c89cf030-5794-11f0-961b-038bef0e03f0,89.92961,118.2168,NA,8.57504,NA,NA,NA,1.99172,2.17966,0.05753,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:34:57,2025-07-02T22:34:57Z,2025-07-02T22:34:57Z,Popup,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,13de7145-bb26-43c2-ae2c-2b7a60b86a83,53.88085,-131.62552,15.4497,5.82526,-5.20522,-7.99057,2.32226,-7.04072,3.14588,NA,1.98144,27.71732,-13.27163,4.39665,-0.70675,-0.09601,0.07105,-0.01242,7.4e-4,2.16187,100.07957,-27.57578,4.78397,-1.86326,0.59698,-0.11756,0.012070000000000001,-4.9e-4,0.05198,-28.73148,1.70434,0.38637,-0.37401,0.1248,-0.0209,0.00163,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-02,18:35:25,1,9,"Yagesh, Brendan",832383,Left,BRI_B,"Aschettino, AJ",831141,Left,MYS_SCH,Undefined,1,Top,0,3,2,Slider,Slider,BallCalled,Walk,Undefined,Undefined,0,0,NA,80.26285,2.066801,1.93899,2135.736992,309.195927,04:15:00,5.6099,-2.62221,5.86987,-48.17471,-4.21945,7.02311,3.51703,-0.23523,72.77898,-6.814391,3.197846,0.477174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.94587,-2.27689,2.46135,50,5.75002,-4.21671,-116.37078,2.60478,-3.98792,24.44583,-35.25636,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,d90560b0-5794-11f0-961b-038bef0e03f0,78.99098,NA,NA,7.48387,NA,NA,NA,NA,NA,NA,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:35:25,2025-07-02T22:35:25Z,2025-07-02T22:35:25Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,06f2d8f0-7320-4500-9695-1b815c418c49,54.62702,-117.33874,12.22291,5.61924,4.0008,-17.62818,2.62518,-4.0588,-1.99396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-02,18:35:55,2,1,"Yagesh, Brendan",832383,Left,BRI_B,"Torres, Michael",803757,Left,MYS_SCH,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.94668,0.241171,2.798166,1810.788692,145.153807,10:45:00,5.74177,-2.57915,6.2348,-22.10741,12.24001,-7.71914,4.12222,-0.6391,81.55557,-3.94886,1.406124,0.421812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80559,6.61252,2.37389,50,5.74882,-6.05472,-130.49841,-0.11954,8.22741,29.3061,-20.85309,BRI_B,MYS_SCH,MuzzyField,NECBL,NECL,20250702-MuzzyField-1,eb282b60-5794-11f0-961b-038bef0e03f0,89.35844,NA,NA,8.3911,NA,NA,NA,NA,NA,NA,b5a0d85f-1eb9-4b77-924f-c2888a197116,2025-07-02,22:35:55,2025-07-02T22:35:55Z,2025-07-02T22:35:55Z,NA,v3,NA,NA,NA,"Novak, Jayden",1000142990,Right,BRI_B,25b9909a-f2fa-420f-b361-c3d559579014,54.26058,-131.45173,14.65305,5.74168,0.5588,-10.42655,2.5752100000000002,-6.32236,4.11371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
