player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-10,16:34:44,1,1,"Howard, Gabe",1000067697,Right,CON_OAK,"Hanson, Josh",1000369711,Right,SAN_FRA4,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,89.52584,-3.60847,-1.920806,2081.033098,204.232334,12:45:00,6.45388,0.8832,5.8458,-14.23257,21.18017,8.96008,1.90812,-0.15582,81.05167,-6.353176,-0.314904,0.428303,82.30383,59.290997,3.097158,NA,106.61331,131.91017,27.085,203.0385,98.37019,18.098388,5.761901,-5.20709,12.34808,-0.73228,50,6.15168,3.96908,-129.62295,-8.55919,-8.75722,30.00875,-11.40723,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,75289320-5de6-11f0-817a-ed582581b3f7,88.00416,132.20181,NA,8.47417,NA,NA,NA,1.92467,1.17072,-0.11755,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:34:44,2025-07-10T23:34:44Z,2025-07-10T23:34:44Z,Popup,v3,NA,NA,NA,"Thomas, Anthony",1000436622,Right,CON_OAK,2f4895fa-6697-4cb3-bcf3-ebb0a8f47b68,54.65376,-130.69589,15.00437,6.45042,-8.15133,-5.70362,-0.87979,4.28219,-4.37861,202.931377,1.93029,61.42096,-14.25923,2.92477,0.04755,-0.22562,0.06338,-0.00763,3.5e-4,1.15667,104.02093,-26.15672,3.81981,-1.15537,0.27418,-0.03781,0.00234,-3e-5,-0.11909,3.38946,5.56082,-1.40856,-0.07441,0.16094,-0.04708,0.00597,-2.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-10,16:35:20,2,1,"Howard, Gabe",1000067697,Right,CON_OAK,"Maher, Thomas",10264915,Right,SAN_FRA4,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.59144,-2.801169,-1.612651,2153.012003,187.932315,12:15:00,6.51199,0.82823,5.63026,-9.69981,25.52379,3.36284,3.08686,-0.39665,80.91951,-4.761993,-1.012594,0.427158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.23508,14.19481,-0.69302,50,6.26727,3.53198,-131.01005,-6.57432,-3.7986,33.38971,-8.04966,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,8a8c5800-5de6-11f0-817a-ed582581b3f7,88.24012,NA,NA,9.67194,NA,NA,NA,NA,NA,NA,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:35:20,2025-07-10T23:35:20Z,2025-07-10T23:35:20Z,NA,v3,NA,NA,NA,"Thomas, Anthony",1000436622,Right,CON_OAK,784676e3-9812-401a-b14c-5f9cdce8906f,54.86381,-132.24385,16.69486,6.5047,-6.27688,-4.02483,-0.82612,3.67234,-1.8993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-10,16:35:37,2,2,"Howard, Gabe",1000067697,Right,CON_OAK,"Maher, Thomas",10264915,Right,SAN_FRA4,Undefined,1,Top,1,0,1,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,84.45976,-1.238399,-1.39905,2317.092563,153.417643,11:00:00,6.21238,1.43932,5.82765,-35.17466,4.10807,-1.4376,2.12939,0.01867,77.57139,-7.713603,-1.657068,0.45109900000000003,59.16193,-22.28641,-24.590894,NA,NA,NA,NA,7.3502,2.57425,-16.974472,0.065645,0.34595,2.77835,-1.32412,50,6.09017,3.05213,-122.67134,-3.82431,0.52617,24.6931,-27.94842,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,94f1c820-5de6-11f0-817a-ed582581b3f7,83.55686,2.16961,NA,6.88837,NA,NA,NA,2.21647,2.16961,0.05702,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:35:37,2025-07-10T23:35:37Z,2025-07-10T23:35:37Z,GroundBall,v3,NA,NA,NA,"Thomas, Anthony",1000436622,Right,CON_OAK,94909a13-0e3c-4e22-8a52-4a26a62544f0,54.67398,-123.6086,12.34655,6.21519,-2.76348,-13.97421,-1.43959,3.03216,0.26309,NA,2.21309,73.3265,NA,NA,NA,NA,NA,NA,NA,2.17114,-33.0507,NA,NA,NA,NA,NA,NA,NA,0.05856,-33.5574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-10,16:36:09,3,1,"Howard, Gabe",1000067697,Right,CON_OAK,"Ramirez, Alan",833522,Right,SAN_FRA4,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,84.14319,-0.99541,-2.217167,2296.837668,147.372416,11:00:00,6.19852,1.54007,5.91024,-30.22155,9.55315,-5.25701,2.75535,-0.95699,76.61677,-6.61934,-3.160258,0.453915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01445,5.60402,-1.3591,50,6.10149,4.9362,-122.0447,-3.0819,3.01219,25.94739,-23.79439,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,a7f64040-5de6-11f0-817a-ed582581b3f7,83.03848,NA,NA,7.52642,NA,NA,NA,NA,NA,NA,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:36:09,2025-07-10T23:36:09Z,2025-07-10T23:36:09Z,NA,v3,NA,NA,NA,"Thomas, Anthony",1000436622,Right,CON_OAK,050abcb8-a9a4-4fa9-b40b-f07ea0e4fa2a,54.5879,-123.01624,12.97369,6.20021,-2.19096,-11.8972,-1.54181,4.82342,1.5061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-10,16:36:28,3,2,"Howard, Gabe",1000067697,Right,CON_OAK,"Ramirez, Alan",833522,Right,SAN_FRA4,Undefined,1,Top,2,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,84.21402,-0.704247,-1.115907,2318.880043,133.824526,10:30:00,6.14964,1.20984,5.82794,-32.21951,7.82918,-6.66398,2.80985,-0.38299,76.1748,-6.699308,-2.311047,0.455476,67.06951,17.982734,-55.295054,3793.283564,NA,NA,NA,126.3014,114.61496,-58.876726,1.626457,3.06606,4.62154,-1.1146,50,6.07318,2.64464,-122.15576,-2.54474,4.55665,27.75412,-25.30568,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,b33a2980-5de6-11f0-817a-ed582581b3f7,82.75396,13.73891,NA,8.03922,NA,NA,NA,2.9624,2.88278,0.40078,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:36:28,2025-07-10T23:36:28Z,2025-07-10T23:36:28Z,LineDrive,v3,NA,NA,NA,"Thomas, Anthony",1000436622,Right,CON_OAK,214abf2f-840a-44bf-83b7-6fb81bfb607f,54.67137,-123.21254,13.87706,6.15173,-1.58119,-12.65284,-1.21199,2.47114,2.27833,NA,2.9624,53.27021,-10.57456,1.21127,-0.28817,0.05159,-0.0094,0.00174,-1.6e-4,2.88278,30.36933,-22.71104,2.3206,-0.43526,0.09698,-0.01622,0.00233,-2.2e-4,0.40078,-76.91776,7.52366,-1.04608,0.22183,-0.04223,0.00759,-0.00128,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-10,16:36:54,3,3,"Howard, Gabe",1000067697,Right,CON_OAK,"Ramirez, Alan",833522,Right,SAN_FRA4,Undefined,1,Top,2,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,78.82954,-0.623105,-1.407315,2240.425947,79.731398,08:45:00,5.98481,1.3748,5.57585,-47.20373,-0.80307,-13.84509,1.46898,-1.09368,71.40476,-9.265126,-3.881393,0.490268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57807,0.23646,-1.24414,50,5.90027,3.33941,-114.2611,-2.79685,8.50196,25.43906,-31.86844,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,c2ec4250-5de6-11f0-817a-ed582581b3f7,76.88131,NA,NA,7.42478,NA,NA,NA,NA,NA,NA,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:36:54,2025-07-10T23:36:54Z,2025-07-10T23:36:54Z,NA,v3,NA,NA,NA,"Thomas, Anthony",1000436622,Right,CON_OAK,2c5bbe38-5d0e-4ee3-9d0e-fbfee83a44cb,54.92441,-115.35226,12.71953,5.99092,-1.42991,-15.93422,-1.37956,2.97474,4.25098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-10,16:39:25,1,1,"Byrd, Jaxon",1000250447,Left,SAN_FRA4,"Gonzalez, Ethan",1000436623,Right,CON_OAK,Undefined,1,Bottom,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.37412,-2.421207,3.154551,2062.208748,122.895617,10:00:00,6.00009,-1.83889,6.56443,-29.08746,8.54367,-11.27938,1.35175,0.11608,78.0709,-7.877706,1.105084,0.441515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93241,5.55528,1.62628,50,5.82067,-6.42772,-123.8811,-6.07497,10.70533,26.19754,-23.59535,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,1ca9e450-5de7-11f0-817a-ed582581b3f7,85.37076,NA,NA,7.30322,NA,NA,NA,NA,NA,NA,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:39:25,2025-07-10T23:39:25Z,2025-07-10T23:39:25Z,NA,v3,NA,NA,NA,"Bergan, Ethan",1000092025,Right,SAN_FRA4,d671502b-2dc9-4b83-85d9-85bada71dfd8,53.93739,-124.71098,13.09877,6.00127,-5.32753,-11.79768,1.83527,-6.76684,5.35267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-10,16:39:41,1,2,"Byrd, Jaxon",1000250447,Left,SAN_FRA4,"Gonzalez, Ethan",1000436623,Right,CON_OAK,Undefined,1,Bottom,0,0,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,85.2921,-2.121823,3.055601,2311.062713,151.283924,11:00:00,6.03037,-1.75636,6.49018,-24.34021,13.08217,-6.54906,2.05038,0.50579,78.61398,-6.700388,1.868482,0.440288,89.09244,14.339784,-6.798929,1478.061456,109.52919,20.6854,-10.15872,245.72201,245.72201,-2.826419,2.550769,4.2615,7.76945,1.54468,50,5.87042,-6.37637,-123.86692,-5.27381,6.65409,23.57921,-20.04256,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,266e3270-5de7-11f0-817a-ed582581b3f7,85.60852,21.44802,NA,6.67812,NA,NA,NA,1.16727,2.05109,-0.50961,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:39:41,2025-07-10T23:39:41Z,2025-07-10T23:39:41Z,LineDrive,v3,NA,NA,NA,"Bergan, Ethan",1000092025,Right,SAN_FRA4,780c32f7-601d-49c5-99cb-c7e80955be80,54.0113,-124.62817,11.78961,6.03024,-4.62674,-10.02128,1.75401,-6.59119,3.32704,211.850211,1.16727,125.70777,-18.10785,3.83474,-0.79139,0.15519,-0.02731,0.00346,-2.2e-4,2.0511,32.36105,-14.03163,0.48786,-0.0412,0.00196,2.1e-4,1.9e-4,-3e-5,-0.50961,-14.98745,6.30536,-1.33269,0.27461,-0.05379,0.00947,-0.0012,8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-10,16:40:29,2,1,"Byrd, Jaxon",1000250447,Left,SAN_FRA4,"Mora, Zach",1000108725,Right,CON_OAK,Undefined,1,Bottom,0,0,0,Fastball,Changeup,InPlay,Undefined,Bunt,Single,0,1,NA,84.61469,-0.758549,2.711427,2302.047759,132.641777,10:30:00,6.06521,-1.6503,6.46328,-26.82202,11.22945,-10.93942,3.13246,-0.06951,77.76482,-5.805188,0.728434,0.443974,44.96029,-56.943553,-70.800107,NA,NA,NA,NA,4.00159,4.00158,-28.726262,0.058518,6.49237,6.43201,1.4635,50,5.9995,-5.43003,-122.98087,-2.39011,9.97557,23.6407,-22.29119,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,42f004a0-5de7-11f0-817a-ed582581b3f7,84.89795,3.27219,NA,6.84987,NA,NA,NA,2.80876,3.27219,0.08785,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:40:29,2025-07-10T23:40:29Z,2025-07-10T23:40:29Z,GroundBall,v3,NA,NA,NA,"Bergan, Ethan",1000092025,Right,SAN_FRA4,905846fb-8a4a-4d92-9af2-b5709ecdb067,54.03839,-123.75473,11.82035,6.06579,-1.66042,-11.1456,1.6466,-5.75657,4.98778,NA,2.80745,11.96791,NA,NA,NA,NA,NA,NA,NA,3.2783,-55.91741,NA,NA,NA,NA,NA,NA,NA,0.09161,-34.36736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-10,16:41:17,3,1,"Byrd, Jaxon",1000250447,Left,SAN_FRA4,"Wilkes, Devon",1000436626,Left,CON_OAK,Undefined,1,Bottom,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.06624,1.75467,0.85086,2306.703443,275.200366,03:15:00,5.99719,-1.72174,6.05619,-46.93692,1.13118,4.22201,3.71066,-0.58226,69.65343,-6.934474,1.611096,0.498999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.92532,0.56091,1.65342,50,6.10864,-1.79112,-110.48745,1.99193,-2.37344,20.18759,-31.48259,CON_OAK,SAN_FRA4,SparkyAnderson,Cali Collegiate,CCL,20250710-SparkyAnderson-1,5f84c290-5de7-11f0-817a-ed582581b3f7,75.53605,NA,NA,6.41281,NA,NA,NA,NA,NA,NA,80211d0c-283a-4562-9587-2cf23dfe3c63,2025-07-10,23:41:17,2025-07-10T23:41:17Z,2025-07-10T23:41:17Z,NA,v3,NA,NA,NA,"Bergan, Ethan",1000092025,Right,SAN_FRA4,e2b8dac9-a74c-494f-bbd6-b364438a48b4,54.44404,-111.29648,10.0938,6.00353,3.25361,-15.74129,1.72329,-1.696,-1.18672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
