player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-12,18:01:22,1,1,"Byers, Reilly",1000135908,Left,ASH_COP,"Grady, Keaton",809224,Right,MAC_BAC,Undefined,1,Top,0,0,0,Cutter,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,82.98623,-1.7038740000000001,3.734055,1764.283189,139.245315,10:45:00,6.32873,-2.52463,5.8876,-29.1708,11.23083,-8.64835,2.31186,0.22687,76.66837,-7.101143,2.185448,0.457479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37733,6.56229,2.22816,50,6.17416,-7.51924,-120.36964,-4.50274,7.95617,21.50998,-22.4646,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,bf8ccae0-5f6b-11f0-a40d-a90faf527cd1,82.39171,NA,NA,6.31785,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:01:22,2025-07-12T22:01:22Z,2025-07-12T22:01:22Z,NA,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,daf0b46c-0d02-4831-864e-fc812e03f97c,54.61144,-121.1909,10.75499,6.3297,-3.64503,-11.2323,2.52105,-7.82301,3.97808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-12,18:01:36,1,2,"Byers, Reilly",1000135908,Left,ASH_COP,"Grady, Keaton",809224,Right,MAC_BAC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.33266,-2.356663,3.037412,1909.998829,149.379409,11:00:00,6.36802,-2.62463,5.70202,-22.62399,15.81548,-8.68524,2.28243,-0.5155,78.77556,-6.563914,1.486284,0.446231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24048,9.01441,2.3754,50,6.15597,-6.22426,-123.80778,-5.81864,8.20261,22.76755,-18.06434,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,c82c9630-5f6b-11f0-a40d-a90faf527cd1,84.46836,NA,NA,6.55709,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:01:36,2025-07-12T22:01:36Z,2025-07-12T22:01:36Z,NA,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,08d28e6f-cab9-4614-8b69-d1738b05fb88,54.79859,-124.68709,11.38378,6.36722,-5.12097,-9.03217,2.6219,-6.54106,4.1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-12,18:01:55,1,3,"Byers, Reilly",1000135908,Left,ASH_COP,"Grady, Keaton",809224,Right,MAC_BAC,Undefined,1,Top,0,0,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,86.45219,-1.938871,2.121957,2045.585855,143.693607,10:45:00,6.19847,-2.64801,5.90099,-24.41982,12.59146,-8.47398,2.36167,-1.38341,80.02933,-6.473945,0.600893,0.437863,67.14334,-21.528078,-4.318218,NA,NA,NA,NA,8.78282,8.78282,5.836811,0.067752,4.9037,7.26898,2.48239,50,6.02833,-4.31994,-125.61761,-5.03477,7.92004,22.87365,-20.43379,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,d341ce50-5f6b-11f0-a40d-a90faf527cd1,86.08265,2.45766,NA,6.42286,NA,NA,NA,2.52478,2.45766,1.36228,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:01:55,2025-07-12T22:01:55Z,2025-07-12T22:01:55Z,GroundBall,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,c057302b-84a2-4a86-8b02-4fe2f1b9b5c8,54.59961,-126.45238,11.43682,6.19846,-4.28905,-10.2169,2.64531,-4.60898,3.96002,180,2.52098,91.69538,NA,NA,NA,NA,NA,NA,NA,2.45917,-36.27466,NA,NA,NA,NA,NA,NA,NA,1.36257,-6.92393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-12,18:02:32,2,1,"Byers, Reilly",1000135908,Left,ASH_COP,"Schlaegel, Dylan",814112,Right,MAC_BAC,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.62858,-0.956021,2.276126,1976.301344,130.036729,10:15:00,6.22203,-2.5094,5.84643,-25.49549,11.7167,-12.57272,3.20822,-1.44087,79.45163,-5.708118,0.022161,0.43905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01977,6.60296,2.33146,50,6.12928,-4.4775,-125.78437,-2.92614,11.27753,24.85382,-21.56613,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,e9c7f320-5f6b-11f0-a40d-a90faf527cd1,85.85001,NA,NA,7.17695,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:02:32,2025-07-12T22:02:32Z,2025-07-12T22:02:32Z,NA,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,71ec9ca5-2ace-4020-a73c-4aa8259a05b9,54.65189,-126.70021,12.42691,6.22246,-2.13145,-10.78306,2.50411,-4.89306,5.63876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-12,18:02:46,2,2,"Byers, Reilly",1000135908,Left,ASH_COP,"Schlaegel, Dylan",814112,Right,MAC_BAC,Undefined,1,Top,1,1,0,Sinker,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.63723,-2.651988,4.086317,2118.768699,139.577754,10:45:00,6.1823,-2.56555,6.04868,-23.25769,14.70446,-11.5039,1.78108,0.2651,78.65158,-7.005535,2.021578,0.443452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.02382,8.65725,2.25317,50,5.96271,-8.40857,-124.05888,-6.45598,10.98145,24.07254,-18.63879,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,f1d409f0-5f6b-11f0-a40d-a90faf527cd1,84.99777,NA,NA,6.98565,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:02:46,2025-07-12T22:02:46Z,2025-07-12T22:02:46Z,NA,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,58afa9fd-1736-48a9-a681-8ab5b2a97ee0,54.45004,-124.91939,12.03627,6.18158,-5.7897,-9.3194,2.56076,-8.80111,5.49073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-12,18:03:01,2,3,"Byers, Reilly",1000135908,Left,ASH_COP,"Schlaegel, Dylan",814112,Right,MAC_BAC,Undefined,1,Top,1,1,1,Cutter,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.11813,0.538956,1.746655,2131.319661,141.80293,10:45:00,6.19807,-2.67487,5.83242,-23.53025,15.013,-10.88253,4.73843,-1.95769,77.88466,-3.88057,-0.203249,0.446833,66.37302,-1.502853,173.727421,5972.761912,NA,NA,NA,47.81215,43.38231,174.604124,0.483692,5.98776,7.8763,2.53857,50,6.22818,-3.31892,-123.61434,0.44214,9.2927,23.9497,-19.95045,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,faf9a710-5f6b-11f0-a40d-a90faf527cd1,84.35459,4.30731,NA,7.23347,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:03:01,2025-07-12T22:03:01Z,2025-07-12T22:03:01Z,GroundBall,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,b5c7697a-ff9f-4aa4-bab0-dfe29e720ab3,54.66466,-124.51482,11.97485,6.19745,1.19225,-9.97523,2.66992,-3.66831,4.64635,255.635633,-2.14179,-96.72765,5.67628,NA,NA,NA,NA,NA,NA,4.30931,-2.60774,-13.03736,NA,NA,NA,NA,NA,NA,1.73545,10.46313,-9.85728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-12,18:03:21,2,4,"Byers, Reilly",1000135908,Left,ASH_COP,"Schlaegel, Dylan",814112,Right,MAC_BAC,Undefined,1,Top,1,2,1,Cutter,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,85.21465,-1.809304,2.641506,2053.994727,168.160217,11:30:00,6.1977,-2.44904,6.21023,-20.9347,16.88229,-3.30268,2.78096,-0.28463,78.52495,-5.758451,2.046049,0.442603,90.01071,21.929608,-12.301944,1575.984703,106.67387,35.68268,-26.84519,322.65884,309.70739,-17.886531,3.421672,2.41315,9.593,2.2525,50,6.05123,-5.58722,-123.77815,-4.50202,3.76769,23.23065,-17.19637,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,06c9a3b0-5f6c-11f0-a40d-a90faf527cd1,85.16076,41.63462,NA,6.6897,NA,NA,NA,2.91312,2.87348,0.36143,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:03:21,2025-07-12T22:03:21Z,2025-07-12T22:03:21Z,LineDrive,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,0eef9cb9-ebb1-45f4-8f59-af4516ccd666,54.28968,-124.58064,11.61532,6.19649,-3.90799,-8.59819,2.44776,-5.71737,1.88385,134.395689,2.91259,119.66898,-16.71514,4.03974,-0.98073,0.27906,-0.07832,0.01413,-0.00105,2.87413,49.28239,-16.56127,0.4675,0.19157,-0.14625,0.05201,-0.00855,5.1e-4,0.3613,-26.0885,-2.77927,1.14761,-0.26589,0.02987,5.3e-4,-5.3e-4,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-12,18:04:00,3,1,"Byers, Reilly",1000135908,Left,ASH_COP,"McCulley, Carter",703628,Right,MAC_BAC,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.01016,-0.938096,2.154418,2076.264933,134.30802,10:30:00,6.16828,-2.45904,6.20636,-26.67686,10.31382,-9.47378,3.07867,-1.25907,79.44048,-5.917605,0.444263,0.437741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44146,5.92422,2.30179,50,6.08435,-4.33533,-125.04087,-2.86784,8.6946,23.03404,-22.70814,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,1df57e60-5f6c-11f0-a40d-a90faf527cd1,86.10663,NA,NA,6.56968,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:04:00,2025-07-12T22:04:00Z,2025-07-12T22:04:00Z,NA,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,bf99d0fb-292a-4301-8d41-6b9c62219bf8,54.29279,-125.82917,11.51702,6.1692,-2.0907,-11.35407,2.45526,-4.63289,4.3473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-12,18:04:14,3,2,"Byers, Reilly",1000135908,Left,ASH_COP,"McCulley, Carter",703628,Right,MAC_BAC,Undefined,1,Top,2,1,0,Sinker,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.97134,-2.471082,5.096317,2146.50053,161.08087,11:15:00,6.17476,-2.60637,5.50045,-24.04261,14.13028,-4.47551,1.84937,1.79992,79.79139,-6.887421,4.30397,0.444681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4649200000000002,8.06461,2.16301,50,5.94165,-10.90683,-124.40638,-6.19872,5.51085,21.48503,-19.34748,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,2674f070-5f6c-11f0-a40d-a90faf527cd1,84.76279,NA,NA,6.17995,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:04:14,2025-07-12T22:04:14Z,2025-07-12T22:04:14Z,NA,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,25179e61-d488-45e0-bf85-a48e2a8aefe4,54.99873,-125.26669,10.74251,6.17435,-5.42401,-9.67374,2.60416,-11.1275,2.75543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-12,18:04:31,3,3,"Byers, Reilly",1000135908,Left,ASH_COP,"McCulley, Carter",703628,Right,MAC_BAC,Undefined,1,Top,2,2,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.32002,-2.694841,4.169534,2089.402589,158.27655,11:15:00,6.21777,-2.60565,5.82786,-24.59088,13.7078,-5.01985,1.65491,0.85887,79.03827,-7.242991,3.272949,0.445413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59606,8.0243,2.26757,50,5.98235,-8.81219,-123.62837,-6.6138,5.62886,22.01861,-19.61376,ASH_COP,MAC_BAC,Macon,CPL,CPL,20250712-Macon-1,303e95c0-5f6c-11f0-a40d-a90faf527cd1,84.62349,NA,NA,6.28175,NA,NA,NA,NA,NA,NA,80dacaad-8dbf-411f-ab0e-ed1d5ac4e8a4,2025-07-12,22:04:31,2025-07-12T22:04:31Z,2025-07-12T22:04:31Z,NA,v3,NA,NA,NA,"McKenzie, Cooper",824550,Right,ASH_COP,91a74d7e-3196-4bd3-b18f-f3b49ddc8275,54.67146,-124.45759,11.0093,6.21751,-5.87514,-9.80688,2.60343,-9.02417,2.81443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
