player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-14,17:04:57,1,1,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Calvillo, Cameron",824276,Right,WAL_CRE,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,74.58692,0.444569,-2.629295,2164.801744,100.717364,09:15:00,5.17402,1.9056,5.9887,-46.37593,3.77784,-11.75623,1.72182,-1.5126,68.67044,-8.10017,-4.73975,0.50971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29107,2.30165,-1.69176,50,5.18367,5.38124,-108.28194,-0.50579,6.26668,19.3363,-29.44797,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,581af210-610f-11f0-9f6e-e3fe9c829357,73.94879,NA,NA,5.91648,NA,NA,NA,NA,NA,NA,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:04:57,2025-07-15T00:04:57Z,2025-07-15T00:04:57Z,NA,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,28affbae-3f0f-4599-bacd-30d63b4ca256,54.51016,-109.08436,9.66815,5.1793,0.71625,-14.72399,-1.90967,5.12118,3.13334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-14,17:05:12,1,2,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Calvillo, Cameron",824276,Right,WAL_CRE,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,84.86336,-0.372411,-3.458275,1829.462839,231.260936,01:45:00,5.43366,1.8984,6.05969,-23.42903,15.63997,17.75918,3.13592,0.17363,76.60206,-4.822283,-0.267172,0.449871,69.86332,36.719225,23.669858,4735.225404,96.54579,51.90153,52.71497,211.70341,177.22306,31.206777,3.673674,-10.238,8.57237,-1.63911,50,5.39227,6.72789,-122.99393,-1.47372,-15.48454,27.27132,-19.20868,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,6107cbf0-610f-11f0-9f6e-e3fe9c829357,83.78506,52.02287,NA,8.2613,NA,NA,NA,0.72818,3.00079,-0.03867,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:05:12,2025-07-15T00:05:12Z,2025-07-15T00:05:12Z,FlyBall,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,7cd622a1-b93e-4d61-a368-5deba088bc3e,54.43787,-123.97403,13.63566,5.43282,-0.78338,-9.60434,-1.89091,7.28439,-7.74227,NA,0.71945,75.55335,-16.42114,9.5527,-8.33301,5.3375,-1.99566,0.38588,-0.0296,2.99505,61.43148,-22.87813,4.12036,-2.409,1.20567,-0.35074,0.0526,-0.00317,-0.03867,32.92756,1.76205,-3.26821,3.15573,-2.15817,0.85999,-0.17537,0.01405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-14,17:05:45,2,1,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Esquivel, Chris",813657,Right,WAL_CRE,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.14073,-0.742619,-4.659805,1984.017547,236.298199,02:00:00,5.58992,1.66998,6.04789,-23.71718,15.7945,21.27478,2.92369,-0.8805,75.71297,-5.277695,-0.845269,0.452412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.41824,8.81087,-1.31695,50,5.5194,9.12479,-122.98746,-2.26912,-18.51793,30.39687,-19.03538,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,74f56b90-610f-11f0-9f6e-e3fe9c829357,83.31442,NA,NA,9.42776,NA,NA,NA,NA,NA,NA,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:05:45,2025-07-15T00:05:45Z,2025-07-15T00:05:45Z,NA,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,ce2375d8-65d0-4078-9d36-53c73974de4b,54.44517,-124.08124,15.19844,5.58873,-1.58417,-9.51769,-1.65728,9.79113,-9.25896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-14,17:05:56,2,2,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Esquivel, Chris",813657,Right,WAL_CRE,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.42744,0.754898,-0.532589,2041.31448,160.47695,11:15:00,5.26487,1.99551,5.86686,-39.55388,10.45422,-3.05221,2.67002,1.24642,67.96996,-6.637489,-1.080349,0.508969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40957,5.55339,-1.95049,50,5.30308,1.12297,-109.404,0.31681,1.67274,23.06122,-25.58391,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,7ba833f0-610f-11f0-9f6e-e3fe9c829357,74.05641,NA,NA,7.45748,NA,NA,NA,NA,NA,NA,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:05:56,2025-07-15T00:05:56Z,2025-07-15T00:05:56Z,NA,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,ca11d836-0c38-4b97-82b0-d5b071090e22,54.63157,-110.37597,11.53061,5.26701,1.3951,-12.79195,-1.99633,1.05247,0.83637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-14,17:06:11,2,3,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Esquivel, Chris",813657,Right,WAL_CRE,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.53998,0.11239,-4.726145,1976.177456,236.425175,02:00:00,5.523,1.86992,6.18008,-27.4449,11.6541,15.55103,3.34007,-1.20843,76.67305,-5.05384,-1.932906,0.450043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.35827,6.39465,-1.51944,50,5.5177,9.4972,-122.39509,-0.57405,-14.10674,25.57431,-22.53472,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,843fc1e0-610f-11f0-9f6e-e3fe9c829357,83.75293,NA,NA,7.86692,NA,NA,NA,NA,NA,NA,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:06:11,2025-07-15T00:06:11Z,2025-07-15T00:06:11Z,NA,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,8f7d347d-6168-4072-9a9d-119b39de5c17,54.3163,-123.29368,12.78715,5.52396,0.21774,-11.26736,-1.86185,9.99285,-7.05337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-14,17:06:25,2,4,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Esquivel, Chris",813657,Right,WAL_CRE,Undefined,1,Top,1,2,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,84.25946,-1.31853,-4.422957,2041.545996,233.519445,01:45:00,5.40849,1.82982,6.10456,-25.75553,13.79339,16.77725,2.03901,-0.87042,76.38491,-6.173843,-1.41011,0.452625,68.46491,-40.629709,-32.930074,NA,NA,NA,NA,3.84209,2.48483,-6.27853,0.032357,-10.02056,7.92359,-1.49809,50,5.29341,8.78406,-121.99778,-3.5696,-14.95986,26.11058,-20.3448,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,8cdad240-610f-11f0-9f6e-e3fe9c829357,83.27516,2.12265,NA,7.87455,NA,NA,NA,1.74258,2.12265,0.92469,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:06:25,2025-07-15T00:06:25Z,2025-07-15T00:06:25Z,GroundBall,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,8e827fa0-ba4f-4ee7-9cc8-4bae0612647d,54.39357,-122.93451,13.05529,5.40838,-2.83971,-10.1724,-1.82285,9.32075,-7.47993,NA,1.74149,64.17276,NA,NA,NA,NA,NA,NA,NA,2.12376,-65.60012,NA,NA,NA,NA,NA,NA,NA,0.92539,-41.56301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-14,17:07:04,3,1,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Donnelly, Joey",800885,Left,WAL_CRE,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.84608,1.502954,-1.94906,1275.497047,279.5114,03:15:00,5.15403,2.15378,5.75444,-47.22172,-1.09902,16.90521,2.61908,1.74751,70.85757,-7.227677,1.078606,0.488797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.17079,-0.4861,-2.00206,50,5.25078,3.21428,-114.22451,1.4512,-11.85324,25.29629,-32.80233,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,a3cadc70-610f-11f0-9f6e-e3fe9c829357,77.11262,NA,NA,7.98851,NA,NA,NA,NA,NA,NA,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:07:04,2025-07-15T00:07:04Z,2025-07-15T00:07:04Z,NA,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,f0cda229-911e-4a48-beaf-b99bd80e52c5,54.74177,-115.26984,12.64815,5.16281,2.80671,-16.40117,-2.14501,3.7041,-5.92662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-14,17:07:17,3,2,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Donnelly, Joey",800885,Left,WAL_CRE,Undefined,1,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.75114,0.305411,-4.41086,1281.375976,281.710554,03:30:00,5.16012,2.03176,5.97001,-48.26873,-1.38453,14.77843,1.42172,-0.83417,70.51267,-8.601112,-1.760219,0.492816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.03973,-0.36095,-1.6902,50,5.15756,8.14547,-112.56786,-0.88323,-11.42367,23.31694,-32.63018,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,abfa59c0-610f-11f0-9f6e-e3fe9c829357,76.48384,NA,NA,7.23847,NA,NA,NA,NA,NA,NA,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:07:17,2025-07-15T00:07:17Z,2025-07-15T00:07:17Z,NA,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,76098e44-6261-4910-bb6c-2a90883e82b4,54.52945,-113.5022,11.65847,5.16675,0.4243,-16.31509,-2.02577,8.60323,-5.71183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-14,17:07:32,3,3,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Donnelly, Joey",800885,Left,WAL_CRE,Undefined,1,Top,2,2,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,86.05041,-1.686436,-3.477838,2031.338958,237.477906,02:00:00,5.3547,1.88938,6.09514,-24.53769,13.580870000000001,19.08521,1.74673,0.2591,77.5479,-6.328435,-0.043965,0.444365,100.53148,4.045487,3.823791,942.924034,NA,NA,NA,73.48483,73.41295,3.55554,0.531404,-10.98375,7.95926,-1.63123,50,5.21179,6.80888,-124.63197,-4.40365,-16.98789,28.94841,-19.86393,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,b4d88da0-610f-11f0-9f6e-e3fe9c829357,84.82317,2.67692,NA,8.5025,NA,NA,NA,0.74888,1.66934,-0.25134,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:07:32,2025-07-15T00:07:32Z,2025-07-15T00:07:32Z,GroundBall,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,0cedbd8a-587e-48f6-b015-278eea02f08b,54.40234,-125.65034,14.47421,5.35442,-3.70486,-9.93197,-1.88127,7.4065,-8.49395,1.001803,0.76425,146.36301,-18.46118,NA,NA,NA,NA,NA,NA,1.69512,9.74847,-24.43317,NA,NA,NA,NA,NA,NA,-0.25003,9.77532,-1.37611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-14,17:08:06,4,1,"Anderson, Matthew",1000207833,Right,MEN_PAR,"Mettam, Jared",703664,Right,WAL_CRE,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.39868,0.706716,-4.241519,2002.642127,234.644608,01:45:00,5.51811,1.94561,5.965,-24.20033,16.47454,20.75407,4.15852,-0.26483,74.26094,-3.945733,-0.524758,0.459023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.08579,8.6176,-1.61948,50,5.56119,8.14947,-121.83301,0.8316,-17.5149,31.91277,-19.68532,MEN_PAR,WAL_CRE,CollegeofSanMateo,Cali Collegiate,CCL,20250714-CollegeofSanMateo-1,c8c67b60-610f-11f0-9f6e-e3fe9c829357,82.11447,NA,NA,10.13774,NA,NA,NA,NA,NA,NA,9c5f4ac7-25b8-44c6-b630-9a9f8e42df3e,2025-07-15,00:08:06,2025-07-15T00:08:06Z,2025-07-15T00:08:06Z,NA,v3,NA,NA,NA,"Robbins, Will",1000381897,Right,MEN_PAR,3dc6ec26-8ba7-468e-99a9-f89470b4fae5,54.52609,-123.01285,15.95638,5.51699,1.55938,-9.84266,-1.93275,8.79701,-8.75745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
