player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-18,20:34:04,1,1,"Miller, Charlie",823529,Right,BOO_BIG,"Reyes, Jeremy",1000072070,Left,ASH_COP,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.94584,-0.04105,-1.227538,2056.72466,251.584302,02:30:00,6.08477,1.24665,5.4091,-31.32234,5.83803,14.4528,3.4361,1.30074,80.52581,-5.77086,1.344649,0.438744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.55847,3.27823,-1.14772,50,6.05916,2.08075,-126.40376,-1.24077,-12.38488,22.69053,-26.80252,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,12e4b510-6438-11f0-af83-b5ea18d5cc9f,85.90983,NA,NA,6.42003,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:34:04,2025-07-19T00:34:04Z,2025-07-19T00:34:04Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,818a266d-d4c7-4634-8f3e-fce0ad34f498,55.09301,-127.31472,11.34527,6.08737,-0.16473,-13.40126,-1.24124,2.57797,-6.19244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-18,20:34:17,1,2,"Miller, Charlie",823529,Right,BOO_BIG,"Reyes, Jeremy",1000072070,Left,ASH_COP,Undefined,1,Top,0,1,0,Undefined,Sinker,InPlay,Undefined,GroundBall,Error,0,0,NA,87.98703,-1.249045,-2.303206,2075.335358,250.661484,02:15:00,6.0395200000000004,1.34654,5.26125,-30.14261,6.59878,15.69292,2.353,0.48922,81.12527,-6.752508,0.481667,0.436264,90.37534,-15.514352,-17.516821,NA,NA,NA,NA,8.01555,7.98433,-20.564905,0.060778,-8.473,3.95138,-1.14765,50,5.90272,4.44176,-127.72485,-3.92022,-14.09421,24.59195,-25.60125,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,1ac5c440-6438-11f0-af83-b5ea18d5cc9f,86.39828,2.15865,NA,6.86176,NA,NA,NA,0.0891,2.15865,-0.47507,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:34:17,2025-07-19T00:34:17Z,2025-07-19T00:34:17Z,GroundBall,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,9cc7fb75-9444-461b-a2f9-45a46f0ac377,55.24096,-128.72998,12.29597,6.04157,-2.87384,-12.80062,-1.34097,5.01782,-7.0471,180,0.08701,122.01164,NA,NA,NA,NA,NA,NA,NA,2.15925,-35.51669,NA,NA,NA,NA,NA,NA,NA,-0.47441,-38.50951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-18,20:35:01,2,1,"Miller, Charlie",823529,Right,BOO_BIG,"Albin, Ryan",1000201965,Left,ASH_COP,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.27242,-1.705754,-1.691994,2082.867512,250.810594,02:15:00,6.07563,1.37775,5.27086,-30.81872,6.44233,15.39698,1.90394,1.071,80.71333,-7.31975,1.042867,0.439338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1465,3.99319,-1.23482,50,5.89688,3.06557,-126.72817,-4.92797,-13.36421,23.77481,-25.62329,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,3531aec0-6438-11f0-af83-b5ea18d5cc9f,85.79369,NA,NA,6.55909,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:35:01,2025-07-19T00:35:01Z,2025-07-19T00:35:01Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,cb19acf1-f439-4e0f-8529-dd50d0113a27,55.23123,-127.7058,11.88741,6.07786,-3.87433,-12.81164,-1.37218,3.61511,-6.6821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-18,20:35:32,2,2,"Miller, Charlie",823529,Right,BOO_BIG,"Albin, Ryan",1000201965,Left,ASH_COP,Undefined,1,Top,0,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.78014,-2.876311,-1.659248,2115.683323,243.197906,02:00:00,6.10676,1.3487,5.21351,-28.04332,8.95146,15.55265,1.06167,1.08404,81.19462,-7.980438,1.100918,0.437766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.24079,5.53851,-1.20764,50,5.81956,3.00427,-127.34802,-7.4455,-13.64021,24.21299,-23.00666,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,47a97740-6438-11f0-af83-b5ea18d5cc9f,86.10189,NA,NA,6.58552,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:35:32,2025-07-19T00:35:32Z,2025-07-19T00:35:32Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,64702081-92db-47c4-a5b1-fc3e78821a61,55.2889,-128.34967,12.10649,6.10788,-6.49375,-11.50333,-1.3436,3.56854,-6.82011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-18,20:35:51,2,3,"Miller, Charlie",823529,Right,BOO_BIG,"Albin, Ryan",1000201965,Left,ASH_COP,Undefined,1,Top,0,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.59542,-0.82428,-3.602569,2070.201335,259.239727,02:45:00,6.05901,1.31994,5.40451,-33.25793,3.45933,12.832090000000001,2.51357,-0.99085,81.22563,-6.880321,-1.323572,0.436121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.31918,2.26142,-1.00786,50,5.96199,7.44583,-127.13212,-3.07764,-12.14226,22.73122,-28.42242,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,52f8ab20-6438-11f0-af83-b5ea18d5cc9f,86.42666,NA,NA,6.36979,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:35:51,2025-07-19T00:35:51Z,2025-07-19T00:35:51Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,ca02e987-2952-4f4a-8cd9-e09f0db78420,55.09808,-128.04041,11.36561,6.06227,-1.94194,-14.21121,-1.31508,7.93101,-6.07113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-18,20:36:11,2,4,"Miller, Charlie",823529,Right,BOO_BIG,"Albin, Ryan",1000201965,Left,ASH_COP,Undefined,1,Top,0,2,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.37692,-1.702722,-4.837707,2069.127999,246.847121,02:15:00,6.1401,1.36595,5.4205,-31.24502,5.72992,11.00186,1.93517,-2.25969,81.15331,-7.387867,-2.888547,0.437648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67044,3.6176,-0.94319,50,5.96646,10.23619,-126.57646,-4.92748,-10.987,22.14035,-26.21542,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,5eae41f0-6438-11f0-af83-b5ea18d5cc9f,86.12497,NA,NA,6.22361,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:36:11,2025-07-19T00:36:11Z,2025-07-19T00:36:11Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,783c92ad-0fee-4744-a82b-962124ea2d64,55.08158,-127.46222,11.07018,6.14261,-3.8787,-13.10771,-1.3615,10.67574,-5.4935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-18,20:36:39,2,5,"Miller, Charlie",823529,Right,BOO_BIG,"Albin, Ryan",1000201965,Left,ASH_COP,Undefined,1,Top,0,3,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,2,0,NA,86.9631,-1.866391,-2.704291,2043.353337,244.684679,02:15:00,6.02918,1.41644,5.34399,-29.43348,8.10343,14.75835,1.82301,0.10759,80.2328,-7.248801,-0.082194,0.440962,74.28632,-29.475293,47.655958,NA,NA,NA,NA,4.96629,3.84018,28.607027,0.035858,-8.16248,4.8787,-1.18368,50,5.83957,5.32699,-126.18064,-5.18568,-13.24943,24.03627,-24.25487,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,6fc960a0-6438-11f0-af83-b5ea18d5cc9f,85.47784,1.92712,NA,6.7303,NA,NA,NA,2.06338,1.92712,-0.14223,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:36:39,2025-07-19T00:36:39Z,2025-07-19T00:36:39Z,GroundBall,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,402dd586-e50d-403f-b2f4-f2765438c6b2,55.15855,-127.1595,12.01813,6.03064,-4.19791,-12.12743,-1.4116,5.86656,-6.62471,NA,2.06247,64.04804,NA,NA,NA,NA,NA,NA,NA,1.92789,-53.7429,NA,NA,NA,NA,NA,NA,NA,-0.14323,70.27928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-18,20:37:25,3,1,"Miller, Charlie",823529,Right,BOO_BIG,"Diaz, Yariel",1000051508,Right,ASH_COP,Undefined,1,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.0525,3.454448,-0.061417,2305.877355,68.360192,08:15:00,6.09118,1.41847,4.8109,-53.60617,-4.50914,-15.17694,4.90064,0.09554,70.50072,-6.216989,-2.729048,0.504312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38965,-2.65205,-1.39864,50,6.38867,0.7594,-111.63914,4.7712,9.33278,19.96186,-35.52345,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,8aefc180-6438-11f0-af83-b5ea18d5cc9f,74.74037,NA,NA,6.55178,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:37:25,2025-07-19T00:37:25Z,2025-07-19T00:37:25Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,f39b9195-f62b-428c-80d2-ddfe7c163928,55.69123,-112.65218,9.98093,6.10079,6.57396,-17.76173,-1.42516,0.28577,4.66639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-18,20:37:40,3,2,"Miller, Charlie",823529,Right,BOO_BIG,"Diaz, Yariel",1000051508,Right,ASH_COP,Undefined,1,Top,2,1,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.07943,1.65113,-0.966905,2472.167557,63.295944,08:00:00,6.08547,1.24213,4.61772,-54.46487,-5.18174,-13.2832,3.1172,-0.78417,70.94694,-8.108383,-3.296629,0.505267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21512,-2.52177,-1.12977,50,6.20481,2.44812,-111.79911,1.18275,7.87318,19.98814,-35.36858,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,93ff3e90-6438-11f0-af83-b5ea18d5cc9f,74.59911,NA,NA,6.13249,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:37:40,2025-07-19T00:37:40Z,2025-07-19T00:37:40Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,ec6b244d-5376-48cd-9322-3c5e12ca80d4,55.88504,-112.84637,9.99407,6.09429,3.03585,-17.68429,-1.24723,2.03561,3.93659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-18,20:37:53,3,3,"Miller, Charlie",823529,Right,BOO_BIG,"Diaz, Yariel",1000051508,Right,ASH_COP,Undefined,1,Top,2,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.4122,-1.724186,-0.342095,2114.915058,238.500802,02:00:00,6.12011,1.16306,5.34249,-25.57186,10.53371,15.52438,2.37114,2.13584,81.88186,-6.41012,2.418239,0.432473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.03902,6.02221,-1.14426,50,5.94623,0.11242,-128.50529,-4.79476,-13.57564,24.16269,-22.00425,BOO_BIG,ASH_COP,JimBettieSmith,CPL,CPL,20250718-JimBettieSmith-1,9bf2c450-6438-11f0-af83-b5ea18d5cc9f,87.15567,NA,NA,6.53034,NA,NA,NA,NA,NA,NA,d9316a2e-202a-4285-aae8-61fe6a65636b,2025-07-19,00:37:53,2025-07-19T00:37:53Z,2025-07-19T00:37:53Z,NA,v3,NA,NA,NA,"Weinstein, Sam",1000285175,Right,BOO_BIG,70226871-50b4-4ecc-87c6-70a254a49bbf,55.16181,-129.47222,12.08135,6.12049,-3.9142,-11.00213,-1.15963,0.65569,-6.78782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
