player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-18,18:36:28,1,1,"Brooks, Easton",823501,Right,WEN_APP,"Goldenetz, Trevor",1000137884,Right,NAN_NIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.55323,-2.838336,-1.413449,1849.923442,203.765892,12:45:00,5.98545,2.06984,6.2551,-17.00993,16.50599,6.71359,1.94753,1.32557,82.35133,-6.108991,-0.200142,0.416675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95331,9.87371,-1.96803,50,5.76613,2.9918,-132.66667,-7.0477,-6.91005,33.47932,-14.91569,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,cb15bf50-6440-11f0-a8c1-757f22c3d5e9,90.46013,NA,NA,9.2019,NA,NA,NA,NA,NA,NA,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:36:28,2025-07-19T01:36:28Z,2025-07-19T01:36:28Z,NA,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,ae19ddde-48ee-441d-ad76-1334211e655a,54.24363,-133.73329,16.73966,5.98309,-6.5725,-7.45784,-2.06685,3.21195,-3.45503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-18,18:36:46,1,2,"Brooks, Easton",823501,Right,WEN_APP,"Goldenetz, Trevor",1000137884,Right,NAN_NIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.36153,-2.620339,-1.683209,2210.655865,210.115517,01:00:00,5.97223,2.1184,6.27608,-16.85013,16.24465,8.66701,2.14984,1.28858,82.56748,-5.87521,-0.116514,0.414048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.0774,9.71634,-1.99796,50,5.77024,3.56029,-133.76778,-6.58448,-8.96762,35.64794,-15.01325,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,d5abb550-6440-11f0-a8c1-757f22c3d5e9,91.0339,NA,NA,9.79405,NA,NA,NA,NA,NA,NA,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:36:46,2025-07-19T01:36:46Z,2025-07-19T01:36:46Z,NA,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,5a38365d-5429-4a80-9d94-1e5ca76c25db,54.22154,-134.88809,17.82397,5.96976,-6.11265,-7.50663,-2.11428,3.84212,-4.48381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-18,18:37:03,1,3,"Brooks, Easton",823501,Right,WEN_APP,"Goldenetz, Trevor",1000137884,Right,NAN_NIG,Undefined,1,Top,0,1,1,Slider,NA,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.76746,0.535091,-0.504395,2106.842901,NA,NA,6.07813,2.4151,5.7786,NA,NA,NA,2.51972,1.13477,68.88742,-8.467939,-2.249986,0.502996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73709,0.49799,-2.36769,50,6.09371,1.35232,-111.21998,-0.49358,5.76752,25.14739,-31.56775,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,df655510-6440-11f0-a8c1-757f22c3d5e9,74.93591,NA,NA,7.88004,NA,NA,NA,NA,NA,NA,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:37:03,2025-07-19T01:37:03Z,2025-07-19T01:37:03Z,NA,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,1f6f1d85-39ac-4035-8652-f562ec5eb8e4,54.71901,-112.2819,12.57369,6.08641,0.83946,-15.78388,-2.41966,1.10877,2.88376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-18,18:37:23,1,4,"Brooks, Easton",823501,Right,WEN_APP,"Goldenetz, Trevor",1000137884,Right,NAN_NIG,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,FlyBall,Single,0,0,NA,75.1745,1.691782,-0.5133,2057.053448,74.620817,08:30:00,6.05564,2.05753,5.74009,-54.37015,-2.8815,-18.22336,3.10067,0.06094,66.89277,-8.368469,-3.777197,0.516449,68.91099,37.762427,34.432812,3430.203258,87.81268,58.82386,66.24892,245.16819,227.05596,40.441555,4.029462,9.10402,-1.58394,-2.00327,50,6.16354,1.64772,-108.82059,1.53543,10.49908,25.89346,-34.00069,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,ebbef410-6440-11f0-a8c1-757f22c3d5e9,72.98391,60.34714,NA,8.28173,NA,NA,NA,3.43781,3.36916,-0.23055,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:37:23,2025-07-19T01:37:23Z,2025-07-19T01:37:23Z,FlyBall,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,154ff35b-9001-4144-92f0-c03e9354db9e,54.75976,-109.94732,12.94673,6.06454,3.01494,-17.00035,-2.06503,1.19086,5.24954,209.13809,3.43927,65.86006,-12.02144,2.99777,-0.25949,-0.13005,0.05509,-0.00838,4.6e-4,3.36838,61.91103,-18.45216,1.05772,-0.06202,-0.06737,0.03815,-0.00806,5.9e-4,-0.23013,45.16724,-3.19841,0.74979,-0.04628,-0.04143,0.01576,-0.0023,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-18,18:38:02,2,1,"Brooks, Easton",823501,Right,WEN_APP,"Fabian, Raoul",804531,Right,NAN_NIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.13391,-2.514111,-2.630888,2069.009731,201.729568,12:45:00,6.11197,1.81029,6.31323,-15.57158,17.68698,6.52473,2.49447,-0.0712,82.27831,-5.544651,-1.452129,0.415072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.295,10.42847,-1.62032,50,5.92,5.84762,-133.35415,-6.25734,-7.5386,35.43594,-13.86994,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,02b00fb0-6441-11f0-a8c1-757f22c3d5e9,90.80943,NA,NA,9.85561,NA,NA,NA,NA,NA,NA,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:38:02,2025-07-19T01:38:02Z,2025-07-19T01:38:02Z,NA,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,212a139e-66af-4036-83d4-7efcb2df673d,54.18347,-134.46122,17.71797,6.10871,-5.82402,-6.93497,-1.80668,6.08314,-3.7693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-18,18:38:19,2,2,"Brooks, Easton",823501,Right,WEN_APP,"Fabian, Raoul",804531,Right,NAN_NIG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,91.45278,-2.699501,-3.164228,2245.230372,207.742539,01:00:00,5.97697,1.89095,6.81387,-17.43249,15.58044,7.53044,2.05555,-0.3716,82.06428,-6.083421,-1.791452,0.413536,81.32754,-0.401109,25.382484,2794.413716,NA,NA,NA,42.41234,36.82835,25.932593,0.356502,-5.0715,9.54323,-1.68902,50,5.79572,7.0317,-132.4865,-6.6816,-8.81359,34.17329,-15.5892,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,0ce6ceb0-6441-11f0-a8c1-757f22c3d5e9,91.14666,2.08167,NA,9.3885,NA,NA,NA,1.7407,2.08167,0.39268,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:38:19,2025-07-19T01:38:19Z,2025-07-19T01:38:19Z,GroundBall,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,8bc3fc51-db08-4aae-93fb-9b0f3a72ca47,53.68484,-133.43357,17.08664,5.97491,-6.24956,-7.7946,-1.88728,7.27596,-4.40679,NA,1.7461,107.5612,-15.38422,NA,NA,NA,NA,NA,NA,2.08343,-0.90069,-13.88087,NA,NA,NA,NA,NA,NA,0.39183,51.16137,-0.65043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-18,18:39:01,3,1,"Brooks, Easton",823501,Right,WEN_APP,"Zenk, Talan",1000419143,Left,NAN_NIG,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.16,-1.075927,-3.545969,1826.469974,227.778541,01:30:00,6.03021,1.83225,7.05992,-25.80419,11.20359,10.72859,2.90077,-0.49806,76.91802,-6.050123,-1.58142,0.437842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.94363,6.80441,-1.62073,50,5.95712,7.34255,-124.85498,-2.98835,-10.65627,31.64297,-21.73143,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,2654f840-6441-11f0-a8c1-757f22c3d5e9,86.08676,NA,NA,9.24198,NA,NA,NA,NA,NA,NA,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:39:01,2025-07-19T01:39:01Z,2025-07-19T01:39:01Z,NA,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,87df5f5d-3891-46b6-8afd-557d9d46983d,53.43636,-125.72287,15.82148,6.03091,-2.39232,-10.86571,-1.82613,7.63482,-5.32813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-18,18:39:24,3,2,"Brooks, Easton",823501,Right,WEN_APP,"Zenk, Talan",1000419143,Left,NAN_NIG,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.44154,0.246273,-0.960885,2183.41806,101.310652,09:30:00,6.10828,1.81908,5.86306,-38.70786,3.86579,-10.46205,3.11146,0.05447,73.1714,-6.980292,-2.83845,0.469615,70.12559,42.077954,67.740294,5011.890916,29.99154,68.21189,105.83238,206.01692,78.41021,79.598956,4.324024,4.93394,2.41193,-1.73521,50,6.10643,2.43041,-119.32668,-0.74707,6.85526,30.73084,-28.82289,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,3380b450-6441-11f0-a8c1-757f22c3d5e9,80.26248,69.53934,NA,9.27014,NA,NA,NA,0.26091,3.07286,0.06067,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:39:24,2025-07-19T01:39:24Z,2025-07-19T01:39:24Z,FlyBall,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,63b8539b-2fc8-4465-a4cf-9d34bb521347,54.6326,-120.51383,15.36542,6.11379,0.36637,-14.41145,-1.82398,2.16559,3.42763,NA,0.2618,28.89928,-9.82924,2.51759,-0.55525,0.06648,-0.01262,0.00469,-5.2e-4,3.07107,68.97699,-21.04173,2.62619,-1.09109,0.49382,-0.14227,0.02111,-0.00124,0.05478,70.79889,-7.39119,1.84357,-1.27748,0.6182,-0.17449,0.02518,-0.00142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-18,18:39:51,3,3,"Brooks, Easton",823501,Right,WEN_APP,"Zenk, Talan",1000419143,Left,NAN_NIG,Undefined,1,Top,0,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,75.502440000000007,2.005919,-1.039243,2027.746178,44.31198,07:30:00,6.06387,1.63752,5.53773,-57.78539,-7.21197,-8.8263,3.12445,-0.0695,68.28229,-8.57068,-2.614156,0.511838,62.14093,49.140824,51.463863,4684.512182,55.71148,63.36078,94.84837,183.64987,114.29623,60.730214,3.987535,4.09902,-3.76729,-1.54132,50,6.19978,2.32067,-109.42049,1.94496,4.87197,22.84251,-36.65175,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,43ac9100-6441-11f0-a8c1-757f22c3d5e9,73.64134,64.47696,NA,7.22015,NA,NA,NA,0.68194,2.96138,0.24988,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:39:51,2025-07-19T01:39:51Z,2025-07-19T01:39:51Z,Popup,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,37ff1c2e-5ef2-4b06-959b-364caf6ab9e8,54.96389,-110.45189,11.42126,6.0746,3.59988,-18.32587,-1.64114,2.10069,2.43598,NA,0.6962,36.64539,-5.99286,-4.90259,8.32536,-5.43951,1.81279,-0.30012,0.01958,2.97617,68.54038,-20.25646,-1.81288,3.42849,-1.88799,0.52848,-0.07435,0.00414,0.25732,46.49196,-0.31942,-1.03955,-0.00722,0.49804,-0.28562,0.06291,-0.00493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-18,18:40:36,3,4,"Brooks, Easton",823501,Right,WEN_APP,"Zenk, Talan",1000419143,Left,NAN_NIG,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,92.98552,-2.891127,-3.731844,2096.083226,220.01084,01:15:00,6.03196,1.62116,6.47845,-18.00702,14.35032,11.01071,1.86858,-0.89305,83.49779,-6.351058,-1.738713,0.409409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.00843,8.83477,-1.36269,50,5.81994,8.3182,-134.54301,-7.30825,-12.58416,34.74923,-16.31055,WEN_APP,NAN_NIG,PaulThomasSr,WCL,WCL,20250718-PaulThomasSr-1,5eb2e6c0-6441-11f0-a8c1-757f22c3d5e9,92.06543,NA,NA,9.4877300000000009,NA,NA,NA,NA,NA,NA,2c5467c9-485c-4db5-82b8-509bb387e76c,2025-07-19,01:40:36,2025-07-19T01:40:36Z,2025-07-19T01:40:36Z,NA,v3,NA,NA,NA,"Quero, Pedro",10307897,Right,WEN_APP,6b8a747e-b9ce-402d-a8b7-84f87e7634e7,54.02043,-135.57741,17.37461,6.03026,-6.82273,-8.15528,-1.61588,8.6928,-6.29208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
