player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-22,19:07:03,1,1,"Wallace, William",1000223433,Right,MAR_VIN,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.0892,-1.273853,-1.819767,2209.442278,215.657652,01:15:00,6.15178,2.92325,6.38455,-16.46336,19.148,12.68453,3.60722,2.30571,79.00327,-4.508215,0.477098,0.429503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.32622,10.88103,-2.7979,50,6.05252,3.5924,-129.08988,-3.26726,-11.9514,35.19052,-14.42368,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,94cca6d0-6750-11f0-9292-d321a7854a18,87.75836,NA,NA,10.08592,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:07:03,2025-07-22T23:07:03Z,2025-07-22T23:07:03Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,ed35d796-103c-45eb-a5c8-fc0c25c9a3c7,54.11288,-130.20624,17.59526,6.14891,-2.80969,-7.21184,-2.91787,3.97154,-5.9757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-22,19:07:23,1,2,"Wallace, William",1000223433,Right,MAR_VIN,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,88.9055,-1.828355,-2.438615,2325.337154,198.772224,12:45:00,6.18595,2.79891,6.45398,-14.62898,20.43552,6.51929,3.28506,1.10047,80.26727,-4.690106,-1.257655,0.426192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.13882,11.57705,-2.62873,50,6.04935,5.22522,-128.92655,-4.44171,-6.87745,29.99375,-12.93648,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,a0a81520-6750-11f0-9292-d321a7854a18,88.44007,NA,NA,8.63823,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:07:23,2025-07-22T23:07:23Z,2025-07-22T23:07:23Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,1d0fec15-ea97-4ffb-b90e-494c1409545f,54.04261,-129.86362,14.99687,6.1818,-4.03754,-6.46824,-2.79533,5.44009,-3.43873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-22,19:07:39,1,3,"Wallace, William",1000223433,Right,MAR_VIN,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,89.73814,-1.579462,-3.729535,2355.912179,209.611874,01:00:00,6.22421,2.60884,6.51601,-13.55694,21.03946,11.21599,3.64168,0.11637,80.46209,-4.263543,-1.699139,0.423338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.02374,11.84383,-2.35252,50,6.10732,8.00426,-129.93677,-3.85867,-11.78682,31.90497,-12.2985,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,aa3b6830-6750-11f0-9292-d321a7854a18,89.03635,NA,NA,9.27606,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:07:39,2025-07-22T23:07:39Z,2025-07-22T23:07:39Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,a29f6690-c1a4-492a-9d47-255202828a59,53.97952,-130.91026,15.95249,6.21933,-3.48342,-6.14925,-2.60223,8.36391,-5.89341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-22,19:07:56,1,4,"Wallace, William",1000223433,Right,MAR_VIN,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.49931,-1.783331,-3.577443,2395.503899,206.156519,12:45:00,6.20017,2.59063,6.2431,-14.31221,19.9584,9.18276,3.35882,0.05179,81.42165,-4.57891,-1.92338,0.42134,73.38775,38.01246,148.312867,4629.423326,NA,NA,NA,NA,40.57303,NA,NA,-5.8867,11.25902,-2.32817,50,6.05985,7.80525,-131.04334,-4.42916,-10.07723,31.70542,-12.90008,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,b4b1c840-6750-11f0-9292-d321a7854a18,89.45857,28.80812,NA,9.07766,NA,NA,NA,-0.48201,3.03452,0.30679,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:07:56,2025-07-22T23:07:56Z,2025-07-22T23:07:56Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,4103e94e-3c40-4934-9a3d-a3e52c648bcd,54.25417,-132.06861,15.85271,6.19633,-4.012,-6.45004,-2.58584,8.13112,-5.03862,NA,-0.48201,-72.16158,6.02384,0.44408,-0.45713,0.19125,-0.0619,0.02019,-0.00466,3.03452,66.28529,-32.30459,4.84324,-1.00955,0.18098,-0.03018,0.0026,7.2e-4,0.30679,44.54552,-13.01764,4.69836,-1.34343,0.3427,-0.08444,0.01832,-0.00233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-22,19:08:14,1,5,"Wallace, William",1000223433,Right,MAR_VIN,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,1,2,Splitter,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,83.29758,-2.145963,-3.404598,1089.434329,275.493351,03:15:00,6.20926,2.45978,6.17237,-40.03675,0.65205,8.81319,0.88638,0.04596,75.46396,-9.551936,-1.813767,0.459102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.71914,1.47925,-2.20623,50,6.02638,6.84053,-120.61862,-5.79524,-8.25787,27.81531,-30.03813,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,bf410780-6750-11f0-9292-d321a7854a18,82.10039,NA,NA,7.83362,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:08:14,2025-07-22T23:08:14Z,2025-07-22T23:08:14Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,699230f3-8c90-483f-b8e9-fd551e5ec923,54.3274,-121.61245,13.90765,6.21427,-4.72199,-15.01907,-2.45591,7.13557,-4.12893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-22,19:08:45,2,1,"Wallace, William",1000223433,Right,MAR_VIN,"De Goti, Brandon",813915,Right,OCE_STA6,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.45554,-0.955324,-2.853153,2326.668875,165.16724,11:30:00,6.29959,2.76208,6.22176,-25.82139,12.61111,-2.97146,3.2651,-0.12048,77.12312,-5.835238,-3.388661,0.446191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59583,7.25552,-2.5471,50,6.21532,6.29095,-123.83359,-2.82135,0.91008,28.50337,-21.09203,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,d1bfadd0-6750-11f0-9292-d321a7854a18,84.47605,NA,NA,8.33242,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:08:45,2025-07-22T23:08:45Z,2025-07-22T23:08:45Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,1d20bfc9-b5ee-451d-9300-77124085f9d1,54.27438,-124.81356,14.25168,6.29986,-2.09618,-10.54602,-2.76285,6.25966,0.45504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-22,19:09:00,2,2,"Wallace, William",1000223433,Right,MAR_VIN,"De Goti, Brandon",813915,Right,OCE_STA6,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.85398,1.664035,-3.308442,2348.031989,36.051072,07:15:00,6.48046,2.3598,6.01823,-55.72956,-7.47658,-6.74733,3.38075,-1.27052,69.29815,-8.615163,-4.51963,0.499958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2815,-3.80201,-2.09676,50,6.58182,6.6832,-111.26555,1.49505,2.79081,24.47082,-36.82482,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,da99c300-6750-11f0-9292-d321a7854a18,75.39123,NA,NA,7.55583,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:09:00,2025-07-22T23:09:00Z,2025-07-22T23:09:00Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,f0958c4e-c18c-42c2-b5e7-edb7e76f6f62,54.48096,-112.24673,12.23541,6.49228,2.97157,-18.41241,-2.36248,6.5713,1.3954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-22,19:09:15,2,3,"Wallace, William",1000223433,Right,MAR_VIN,"De Goti, Brandon",813915,Right,OCE_STA6,Undefined,1,Top,1,1,1,Cutter,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,86.85887,-3.666896,-3.396738,2346.069857,185.988086,12:15:00,6.30072,2.55814,6.31977,-21.77556,15.45257,1.47618,1.09814,-0.45106,78.53186,-7.791477,-3.130261,0.439144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88331,9.64863,-2.3102,50,6.02147,7.39851,-125.61987,-8.66796,-2.95819,29.48445,-17.01847,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,e3914b40-6750-11f0-9292-d321a7854a18,85.83162,NA,NA,8.32702,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:09:15,2025-07-22T23:09:15Z,2025-07-22T23:09:15Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,8700bcae-67a9-4130-8bbc-66cc6105e6ef,54.17849,-126.59682,14.74222,6.29933,-8.10407,-8.50924,-2.55697,7.49653,-1.47909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-22,19:09:32,2,4,"Wallace, William",1000223433,Right,MAR_VIN,"De Goti, Brandon",813915,Right,OCE_STA6,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.45243,-1.658882,-3.053265,2258.165425,214.978674,01:15:00,6.26266,2.45953,6.33393,-15.0919,19.40379,12.61316,3.47491,0.69653,80.579,-4.623718,-0.774717,0.422721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.61307,11.04662,-2.24236,50,6.13433,6.45621,-130.95358,-4.15327,-12.86899,34.4978,-13.50114,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,ed7dbad0-6750-11f0-9292-d321a7854a18,89.16624,NA,NA,9.87343,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:09:32,2025-07-22T23:09:32Z,2025-07-22T23:09:32Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,819ab770-dc98-416d-a51c-961e734989eb,54.16252,-132.04559,17.2489,6.25904,-3.7259,-6.75057,-2.45318,6.86357,-6.43449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-22,19:09:54,2,5,"Wallace, William",1000223433,Right,MAR_VIN,"De Goti, Brandon",813915,Right,OCE_STA6,Undefined,1,Top,1,1,2,Splitter,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.68822,0.68074,-3.661981,1017.397426,253.965452,02:30:00,6.42111,2.23751,6.03969,-37.594,3.64788,7.63847,3.91992,-0.52133,74.80121,-6.311658,-2.290775,0.462211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.06051,2.12043,-1.95545,50,6.45441,7.36411,-119.77754,0.22599,-7.25664,25.92661,-29.13339,MAR_VIN,OCE_STA6,SharkTank,NECBL,NECL,20250722-SharkTank-1,fa8cc720-6750-11f0-9292-d321a7854a18,81.54808,NA,NA,7.88701,NA,NA,NA,NA,NA,NA,8f381d4e-79f1-40c2-bcf8-bdc6b484eeef,2025-07-22,23:09:54,2025-07-22T23:09:54Z,2025-07-22T23:09:54Z,NA,v3,NA,NA,NA,"Cincinnati, Kyle",811728,Right,MAR_VIN,d4752744-88de-4c8d-9ba7-7c3f47470e94,54.45858,-120.73877,12.96331,6.42601,1.30612,-14.5667,-2.23346,7.63315,-3.62832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
