player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-24,18:37:57,1,1,"Hobbins, George",10293915,Right,KAM_NOR,"Tsukada, Justin",813738,Right,KEL_FAL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.46776,-1.071294,-2.512193,2428.835876,229.889307,01:45:00,5.40687,2.9027,5.54402,-19.6071,15.15576,16.61572,2.7707,1.93808,82.25703,-4.7571,0.448498,0.424355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.0506,8.2956,-2.69597,50,5.30121,4.99266,-131.17434,-3.10447,-15.70761,28.76242,-17.77679,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,fe5353d0-68f7-11f0-b030-b32d3599309e,88.82293,NA,NA,8.21073,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:37:57,2025-07-25T01:37:57Z,2025-07-25T01:37:57Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,bd6a1c51-672d-4b4d-95d4-ea0498f05d80,54.95241,-132.25579,14.38121,5.40537,-2.43607,-8.8884,-2.8948,5.58326,-7.85381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-24,18:38:13,1,2,"Hobbins, George",10293915,Right,KAM_NOR,"Tsukada, Justin",813738,Right,KEL_FAL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.35559,-2.906487,-2.598393,2545.81945,227.220434,01:30:00,5.41907,2.63536,5.6487,-18.11552,14.95666,15.03461,1.19341,1.46302,84.67379,-6.297406,0.086354,0.413907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.34579,8.69752,-2.42475,50,5.16082,5.40469,-133.90003,-7.41098,-15.19229,28.19079,-16.34143,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,07e21300-68f8-11f0-b030-b32d3599309e,91.06502,NA,NA,7.6818,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:38:13,2025-07-25T01:38:13Z,2025-07-25T01:38:13Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,85dca0d1-2463-40fd-9c6e-71eae70b3a5a,54.85021,-134.91731,14.0954,5.41761,-6.8213,-8.17072,-2.62967,5.95291,-7.59615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-24,18:38:33,1,3,"Hobbins, George",10293915,Right,KAM_NOR,"Tsukada, Justin",813738,Right,KEL_FAL,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.10748,-2.073485,-5.018997,2487.1841,233.434311,01:45:00,5.40208,2.70814,5.73103,-21.30796,11.60221,14.39095,1.68715,-0.77869,85.26395,-6.019614,-2.456928,0.412892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.52969,6.69142,-2.29786,50,5.21533,11.09053,-133.42817,-5.5921,-15.60596,24.70041,-19.93137,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,13c6a910-68f8-11f0-b030-b32d3599309e,91.28885,NA,NA,6.84353,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:38:33,2025-07-25T01:38:33Z,2025-07-25T01:38:33Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,148d109e-2375-45da-ba04-a5ee566f04c5,54.76932,-134.30817,12.35021,5.40192,-4.882,-9.96569,-2.70289,11.64653,-7.80298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-24,18:38:51,1,4,"Hobbins, George",10293915,Right,KAM_NOR,"Tsukada, Justin",813738,Right,KEL_FAL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.17812,-1.108506,-3.408942,2582.767299,226.733845,01:30:00,5.32301,2.85235,5.49676,-17.71351,15.51824,15.42367,2.80805,0.94527,84.62325,-4.426762,-0.666833,0.414904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.64674,8.41709,-2.56464,50,5.21409,7.25855,-133.7112,-3.19302,-15.76958,26.83907,-16.82331,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,1e9932e0-68f8-11f0-b030-b32d3599309e,90.84607,NA,NA,7.55487,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:38:51,2025-07-25T01:38:51Z,2025-07-25T01:38:51Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,dd35052b-68ed-4822-8b1c-d2624777186e,55.0021,-134.7115,13.41953,5.32141,-2.56601,-8.41165,-2.84612,7.84629,-7.88479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-24,18:39:10,1,5,"Hobbins, George",10293915,Right,KAM_NOR,"Tsukada, Justin",813738,Right,KEL_FAL,Undefined,1,Top,0,2,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.27243,-1.069945,-4.555035,2477.005725,237.178585,02:00:00,5.36401,2.68633,5.67181,-20.85576,12.30162,17.45091,2.62523,-0.11511,84.36842,-4.964095,-1.4482,0.41444,60.8484,49.031624,-142.542825,4479.829275,NA,NA,NA,NA,38.70775,NA,NA,-10.11615,6.84965,-2.31257,50,5.26037,9.8724,-133.66468,-3.22539,-18.3532,28.05173,-19.74707,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,29aa7360-68f8-11f0-b030-b32d3599309e,90.94793,37.38384,NA,7.90401,NA,NA,NA,0.30562,2.64011,0.11258,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:39:10,2025-07-25T01:39:10Z,2025-07-25T01:39:10Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,84bafba4-c3e5-4f6b-8c7d-899edc0227e0,54.82769,-134.67404,14.02586,5.36364,-2.51485,-9.87354,-2.67968,10.53278,-9.1766,17.690015,0.30561,-46.44725,-0.91933,1.08285,-0.55666,0.34802,0.67287,-1.48681,0.78659,2.64011,67.38593,-25.29755,2.70714,-0.69865,0.04077,1.05713,-1.66111,0.79551,0.11258,-35.58527,2.65772,-0.16345,-0.05446,0.13,-0.10253,9e-4,0.02708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-24,18:39:30,1,6,"Hobbins, George",10293915,Right,KAM_NOR,"Tsukada, Justin",813738,Right,KEL_FAL,Undefined,1,Top,0,2,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,82.75793,1.570271,-2.44975,2424.284713,15.8032,06:30:00,5.30608,2.88021,5.16834,-47.77463,-5.11839,-1.88272,2.80436,0.41645,74.69814,-7.125263,-2.782836,0.47007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13122,-2.56173,-2.65037,50,5.4163,5.20689,-119.77761,1.485,0.18748,26.72718,-35.83368,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,35a6fe40-68f8-11f0-b030-b32d3599309e,80.18471,NA,NA,8.05979,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:39:30,2025-07-25T01:39:30Z,2025-07-25T01:39:30Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,c11e2593-5a5d-48aa-9b39-3632c3579da5,55.32809,-120.96068,13.36359,5.31546,3.07116,-17.91684,-2.88067,5.19859,0.09374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.35004,3.005915,1.947443,1.058472,-1.23862,2.46102,-0.287,-0.89202,5.9031,-1.36473,70.26585,5.17507,-54.51906,-0.82898,74.22675,-6.72281,5.9365,13.51499,-13.47875,-1.433,-57.06137,6.58391,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-24,18:40:01,2,1,"Hobbins, George",10293915,Right,KAM_NOR,"Kern, Brady",10097839,Right,KEL_FAL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.20527,-1.581811,-5.159019,2383.666559,224.081984,01:30:00,5.40793,2.66947,5.64986,-17.49879,16.37796,14.64528,2.46797,-0.93493,82.88611,-4.911763,-2.557845,0.418911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.00359,9.14209,-2.24027,50,5.26243,11.33776,-133.12679,-4.23922,-15.93211,32.30733,-15.99685,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,480a2d50-68f8-11f0-b030-b32d3599309e,89.97712,NA,NA,9.31916,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:40:01,2025-07-25T01:40:01Z,2025-07-25T01:40:01Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,87292905-fe57-4006-8806-3449960727f4,54.84498,-134.29742,16.15367,5.40554,-3.65958,-7.99843,-2.66155,11.91505,-7.96606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-24,18:40:16,2,2,"Hobbins, George",10293915,Right,KAM_NOR,"Kern, Brady",10097839,Right,KEL_FAL,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.64182,-0.285519,-4.912591,2392.547288,335.665832,05:15:00,5.34249,2.61809,5.22473,-41.01172,-0.65524,0.88205,1.65544,-1.93816,77.51365,-7.715576,-4.75707,0.457223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84976,0.16441,-2.16483,50,5.28545,10.48133,-122.39153,-2.15347,-2.79758,24.81524,-31.9254,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,51011950-68f8-11f0-b030-b32d3599309e,82.43777,NA,NA,7.12817,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:40:16,2025-07-25T01:40:16Z,2025-07-25T01:40:16Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,113d6a04-aef2-4d73-9e9c-433ae1eb2b6c,55.27311,-123.45604,12.40762,5.34846,-0.78395,-15.9627,-2.61703,10.60134,-1.39879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-24,18:40:33,2,3,"Hobbins, George",10293915,Right,KAM_NOR,"Kern, Brady",10097839,Right,KEL_FAL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.29717,-0.091406,-4.000001,2456.77847,218.975103,01:15:00,5.39217,2.67728,5.56339,-17.26489,16.47505,12.34969,3.86783,-0.03648,83.04562,-3.376831,-1.805109,0.418065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45351,8.68095,-2.33984,50,5.37324,8.75825,-133.52294,-0.7624,-13.28821,32.09271,-16.69753,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,5b14bff0-68f8-11f0-b030-b32d3599309e,90.15932,NA,NA,9.25155,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:40:33,2025-07-25T01:40:33Z,2025-07-25T01:40:33Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,b3fb7778-9b9d-4b04-9db0-4c18afb3e2f8,54.93159,-134.70305,16.04635,5.38999,-0.14841,-8.34876,-2.67088,9.24688,-6.6441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-24,18:40:49,2,4,"Hobbins, George",10293915,Right,KAM_NOR,"Kern, Brady",10097839,Right,KEL_FAL,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.07382,-1.319621,-3.767927,2437.884729,220.627304,01:15:00,5.41888,2.63823,5.6016,-16.95198,17.00521,13.50654,2.77142,0.2412,82.69507,-4.555066,-1.363855,0.419408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.0808700000000009,9.4006,-2.32433,50,5.29513,8.15716,-133.19636,-3.6069,-14.27809,33.00455,-15.56408,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20250724-NorbrockStadium-1,64926820-68f8-11f0-b030-b32d3599309e,89.87049,NA,NA,9.37874,NA,NA,NA,NA,NA,NA,c2326690-3881-45bc-aa8f-9b6ad3f0d7c7,2025-07-25,01:40:49,2025-07-25T01:40:49Z,2025-07-25T01:40:49Z,NA,v3,NA,NA,NA,"MacDonald, Matthew",1000124167,Right,KAM_NOR,d54fbff5-d0aa-4000-8850-55b623a7dcbd,54.8948,-134.40376,16.50228,5.41667,-3.03752,-7.78204,-2.63229,8.67949,-7.13905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
