player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-28,18:33:09,1,1,"Toriello, Connor",1000144622,Left,SAN_MAI,"Wilson, Ethan",1000303711,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,80.52789,-1.608509,3.869156,1994.723848,108.079193,09:30:00,5.9425,-2.73342,5.50552,-37.97888,6.85843,-15.67603,1.26942,-0.41566,72.44997,-8.613517,1.07865,0.481938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32067,4.46673,2.40633,50,5.77637,-7.25094,-116.40253,-4.52177,12.49272,26.55693,-26.18719,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,d71223b0-6c02-11f0-ad7e-4379aea3126a,78.21014,NA,NA,8.07792,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:33:09,2025-07-28T22:33:09Z,2025-07-28T22:33:09Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,bfc05212-bfe0-4dc5-b38c-58ae409d7839,54.99315,-117.53618,13.27846,5.94554,-3.4039,-13.09359,2.72723,-7.78422,6.24636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-28,18:33:28,1,2,"Toriello, Connor",1000144622,Left,SAN_MAI,"Wilson, Ethan",1000303711,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,80.74387,-1.678447,4.352908,1976.581658,109.079537,09:45:00,5.94553,-2.76041,5.33338,-38.08262,6.49607,-14.09422,1.19219,0.15703,73.21778,-8.653128,1.854725,0.480546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61315,4.17205,2.37759,50,5.76606,-8.33082,-116.72885,-4.71221,11.70531,25.05264,-26.5042,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,e28bc2f0-6c02-11f0-ad7e-4379aea3126a,78.43671,NA,NA,7.52609,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:33:28,2025-07-28T22:33:28Z,2025-07-28T22:33:28Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,998ecb63-545b-4f81-9d60-ae32d52995ea,55.16764,-117.83272,12.52632,5.94797,-3.54438,-13.2521,2.75602,-8.84658,5.85266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-28,18:33:49,1,3,"Toriello, Connor",1000144622,Left,SAN_MAI,"Wilson, Ethan",1000303711,Right,NSH_N,Undefined,1,Top,0,0,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,82.03622,-1.524266,2.955656,2050.89098,117.800909,10:00:00,5.8422,-2.86828,5.44212,-35.03947,7.60449,-11.64257,1.49277,-1.06852,74.75029,-7.961671,0.883725,0.470002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.79855,4.69733,2.61522,50,5.68316,-5.66492,-118.84612,-4.35134,9.64015,24.60126,-25.51335,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,ee9a7640-6c02-11f0-ad7e-4379aea3126a,80.19627,NA,NA,7.28593,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:33:49,2025-07-28T22:33:49Z,2025-07-28T22:33:49Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,77e6eb0b-225b-4fcf-8283-e420f8fe210d,55.05741,-119.88843,12.30063,5.84462,-3.2703700000000002,-12.75668,2.86388,-6.07336,4.82008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.2755,NA,NA,1.043286,NA,NA,NA,2.70535,3.75433,2.88522,73.15543,8.99949,-51.62026,2.78207,73.30542,-5.58673,3.82247,20.28091,-14.66127,2.79427,-58.22473,5.78973,High,High,High,NA,NA,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-28,18:34:23,2,1,"Toriello, Connor",1000144622,Left,SAN_MAI,"Wachter, Nater",821735,Right,NSH_N,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,82.24122,-1.40822,3.498356,2060.841905,116.609974,10:00:00,5.91057,-2.82272,5.42249,-34.73163,7.68426,-12.47198,1.69448,-0.58111,75.03017,-7.784893,1.281687,0.468744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35166,4.68626,2.521,50,5.76128,-6.77403,-119.10879,-4.11461,10.49415,24.23312,-25.48462,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,03339820-6c03-11f0-ad7e-4379aea3126a,80.41156,NA,NA,7.21106,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:34:23,2025-07-28T22:34:23Z,2025-07-28T22:34:23Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,7b4136e5-6a9c-43a2-8639-2bef06fbaddb,55.07724,-120.13733,12.11656,5.91296,-3.03294,-12.74231,2.81797,-7.21944,5.24707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-28,18:34:43,2,2,"Toriello, Connor",1000144622,Left,SAN_MAI,"Wachter, Nater",821735,Right,NSH_N,Undefined,1,Top,1,0,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,81.37558,-1.251153,3.265882,2050.295916,117.349247,10:00:00,6.0229,-2.91157,5.34087,-35.54234,7.69319,-12.16579,1.88522,-0.8583,74.58122,-7.756003,1.106161,0.473251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06107,4.61213,2.62596,50,5.88443,-6.23604,-117.93204,-3.79467,9.93,22.72885,-25.68802,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,0efae230-6c03-11f0-ad7e-4379aea3126a,79.6457,NA,NA,6.79435,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:34:43,2025-07-28T22:34:43Z,2025-07-28T22:34:43Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,3f31124e-4c8e-471b-bfb6-dfc4f6383489,55.15926,-118.92222,11.36442,6.02536,-2.67558,-12.84401,2.90705,-6.66864,4.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-28,18:35:03,2,3,"Toriello, Connor",1000144622,Left,SAN_MAI,"Wachter, Nater",821735,Right,NSH_N,Undefined,1,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.740710000000007,-1.308901,2.192777,1987.543922,125.777608,10:15:00,5.94549,-2.80242,5.19537,-34.46829,8.63961,-10.02024,1.8408,-1.57379,74.78017,-7.613216,0.416527,0.472552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65394,5.09748,2.60702,50,5.79813,-4.12011,-118.49778,-3.91211,8.01168,23.36603,-24.95088,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,1b311ab0-6c03-11f0-ad7e-4379aea3126a,79.76356,NA,NA,6.96054,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:35:03,2025-07-28T22:35:03Z,2025-07-28T22:35:03Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,95f8239c-aa12-4321-a4ad-e0717b2bd679,55.30393,-119.53906,11.68301,5.9477,-2.8002,-12.47544,2.79858,-4.47714,4.00584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-28,18:35:31,2,4,"Toriello, Connor",1000144622,Left,SAN_MAI,"Wachter, Nater",821735,Right,NSH_N,Undefined,1,Top,1,1,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,81.42512,-1.453504,2.986574,1996.239667,106.753143,09:30:00,6.04771,-2.80643,5.36001,-37.69864,5.60878,-13.80855,1.54095,-1.15386,74.43247,-8.3455,0.53206,0.473645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8604,3.64445,2.54825,50,5.89009,-5.59643,-117.98951,-4.29411,11.01544,23.68604,-27.06675,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,2c1bda90-6c03-11f0-ad7e-4379aea3126a,79.57956,NA,NA,6.99265,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:35:31,2025-07-28T22:35:31Z,2025-07-28T22:35:31Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,04ff5893-ef13-4ed3-b163-0a749ab863cd,55.1402,-119.01691,11.84302,6.05089,-3.12006,-13.53337,2.80137,-6.07423,5.50772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-28,18:36:06,3,1,"Toriello, Connor",1000144622,Left,SAN_MAI,"Marot, Alex",823917,Right,NSH_N,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.78648,-1.595604,1.829269,2134.498928,196.107965,12:30:00,5.9918,-2.75698,5.00544,-40.86833,4.21512,0.83764,1.07875,-0.95982,74.04065,-8.96046,1.977362,0.483259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05008,2.88866,2.58054,50,5.80526,-3.73234,-115.78595,-4.69438,0.0685,20.02121,-28.22164,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,4041c840-6c03-11f0-ad7e-4379aea3126a,77.99634,NA,NA,5.74583,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:36:06,2025-07-28T22:36:06Z,2025-07-28T22:36:06Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,5a1c5d32-4cb7-4e19-b0d9-0a84f5a3173e,55.49514,-116.73228,10.0106,5.99562,-3.36045,-14.11082,2.75703,-3.73558,0.03425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-28,18:36:25,3,2,"Toriello, Connor",1000144622,Left,SAN_MAI,"Marot, Alex",823917,Right,NSH_N,Undefined,1,Top,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.27346,-1.830417,3.751699,2082.665683,107.045431,09:30:00,5.9087,-2.97706,5.43132,-38.11691,5.41961,-12.79343,1.01378,-0.52456,74.1689,-8.80158,1.476928,0.474896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66233,3.66248,2.65368,50,5.71962,-7.2087,-117.64989,-5.05604,10.64508,24.15244,-27.08587,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,4bbc2ad0-6c03-11f0-ad7e-4379aea3126a,79.36992,NA,NA,7.10456,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:36:25,2025-07-28T22:36:25Z,2025-07-28T22:36:25Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,1e57ccae-a161-4879-8c60-acbda301e0bf,55.06942,-118.68603,12.07622,5.9116,-3.89406,-13.54294,2.97273,-7.66538,5.32254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-28,18:36:42,3,3,"Toriello, Connor",1000144622,Left,SAN_MAI,"Marot, Alex",823917,Right,NSH_N,Undefined,1,Top,2,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.9125,1.109327,0.654915,2054.850346,108.166002,09:30:00,5.87836,-2.91827,5.38004,-39.30766,5.73418,-12.74426,3.64283,-3.36633,72.44568,-6.129895,-1.611562,0.483036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56154,3.01709,2.86884,50,5.95027,-0.79909,-115.86377,0.91292,8.82509,23.787,-28.11614,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20250728-GoodallPark-1,55ead380-6c03-11f0-ad7e-4379aea3126a,78.03236,NA,NA,7.46682,NA,NA,NA,NA,NA,NA,016cee57-7650-488a-9e33-1c2d5ef3b842,2025-07-28,22:36:42,2025-07-28T22:36:42Z,2025-07-28T22:36:42Z,NA,v3,NA,NA,NA,"Tozzi, Domenico",831301,Right,SAN_MAI,bd05283b-311e-4689-a0e0-c5e0fc1aa3ba,55.11724,-116.90962,11.8935,5.88295,2.14911,-14.05807,2.9125,-1.18711,4.41254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
