player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-31,18:01:43,1,1,"Turner, Bryce",831561,Right,WAR_GAT,"Magpoc, Adam",822330,Left,BRE_WHI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,87.40269,-1.38567,-4.78255,2096.338275,223.476569,01:30:00,4.92153,3.24309,6.6874,-22.5347,12.6593,11.0743,1.77164,-0.21832,80.96198,-5.636636,-2.774786,0.426978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.98319,7.33036,-2.9275,50,4.81958,10.20948,-126.84226,-3.69451,-11.53646,22.53366,-20.06407,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,f1e3aca0-6e59-11f0-872e-eb132435a14f,88.2772,NA,NA,6.44071,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:01:43,2025-07-31T22:01:43Z,2025-07-31T22:01:43Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,3d462272-8c58-4330-a2b1-c8c1ca86d452,53.81253,-127.51776,11.26683,4.92132,-3.09305,-10.03203,-3.23873,10.55531,-5.76823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-31,18:02:00,1,2,"Turner, Bryce",831561,Right,WAR_GAT,"Magpoc, Adam",822330,Left,BRE_WHI,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.48146,0.211041,-3.51129,2106.11008,229.53267,01:45:00,4.79617,3.28695,6.53731,-23.56879,11.75268,12.60032,3.02604,1.11234,80.65807,-4.236619,-1.227725,0.427751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45244,6.433,-3.0482,50,4.8005,7.32173,-127.12704,-0.20233,-12.3254,23.46993,-21.53468,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,fbfea640-6e59-11f0-872e-eb132435a14f,88.11778,NA,NA,6.82338,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:02:00,2025-07-31T22:02:00Z,2025-07-31T22:02:00Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,88916967-dfc7-4bd6-be04-76dabc651b7f,53.96181,-127.85637,11.73497,4.79639,0.46686,-10.76734,-3.28167,7.70474,-6.1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-31,18:02:14,1,3,"Turner, Bryce",831561,Right,WAR_GAT,"Magpoc, Adam",822330,Left,BRE_WHI,Undefined,1,Top,0,1,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,83.10089,0.783397,-3.231856,2277.723861,215.051033,01:15:00,4.66021,3.38513,6.32688,-33.19238,6.05677,3.52414,2.6168,0.69948,77.20108,-5.382179,-2.595702,0.450906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.58579,3.3115,-3.15072,50,4.7016,6.69322,-120.81068,0.65587,-3.88334,19.9713,-27.20083,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,04bf4000-6e5a-11f0-872e-eb132435a14f,83.5926,NA,NA,5.8998100000000004,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:02:14,2025-07-31T22:02:14Z,2025-07-31T22:02:14Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,96cee089-6cc8-41a4-ba07-dcccc3ac18e1,54.17306,-121.49857,9.98565,4.66288,1.59278,-13.60042,-3.38357,6.82698,-1.94167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-31,18:02:29,1,4,"Turner, Bryce",831561,Right,WAR_GAT,"Magpoc, Adam",822330,Left,BRE_WHI,Undefined,1,Top,0,1,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,89.05035,-0.653945,-3.414777,2178.865347,230.292413,01:45:00,4.76965,3.35597,6.5206,-20.39848,13.83099,15.42643,2.46869,1.50473,81.82542,-4.526955,-0.618661,0.421087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.92981,7.73331,-3.12404,50,4.71497,7.11738,-129.37318,-2.04763,-15.23495,25.31471,-18.98046,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,0d990710-6e5a-11f0-872e-eb132435a14f,89.51231,NA,NA,7.22493,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:02:29,2025-07-31T22:02:29Z,2025-07-31T22:02:29Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,c9396a15-5465-4a76-84f8-413e41adcb9d,53.97833,-130.1493,12.65736,4.76883,-1.46571,-9.49023,-3.34941,7.58447,-7.61747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94586,2.23735,1.124045,1.113306,-1.80671,2.20579,-1.47474,-1.66065,4.31508,-0.11282,77.71628,6.46684,-47.06632,-1.62547,77.07302,-5.2223,4.40023,19.82111,-16.15352,-0.21357,-50.18021,7.29186,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-31,18:03:02,2,1,"Turner, Bryce",831561,Right,WAR_GAT,"Wentz, Dalton",807275,Left,BRE_WHI,Undefined,1,Top,1,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.26401,-0.170192,-4.042065,2178.209756,230.017587,01:45:00,4.75335,3.27086,6.79886,-21.82548,12.41438,13.69233,2.77885,0.71678,81.70922,-4.307004,-1.550412,0.421151,75.5463,21.203075,-161.740083,1835.710086,NA,NA,NA,NA,30.93962,NA,NA,-8.24426,6.92378,-3.01355,50,4.73381,8.57977,-128.30601,-0.96743,-13.9434,22.92139,-20.46391,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,211bd6f0-6e5a-11f0-872e-eb132435a14f,89.49873,13.02192,NA,6.55479,NA,NA,NA,1.01892,2.74281,-0.66089,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:03:02,2025-07-31T22:03:02Z,2025-07-31T22:03:02Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,a2bcf418-c0e6-45a2-8fc0-bd843f6e7959,53.70213,-128.96568,11.4607,4.75318,-0.37848,-10.23196,-3.26625,8.98106,-6.9717,NA,1.01903,-98.10389,7.00831,NA,NA,NA,NA,NA,NA,2.7467,39.91054,-23.6732,NA,NA,NA,NA,NA,NA,-0.66485,-32.20049,11.42179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-31,18:03:23,2,2,"Turner, Bryce",831561,Right,WAR_GAT,"Wentz, Dalton",807275,Left,BRE_WHI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.36477,0.330851,-2.601331,2087.111896,215.120226,01:15:00,4.78807,3.27162,6.47259,-19.2456,15.88182,10.36819,3.48843,1.74508,80.35762,-3.359596,-0.722725,0.426574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.14118,8.54174,-3.09241,50,4.80259,5.42016,-128.32364,0.23203,-10.20101,27.50151,-17.98551,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,2d93d360-6e5a-11f0-872e-eb132435a14f,88.360830000000007,NA,NA,8.00715,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:03:23,2025-07-31T22:03:23Z,2025-07-31T22:03:23Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,5c37b97a-73cc-4eb0-b5a1-301bc3212b5d,54.02415,-129.18319,13.75076,4.78656,0.79417,-8.99276,-3.26679,5.73899,-5.10051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-31,18:03:38,2,3,"Turner, Bryce",831561,Right,WAR_GAT,"Wentz, Dalton",807275,Left,BRE_WHI,Undefined,1,Top,1,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,87.35228,1.055508,-3.949416,1999.78314,245.77158,02:15:00,4.62736,3.19548,6.70981,-29.13655,6.46406,11.87174,3.16667,0.5685,79.7143,-4.440882,-1.792866,0.429438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.33595,3.4741,-2.93726,50,4.68623,8.30616,-126.77398,1.49566,-11.92965,26.09971,-26.52451,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,36d2ebf0-6e5a-11f0-872e-eb132435a14f,87.77164,NA,NA,7.63798,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:03:38,2025-07-31T22:03:38Z,2025-07-31T22:03:38Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,b2da1842-2c77-4cb2-b880-fb68746f531a,53.78834,-127.55153,13.04985,4.62991,2.28586,-13.26225,-3.19001,8.66156,-5.96483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-31,18:03:55,2,4,"Turner, Bryce",831561,Right,WAR_GAT,"Wentz, Dalton",807275,Left,BRE_WHI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.85108,0.568708,-2.789165,2109.939268,216.140531,01:15:00,4.80331,3.31805,6.55661,-18.57351,16.42253,11.08438,3.77759,1.68241,79.96378,-3.027,-0.778124,0.425776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.63414,8.76453,-3.12947,50,4.83433,5.83103,-128.88322,0.81529,-10.99997,30.34362,-17.64166,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,4102cd20-6e5a-11f0-872e-eb132435a14f,88.52648,NA,NA,8.8873,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:03:55,2025-07-31T22:03:55Z,2025-07-31T22:03:55Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,06d751c0-ce45-4603-abb9-668e1050245e,53.93782,-129.80701,15.17181,4.80133,1.35238,-8.82083,-3.31209,6.16592,-5.49998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-31,18:04:11,2,5,"Turner, Bryce",831561,Right,WAR_GAT,"Wentz, Dalton",807275,Left,BRE_WHI,Undefined,1,Top,1,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.6852,0.830541,-2.938296,2124.027168,223.497586,01:30:00,4.79819,3.19778,6.44941,-22.35761,11.66662,10.29091,3.69917,1.35344,82.73967,-3.362352,-1.075399,0.419822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.01142,6.20819,-2.99393,50,4.84673,6.23701,-129.07865,1.21229,-10.38758,20.76669,-21.44648,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,4a0578f0-6e5a-11f0-872e-eb132435a14f,89.78189,NA,NA,5.94552,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:04:11,2025-07-31T22:04:11Z,2025-07-31T22:04:11Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,4ba3e00e-2afa-4931-b80a-aca2ef73da72,54.05162,-129.72886,10.38335,4.79826,1.88378,-10.72324,-3.1943,6.56225,-5.19379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-31,18:04:29,2,6,"Turner, Bryce",831561,Right,WAR_GAT,"Wentz, Dalton",807275,Left,BRE_WHI,Undefined,1,Top,1,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,88.04806,-0.109518,-2.954291,2069.05588,210.745362,01:00:00,4.85985,3.1671,6.57246,-21.11891,13.68729,7.553,2.99942,1.08622,81.18723,-4.113162,-1.58382,0.424619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.69532,7.53193,-2.96692,50,4.84312,6.32062,-128.00937,-0.82659,-7.86878,23.94995,-19.55139,WAR_GAT,BRE_WHI,CCBLWareham,Cape Cod Baseball League,CCBL,20250731-CCBLWareham-1,55251150-6e5a-11f0-872e-eb132435a14f,88.76762,NA,NA,6.86083,NA,NA,NA,NA,NA,NA,2bd7eba6-4099-4bc6-ad37-0de3e306e264,2025-07-31,22:04:29,2025-07-31T22:04:29Z,2025-07-31T22:04:29Z,NA,v3,6103,6096,NA,"Rogers, Drew",811441,Right,WAR_GAT,a7a46338-4aac-4304-b2ea-7a6c98b10b98,53.92627,-128.74186,11.97497,4.85926,-0.22863,-9.77569,-3.16391,6.56128,-3.93439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8252,2.272983,1.120102,1.152881,-1.88557,2.7536,-0.9974,-1.7116,4.12882,0.18946,76.12845,7.31618,-48.65454,-1.62999,74.45421,-6.08578,4.21947,20.1564,-15.16194,0.06615,-49.97251,6.70163,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
