player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-08-04,18:36:16,1,1,"Coronel, Ethan",823044,Right,KEL_FAL,"Martinez, Cade",832119,Right,WEN_APP,Undefined,1,Top,0,0,0,ChangeUp,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,82cc5fe0-72e3-11f0-81ee-cd3f9c245566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:36:16,2025-08-05T01:36:16Z,2025-08-05T01:36:16Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-08-04,18:36:21,1,2,"Coronel, Ethan",823044,Right,KEL_FAL,"Martinez, Cade",832119,Right,WEN_APP,Undefined,1,Top,0,1,0,ChangeUp,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,82cc5fe1-72e3-11f0-81ee-cd3f9c245566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:36:21,2025-08-05T01:36:21Z,2025-08-05T01:36:21Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-08-04,18:36:26,1,3,"Coronel, Ethan",823044,Right,KEL_FAL,"Martinez, Cade",832119,Right,WEN_APP,Undefined,1,Top,0,2,0,ChangeUp,NA,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,82cc5fe2-72e3-11f0-81ee-cd3f9c245566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:36:26,2025-08-05T01:36:26Z,2025-08-05T01:36:26Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-08-04,18:36:31,1,4,"Coronel, Ethan",823044,Right,KEL_FAL,"Martinez, Cade",832119,Right,WEN_APP,Undefined,1,Top,0,2,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,82.61544,-1.02935,-2.717296,1964.667827,259.682993,02:45:00,5.34307,1.55301,5.35401,-37.78447,3.92181,14.48418,1.22773,0.20951,76.06706,-7.916452,-0.142508,0.464806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.16697,2.52992,-1.31955,50,5.22293,5.11718,-119.89931,-3.47477,-11.90998,22.7936,-28.48464,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,9d50cb00-719c-11f0-99e1-5fb72d54fa2f,81.09277,NA,NA,6.54838,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:36:31,2025-08-05T01:36:31Z,2025-08-05T01:36:31Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,595e74f8-bb53-49a9-9800-2fd40b9bd644,55.15104,-120.87458,11.3968,5.34553,-2.25599,-14.24232,-1.54941,5.62678,-5.95499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-08-04,18:36:51,1,5,"Coronel, Ethan",823044,Right,KEL_FAL,"Martinez, Cade",832119,Right,WEN_APP,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,90.76379,-1.848509,-3.651121,1894.565219,239.04171,02:00:00,5.64819,1.13661,5.6077,-24.82804,9.51689,14.05469,1.84952,-1.10506,83.16111,-6.440222,-1.146509,0.421796,86.86301,-12.373556,20.340974,NA,NA,NA,NA,7.86001,7.86001,26.90434,0.055763,-8.15937,5.64961,-0.83333,50,5.47363,7.7792,-131.55074,-5.14014,-14.32055,27.49908,-22.25844,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,a9aa6a00-719c-11f0-99e1-5fb72d54fa2f,89.36173,1.52431,NA,7.60269,NA,NA,NA,0.49431,1.52431,1.14142,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:36:51,2025-08-05T01:36:51Z,2025-08-05T01:36:51Z,GroundBall,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,43a86196-0be2-4527-b436-1e8da3234068,54.89501,-132.57004,13.74954,5.64887,-4.3151,-11.12922,-1.13152,8.31001,-7.16028,180,0.49295,116.83217,NA,NA,NA,NA,NA,NA,NA,1.52463,-27.33531,NA,NA,NA,NA,NA,NA,NA,1.14091,43.31254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-08-04,18:37:27,2,1,"Coronel, Ethan",823044,Right,KEL_FAL,"Hoiland, Cameron",1000256661,Left,WEN_APP,Undefined,1,Top,1,0,0,Fastball,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.6047,-3.124197,-2.179295,1963.825521,NA,NA,5.65416,1.43326,5.31355,NA,NA,NA,0.78039,0.62915,82.58763,-7.413312,0.469018,0.426312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.0939,7.20827,-1.2467,50,5.35385,4.30144,-131.17984,-8.01167,-14.02864,29.12837,-19.68045,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,bf624250-719c-11f0-99e1-5fb72d54fa2f,88.41505,NA,NA,8.01707,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:37:27,2025-08-05T01:37:27Z,2025-08-05T01:37:27Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,7ed38341-0ae2-40d2-93a9-d6bdd85889d8,55.18692,-132.32658,14.56419,5.654,-7.23688,-9.84022,-1.42691,4.85372,-7.01432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-08-04,18:37:38,2,2,"Coronel, Ethan",823044,Right,KEL_FAL,"Hoiland, Cameron",1000256661,Left,WEN_APP,Undefined,1,Top,1,1,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.05048,-0.338485,-2.300914,2050.140767,274.144756,03:15:00,5.40893,1.66363,5.434,-41.47274,0.49669,14.54843,1.63562,0.71998,74.94719,-7.94661,0.290554,0.46627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.0263,0.86083,-1.46988,50,5.35067,4.20885,-120.28184,-2.19694,-11.54076,27.36125,-30.93632,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,c5d3bbf0-719c-11f0-99e1-5fb72d54fa2f,80.83817,NA,NA,8.10329,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:37:38,2025-08-05T01:37:38Z,2025-08-05T01:37:38Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,68ff06b4-f2ca-42b0-b055-86fe975d6eab,55.06514,-121.42857,13.68063,5.41557,-0.90037,-15.46816,-1.65641,4.69254,-5.77038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-08-04,18:37:52,2,3,"Coronel, Ethan",823044,Right,KEL_FAL,"Hoiland, Cameron",1000256661,Left,WEN_APP,Undefined,1,Top,1,2,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,84.39564,-0.10341500000000001,-1.325782,2215.208559,167.231617,11:30:00,5.51214,1.62485,5.44453,-35.0651,5.65922,-0.93323,2.49319,0.30548,75.78716,-6.587353,-1.491949,0.459302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01437,3.35122,-1.50698,50,5.47934,2.86902,-122.20867,-1.4559,0.02127,28.88627,-27.21433,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,cdba2250-719c-11f0-99e1-5fb72d54fa2f,82.0646,NA,NA,8.60848,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:37:52,2025-08-05T01:37:52Z,2025-08-05T01:37:52Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,4040ca59-2bb5-4da8-95df-734cbc8ebbf8,55.05229,-123.39709,14.44314,5.5162,-0.33626,-13.60717,-1.625,2.86815,0.01063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-08-04,18:38:04,2,4,"Coronel, Ethan",823044,Right,KEL_FAL,"Hoiland, Cameron",1000256661,Left,WEN_APP,Undefined,1,Top,1,2,1,Slider,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,82.93265,-0.33884,-2.349036,1940.165887,265.890623,02:45:00,5.42127,1.71909,5.19696,-39.94148,2.79614,15.69044,1.77381,0.81575,74.32732,-7.666393,0.432789,0.470518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.55351,2.04681,-1.51326,50,5.36029,4.22222,-119.95215,-2.17124,-12.16036,28.44332,-29.26414,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,d5437490-719c-11f0-99e1-5fb72d54fa2f,80.10834,NA,NA,8.60533,NA,NA,NA,NA,NA,NA,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:38:04,2025-08-05T01:38:04Z,2025-08-05T01:38:04Z,NA,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,7c6222b1-605d-4b98-a334-3ec506b479ee,55.30017,-121.20243,14.22166,5.42746,-0.88489,-14.63207,-1.71061,4.75675,-6.08018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.79173,NA,NA,1.011841,NA,NA,NA,0.19398,5.76211,-0.51084,77.13917,5.52511,-47.65629,0.27512,82.32561,-6.25198,5.84182,14.20662,-14.31317,-0.63766,-53.68748,7.08094,High,High,High,NA,NA,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-08-04,18:38:37,2,5,"Coronel, Ethan",823044,Right,KEL_FAL,"Hoiland, Cameron",1000256661,Left,WEN_APP,Undefined,1,Top,1,2,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,90.57077,-1.330232,-1.710446,1839.743214,233.828047,01:45:00,5.589,1.31048,5.45103,-24.17186,10.89304,13.19261,2.3285,0.80802,81.87411,-5.829674,0.638591,0.426195,70.57204,20.596332,-156.431858,2624.70258,NA,NA,NA,118.48824,36.96258,-160.430878,1.349123,-7.11091,6.26752,-1.1685,50,5.45524,3.30127,-131.22891,-3.9148,-12.25078,30.89072,-21.3763,KEL_FAL,WEN_APP,ElksStadium,WCL,WCL,20250804-ElksStadium-1,e8c978c0-719c-11f0-99e1-5fb72d54fa2f,88.43951,12.97168,NA,8.69665,NA,NA,NA,0.19675,2.01895,-0.74139,86a1f3d5-506f-464f-a7c4-182164b58059,2025-08-05,01:38:37,2025-08-05T01:38:37Z,2025-08-05T01:38:37Z,LineDrive,v3,NA,NA,NA,"Mackey, Josiah",1000405203,Right,KEL_FAL,880dd9f2-21e2-48c2-b14b-5a93cc1413eb,55.04699,-132.41162,15.44536,5.58946,-3.09637,-10.68815,-1.30387,3.77031,-6.12539,25.370576,0.387,-90.76529,5.63239,NA,NA,NA,NA,NA,NA,2.31831,33.35511,-26.14482,NA,NA,NA,NA,NA,NA,-0.7973,-38.16673,6.95018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
